GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:0034612~response to tumor necrosis factor,16,2.25E-05,"929, 6362, 7132, 58191, 7133, 6368, 6346, 8995, 7412, 8764, 355, 2204, 2167, 51588, 6348, 5699",291,3.808397689
GO:0071356~cellular response to tumor necrosis factor,14,1.06E-04,"6362, 7132, 7133, 6368, 6346, 8995, 7412, 8764, 355, 2204, 2167, 51588, 6348, 5699",291,3.733835686
GO:0033209~tumor necrosis factor-mediated signaling pathway,7,0.00916506,"7132, 355, 7133, 8995, 8764, 51588, 5699",291,3.906407924
GO:0006952~defense response,85,8.70E-20,"58191, 9865, 5265, 6035, 6038, 2152, 3240, 3959, 613209, 57823, 8809, 3512, 1378, 90, 5654, 6348, 5699, 81494, 6504, 716, 717, 718, 6362, 7132, 7133, 6288, 6368, 7412, 2683, 3371, 1191, 145581, 7096, 284207, 27179, 3567, 3929, 567, 325, 722, 10462, 6039, 5468, 727, 3689, 85363, 3965, 729, 929, 8751, 8995, 2922, 2921, 2204, 4907, 79798, 3135, 2167, 10990, 735, 149708, 4360, 7076, 4283, 7037, 6346, 6863, 8764, 3078, 2220, 3594, 3394, 51191, 3625, 3426, 1401, 347, 146722, 1441, 79987, 5764, 51279, 8635, 629, 5925",291,2.896233684
GO:0009605~response to external stimulus,101,1.69E-18,"2152, 3240, 3084, 83999, 613209, 151647, 355, 3512, 5654, 6348, 6504, 6362, 6247, 6368, 3371, 1191, 284207, 3929, 85363, 929, 2204, 4907, 411, 79798, 79955, 2167, 7855, 8828, 4360, 5055, 6423, 2220, 55593, 3394, 3426, 1401, 2332, 2695, 4879, 11337, 9388, 58191, 6035, 6038, 128434, 5618, 2348, 432, 1378, 81494, 717, 340204, 718, 5617, 7132, 8740, 7133, 6288, 7412, 23654, 285, 145581, 7096, 51052, 27179, 567, 325, 722, 5468, 6039, 3689, 727, 3965, 5627, 9563, 7422, 8995, 2922, 2921, 5754, 735, 149708, 89780, 4283, 7037, 6346, 6863, 8764, 3078, 3594, 51191, 26228, 3625, 347, 3909, 79987, 1441, 5764, 629, 92949, 5925",291,2.433709146
GO:0002252~immune effector process,53,4.80E-16,"9865, 3240, 57823, 8809, 1378, 1178, 5654, 6348, 81494, 6504, 716, 4602, 717, 718, 7133, 4189, 1191, 3567, 3929, 567, 325, 722, 6039, 925, 727, 3689, 85363, 3965, 729, 8995, 28514, 2922, 3936, 2204, 79798, 3135, 7855, 735, 4283, 9452, 7037, 8764, 3078, 2220, 3594, 3394, 51191, 3426, 1401, 79987, 51279, 51237, 629",291,3.677819791
GO:0002682~regulation of immune system process,71,3.58E-15,"9865, 3481, 201633, 5618, 8809, 151888, 1378, 1178, 2267, 5654, 6348, 5699, 81494, 6504, 4920, 716, 4602, 717, 718, 8740, 7133, 4189, 5675, 7412, 1191, 145581, 7096, 3567, 3929, 567, 325, 722, 5468, 925, 727, 3689, 85363, 3965, 729, 929, 7422, 27, 8995, 28514, 2204, 3135, 7855, 735, 89780, 8289, 7037, 6346, 8764, 3078, 2220, 3594, 51191, 26228, 3426, 2215, 1401, 1840, 347, 146722, 1441, 79987, 5764, 51279, 51237, 629, 5925",291,2.768663749
GO:0006955~immune response,78,4.59E-14,"58191, 9865, 3240, 2669, 613209, 57823, 355, 8809, 3512, 151888, 1378, 1178, 2267, 6348, 5699, 81494, 6504, 716, 4602, 717, 718, 6362, 8740, 7133, 6368, 1191, 7096, 27179, 3567, 3929, 567, 325, 722, 10462, 6039, 5468, 925, 727, 3689, 85363, 3965, 729, 929, 8751, 8995, 28514, 2922, 3936, 2921, 2204, 3135, 7855, 10990, 735, 149708, 4360, 4283, 9452, 7037, 6346, 6863, 8764, 3078, 2220, 3594, 3394, 51191, 26228, 3903, 3426, 2215, 1401, 146722, 79987, 51279, 8635, 629, 4879",291,2.468968974
GO:0002684~positive regulation of immune system process,56,9.72E-14,"9865, 3481, 5618, 8809, 1378, 6348, 5699, 81494, 6504, 4920, 716, 4602, 717, 718, 8740, 4189, 7412, 1191, 7096, 3567, 3929, 567, 325, 722, 925, 727, 3689, 85363, 3965, 729, 929, 7422, 27, 8995, 2204, 3135, 7855, 735, 89780, 8289, 7037, 6346, 8764, 3078, 2220, 3594, 26228, 3426, 1401, 146722, 79987, 5764, 51279, 51237, 629, 5925",291,3.083665293
GO:0006959~humoral immune response,29,5.58E-12,"2921, 1378, 3512, 5699, 735, 81494, 716, 717, 149708, 718, 6362, 4283, 6346, 6863, 3078, 2220, 1191, 3426, 1401, 325, 567, 722, 79987, 51279, 6039, 727, 629, 4879, 729",291,5.01525809
GO:0045087~innate immune response,49,1.14E-11,"58191, 9865, 613209, 57823, 3512, 1378, 6348, 5699, 81494, 6504, 716, 717, 718, 6362, 6368, 1191, 7096, 27179, 3929, 567, 325, 722, 10462, 6039, 5468, 727, 85363, 3965, 729, 929, 8751, 2204, 3135, 735, 149708, 4360, 6346, 6863, 8764, 2220, 3594, 3394, 51191, 3426, 1401, 146722, 51279, 8635, 629",291,3.015790362
GO:0072376~protein activation cascade,20,3.41E-11,"3078, 2220, 1191, 2192, 3426, 1401, 1378, 2158, 325, 79987, 722, 51279, 735, 81494, 716, 727, 717, 629, 718, 729",291,7.338003835
GO:0002526~acute inflammatory response,18,6.50E-11,"5265, 7037, 6288, 7412, 2683, 2152, 3240, 3426, 1401, 1378, 3929, 325, 79987, 722, 90, 5468, 735, 718",291,8.243867757
GO:0050776~regulation of immune response,46,1.69E-10,"929, 9865, 8995, 2204, 8809, 151888, 1378, 1178, 2267, 3135, 7855, 5699, 735, 81494, 6504, 716, 4602, 717, 718, 7133, 7037, 8764, 3078, 2220, 3594, 26228, 1191, 7096, 3426, 2215, 1401, 3929, 325, 567, 722, 146722, 79987, 51279, 5468, 727, 925, 3689, 85363, 629, 3965, 729",291,2.917680035
GO:0006956~complement activation,18,2.09E-10,"3078, 2220, 1191, 3426, 1401, 1378, 325, 79987, 722, 51279, 735, 81494, 716, 727, 717, 629, 718, 729",291,7.662569389
GO:0002443~leukocyte mediated immunity,30,3.46E-10,"2922, 2204, 57823, 8809, 1378, 1178, 3135, 6348, 7855, 735, 6504, 716, 717, 718, 7133, 7037, 3594, 1191, 3426, 1401, 325, 567, 722, 79987, 51279, 727, 925, 3689, 3965, 729",291,4.065853145
GO:0002449~lymphocyte mediated immunity,26,1.26E-09,"57823, 8809, 1378, 1178, 3135, 7855, 735, 6504, 716, 717, 718, 7133, 7037, 3594, 1191, 3426, 1401, 325, 567, 722, 79987, 51279, 727, 925, 3965, 729",291,4.415939392
GO:0002697~regulation of immune effector process,28,2.00E-09,"9865, 8995, 8809, 1378, 1178, 3135, 5654, 7855, 735, 6504, 4602, 718, 7133, 7037, 4189, 8764, 2220, 3594, 51191, 3426, 3567, 3929, 567, 722, 79987, 51237, 3689, 3965",291,4.016091084
GO:0043207~response to external biotic stimulus,48,2.53E-09,"929, 6035, 6038, 3240, 2922, 5618, 2921, 613209, 2204, 3512, 79798, 2167, 6348, 5654, 7855, 81494, 717, 149708, 718, 6362, 7132, 4360, 4283, 7133, 6346, 6863, 7412, 8764, 3078, 2220, 3594, 3394, 55593, 51191, 26228, 1191, 7096, 1401, 27179, 3929, 567, 722, 2332, 6039, 85363, 629, 3965, 4879",291,2.604271949
GO:0009607~response to biotic stimulus,49,3.16E-09,"6035, 6038, 3240, 5618, 613209, 3512, 5654, 6348, 81494, 717, 718, 6362, 7132, 7133, 7412, 1191, 7096, 27179, 3929, 567, 722, 6039, 85363, 3965, 929, 8751, 2922, 2921, 2204, 79798, 2167, 7855, 149708, 4360, 4283, 6346, 6863, 8764, 3078, 2220, 3594, 55593, 3394, 51191, 26228, 1401, 2332, 629, 4879",291,2.55218651
GO:0050778~positive regulation of immune response,38,3.80E-09,"929, 9865, 8809, 1378, 3135, 7855, 5699, 735, 81494, 6504, 716, 4602, 717, 718, 7037, 8764, 3078, 2220, 3594, 26228, 1191, 7096, 3426, 1401, 3929, 325, 567, 722, 146722, 79987, 51279, 727, 925, 3689, 85363, 629, 3965, 729",291,3.022203017
GO:0051707~response to other organism,47,6.94E-09,"929, 6035, 6038, 3240, 5618, 2921, 613209, 2204, 3512, 79798, 2167, 6348, 5654, 7855, 81494, 717, 149708, 718, 6362, 7132, 4360, 4283, 7133, 6346, 6863, 7412, 8764, 3078, 2220, 3594, 3394, 55593, 51191, 26228, 1191, 7096, 1401, 27179, 3929, 567, 722, 2332, 6039, 85363, 629, 3965, 4879",291,2.55628168
GO:0002460~adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,25,1.15E-08,"8995, 8809, 1378, 1178, 3135, 7855, 735, 6504, 716, 717, 718, 7133, 7037, 3594, 1191, 3426, 1401, 325, 567, 722, 79987, 51279, 727, 925, 729",291,4.109463781
"GO:0006958~complement activation, classical pathway",14,6.79E-08,"1191, 3426, 1401, 1378, 325, 79987, 722, 51279, 735, 716, 727, 717, 718, 729",291,7.263477234
GO:0009617~response to bacterium,35,1.35E-07,"929, 6035, 6038, 3240, 5618, 2921, 613209, 2204, 3512, 2167, 6348, 7855, 717, 149708, 718, 7132, 4360, 4283, 7133, 6863, 7412, 8764, 2220, 3394, 55593, 26228, 7096, 1401, 27179, 3929, 567, 722, 6039, 629, 3965",291,2.780278367
GO:0002455~humoral immune response mediated by circulating immunoglobulin,14,2.13E-07,"1191, 3426, 1401, 1378, 325, 79987, 722, 51279, 735, 716, 727, 717, 718, 729",291,6.593794936
GO:0002250~adaptive immune response,33,4.01E-07,"8995, 57823, 8809, 151888, 1378, 3512, 1178, 2267, 3135, 10990, 7855, 735, 6504, 716, 717, 718, 7133, 7037, 8764, 3594, 1191, 3903, 3426, 1401, 325, 567, 722, 79987, 10462, 51279, 727, 925, 729",291,2.760069075
GO:0002253~activation of immune response,27,1.97E-06,"929, 9865, 1378, 5699, 735, 81494, 716, 717, 718, 3078, 2220, 26228, 1191, 7096, 3426, 1401, 3929, 325, 722, 146722, 79987, 51279, 727, 925, 85363, 629, 729",291,2.934601043
GO:0019724~B cell mediated immunity,16,2.32E-06,"7037, 1191, 3426, 1401, 1378, 325, 79987, 722, 3135, 51279, 735, 716, 727, 717, 718, 729",291,4.599753053
GO:0016064~immunoglobulin mediated immune response,15,9.59E-06,"7037, 1191, 3426, 1401, 1378, 325, 79987, 722, 51279, 735, 716, 727, 717, 718, 729",291,4.369008862
GO:0030449~regulation of complement activation,6,6.50E-05,"3426, 1378, 79987, 722, 735, 718",291,13.73977959
GO:0002237~response to molecule of bacterial origin,18,7.53E-05,"929, 4360, 4283, 7133, 7412, 3394, 55593, 26228, 7096, 2921, 2204, 27179, 3929, 567, 6348, 7855, 717, 3965",291,3.112918814
GO:2000257~regulation of protein activation cascade,6,1.06E-04,"3426, 1378, 79987, 722, 735, 718",291,12.45167526
GO:0002673~regulation of acute inflammatory response,8,1.56E-04,"3426, 1378, 325, 79987, 722, 5468, 735, 718",291,6.89962958
GO:0002820~negative regulation of adaptive immune response,7,3.60E-04,"1378, 79987, 722, 8995, 8764, 3135, 6504",291,7.378770523
GO:0098542~defense response to other organism,23,0.001220843,"7132, 4283, 6035, 6863, 6038, 8764, 3078, 2220, 3594, 3394, 3240, 51191, 613209, 1401, 3512, 79798, 3929, 567, 5654, 6039, 81494, 149708, 85363",291,2.136231466
GO:0002920~regulation of humoral immune response,6,0.001274829,"3426, 1378, 79987, 722, 735, 718",291,7.378770523
GO:0002707~negative regulation of lymphocyte mediated immunity,6,0.001759404,"1378, 79987, 722, 3135, 6504, 3965",291,6.869889797
GO:0002823~negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,6,0.001759404,"1378, 79987, 722, 8995, 3135, 6504",291,6.869889797
GO:0002704~negative regulation of leukocyte mediated immunity,6,0.003776507,"1378, 79987, 722, 3135, 6504, 3965",291,5.774689975
"GO:0030451~regulation of complement activation, alternative pathway",3,0.005919647,"3426, 1378, 718",291,24.90335052
"GO:0045959~negative regulation of complement activation, classical pathway",3,0.007535904,"1378, 79987, 722",291,22.13631157
GO:0002698~negative regulation of immune effector process,8,0.00786783,"1378, 79987, 722, 8995, 3135, 5654, 6504, 3965",291,3.518354157
"GO:0030450~regulation of complement activation, classical pathway",3,0.009327082,"1378, 79987, 722",291,19.92268041
GO:0002924~negative regulation of humoral immune response mediated by circulating immunoglobulin,3,0.013412024,"1378, 79987, 722",291,16.60223368
GO:0002712~regulation of B cell mediated immunity,5,0.015606158,"1378, 7037, 79987, 722, 718",291,5.188198024
GO:0002889~regulation of immunoglobulin mediated immune response,5,0.015606158,"1378, 7037, 79987, 722, 718",291,5.188198024
GO:0070613~regulation of protein processing,6,0.01675496,"3426, 1378, 79987, 722, 735, 718",291,4.024783922
GO:0016485~protein processing,11,0.017630188,"3426, 1378, 2158, 79987, 722, 51279, 735, 2152, 3240, 9508, 718",291,2.387249287
GO:1903317~regulation of protein maturation,6,0.018117293,"3426, 1378, 79987, 722, 735, 718",291,3.94508523
GO:0050777~negative regulation of immune response,9,0.020333942,"1378, 79987, 722, 8995, 8764, 3135, 5468, 6504, 3965",291,2.668216127
GO:0045916~negative regulation of complement activation,3,0.020715997,"1378, 79987, 722",291,13.28178694
GO:2000258~negative regulation of protein activation cascade,3,0.023443946,"1378, 79987, 722",291,12.45167526
GO:0002713~negative regulation of B cell mediated immunity,3,0.026310357,"1378, 79987, 722",291,11.71922377
GO:0002890~negative regulation of immunoglobulin mediated immune response,3,0.026310357,"1378, 79987, 722",291,11.71922377
GO:0002921~negative regulation of humoral immune response,3,0.032439718,"1378, 79987, 722",291,10.48562127
GO:0002923~regulation of humoral immune response mediated by circulating immunoglobulin,3,0.032439718,"1378, 79987, 722",291,10.48562127
GO:0051604~protein maturation,11,0.049017601,"3426, 1378, 2158, 79987, 722, 51279, 735, 2152, 3240, 9508, 718",291,2.006863412
GO:1903318~negative regulation of protein maturation,3,0.151481672,"1378, 79987, 722",291,4.331017481
GO:0010955~negative regulation of protein processing,3,0.151481672,"1378, 79987, 722",291,4.331017481
GO:0001906~cell killing,19,6.77E-08,"6362, 4283, 6346, 6863, 3078, 3594, 26228, 2921, 57823, 1378, 567, 3135, 735, 81494, 727, 3965, 718, 4879, 729",291,4.928788123
GO:0035821~modification of morphology or physiology of other organism,18,8.71E-08,"6362, 4283, 6346, 6863, 3078, 3482, 2192, 2921, 1401, 325, 2332, 6348, 735, 81494, 727, 85363, 4879, 729",291,5.152417348
GO:0031640~killing of cells of other organism,11,1.80E-05,"6362, 2921, 4283, 6346, 6863, 3078, 735, 81494, 727, 729, 4879",291,5.891115176
GO:0044364~disruption of cells of other organism,11,1.80E-05,"6362, 2921, 4283, 6346, 6863, 3078, 735, 81494, 727, 729, 4879",291,5.891115176
GO:0019835~cytolysis,7,4.74E-05,"1378, 3929, 3078, 735, 81494, 727, 729",291,10.56505779
GO:0019730~antimicrobial humoral response,10,9.66E-04,"6362, 2921, 4283, 3512, 567, 6346, 6863, 6039, 149708, 4879",291,3.976582917
GO:0061844~antimicrobial humoral immune response mediated by antimicrobial peptide,8,0.0022411,"6362, 2921, 4283, 567, 6346, 6863, 6039, 4879",291,4.427262314
GO:0051240~positive regulation of multicellular organismal process,58,6.06E-07,"9388, 2152, 3481, 3084, 201633, 56975, 8809, 1378, 90, 6348, 50674, 6504, 4920, 4602, 718, 5617, 7133, 6288, 7058, 23654, 285, 1191, 7096, 27179, 3567, 3929, 567, 5468, 727, 3965, 929, 25805, 7422, 27, 8313, 28514, 2922, 411, 3135, 7855, 5754, 51548, 8828, 89780, 8289, 7037, 6423, 6346, 6863, 8764, 3594, 3394, 91461, 3625, 2332, 5764, 4879, 5925",291,1.978283623
GO:0001816~cytokine production,34,7.55E-07,"929, 9865, 28514, 2152, 201633, 2192, 8809, 1378, 1178, 3135, 6348, 7855, 6504, 718, 89780, 7133, 6288, 6346, 8764, 3594, 3394, 55593, 1191, 7096, 3625, 1401, 27179, 3929, 347, 567, 1001, 727, 3965, 9508",291,2.628525937
GO:0001817~regulation of cytokine production,33,5.13E-06,"929, 9865, 28514, 2152, 201633, 2192, 8809, 1378, 1178, 3135, 6348, 7855, 6504, 718, 89780, 7133, 6288, 6346, 8764, 3594, 3394, 55593, 1191, 7096, 3625, 1401, 27179, 3929, 347, 567, 1001, 727, 3965",291,2.448597593
GO:0001819~positive regulation of cytokine production,22,5.66E-05,"929, 89780, 6288, 6346, 8764, 3594, 2152, 3394, 201633, 1191, 7096, 8809, 27179, 3929, 567, 3135, 6348, 7855, 6504, 727, 3965, 718",291,2.751405958
GO:0022610~biological adhesion,70,5.42E-16,"128434, 3481, 3084, 201633, 2192, 396, 2348, 3959, 57823, 1378, 1178, 2267, 953, 90, 6504, 4602, 8740, 7133, 6288, 7058, 6247, 7412, 2683, 23654, 3371, 285, 145581, 27253, 402, 567, 4059, 78999, 3689, 3965, 1306, 8751, 7422, 27, 8995, 3381, 10516, 4907, 53841, 284359, 78986, 3135, 6402, 5754, 8828, 340267, 89780, 8289, 5098, 7037, 64101, 6423, 8764, 3594, 1293, 3625, 1840, 29930, 347, 1441, 3909, 1001, 79987, 342035, 8839, 92949",291,2.899953481
GO:0007155~cell adhesion,69,1.68E-15,"128434, 3481, 3084, 201633, 2192, 396, 2348, 3959, 57823, 1378, 1178, 2267, 953, 90, 6504, 4602, 8740, 7133, 6288, 7058, 6247, 7412, 2683, 23654, 3371, 285, 145581, 27253, 402, 567, 4059, 78999, 3689, 3965, 1306, 8751, 7422, 27, 8995, 3381, 10516, 4907, 53841, 284359, 78986, 3135, 6402, 5754, 8828, 340267, 89780, 8289, 5098, 7037, 64101, 6423, 8764, 3594, 1293, 1840, 29930, 347, 1441, 3909, 1001, 79987, 342035, 8839, 92949",291,2.871062967
GO:0045321~leukocyte activation,46,3.42E-10,"27, 8995, 28514, 3481, 201633, 2922, 5618, 3936, 2204, 57823, 8809, 1378, 51341, 79798, 1178, 2267, 3135, 6348, 7855, 5699, 6504, 4602, 8289, 8740, 89780, 9452, 7133, 7037, 4189, 7412, 8764, 3594, 3394, 26228, 1191, 145581, 7096, 3567, 1840, 3929, 567, 146722, 51237, 925, 3689, 3965",291,2.854963548
GO:0030155~regulation of cell adhesion,39,1.98E-09,"8751, 7422, 27, 8995, 28514, 3481, 3084, 201633, 3381, 2192, 396, 5618, 1378, 1178, 2267, 78986, 3135, 6504, 4602, 8289, 8740, 89780, 7133, 7037, 6288, 6423, 7412, 8764, 3594, 23654, 3371, 285, 1840, 402, 347, 567, 3909, 3689, 3965",291,3.036281892
GO:0001775~cell activation,48,2.34E-09,"27, 8995, 28514, 3481, 201633, 2922, 5618, 3936, 2204, 57823, 8809, 1378, 51341, 79798, 1178, 2267, 3135, 6348, 7855, 5699, 6504, 4602, 8289, 8740, 7076, 89780, 9452, 7133, 7037, 6288, 4189, 7412, 8764, 3594, 3394, 26228, 1191, 145581, 7096, 3567, 1840, 3929, 567, 146722, 51237, 925, 3689, 3965",291,2.610670652
GO:0098609~cell-cell adhesion,41,2.66E-08,"7422, 27, 128434, 8995, 3481, 3084, 201633, 1378, 4907, 53841, 284359, 1178, 2267, 90, 3135, 6402, 5754, 6504, 4602, 8289, 8740, 89780, 5098, 7133, 7037, 64101, 7412, 8764, 3594, 23654, 145581, 27253, 29930, 1840, 567, 3909, 1001, 78999, 342035, 3689, 3965",291,2.666764273
GO:0046649~lymphocyte activation,36,2.24E-07,"27, 8995, 28514, 3481, 201633, 5618, 3936, 57823, 8809, 1378, 51341, 79798, 1178, 2267, 3135, 7855, 5699, 6504, 4602, 8289, 8740, 89780, 9452, 7133, 7037, 4189, 7412, 8764, 3594, 3394, 3567, 1840, 567, 51237, 925, 3965",291,2.671197374
GO:0070661~leukocyte proliferation,21,4.85E-07,"8740, 89780, 7133, 7037, 8995, 7412, 8764, 3594, 3481, 1191, 5618, 1401, 1378, 3567, 79798, 1178, 3135, 5699, 6504, 51237, 3965",291,3.91738098
GO:0045785~positive regulation of cell adhesion,25,4.85E-07,"7422, 27, 8995, 3481, 3084, 3381, 2192, 1378, 78986, 3135, 6504, 4602, 8289, 8740, 89780, 7037, 6288, 6423, 7412, 8764, 3594, 402, 567, 3689, 3965",291,3.360776048
GO:0032943~mononuclear cell proliferation,20,5.15E-07,"8740, 89780, 7133, 7037, 8995, 7412, 8764, 3594, 3481, 5618, 1401, 1378, 3567, 79798, 1178, 3135, 5699, 6504, 51237, 3965",291,4.086703674
GO:0042110~T cell activation,27,5.53E-07,"27, 8995, 3481, 201633, 3936, 57823, 8809, 1378, 79798, 1178, 2267, 3135, 7855, 5699, 6504, 4602, 8289, 8740, 7133, 7037, 7412, 8764, 3594, 1840, 567, 925, 3965",291,3.140177298
GO:0002694~regulation of leukocyte activation,30,8.28E-07,"27, 8995, 3481, 201633, 5618, 1378, 1178, 2267, 3135, 6348, 6504, 4602, 8289, 8740, 89780, 7133, 7037, 7412, 8764, 3594, 26228, 145581, 3567, 1840, 3929, 567, 146722, 51237, 3689, 3965",291,2.846097202
GO:0032944~regulation of mononuclear cell proliferation,17,1.43E-06,"89780, 7133, 7037, 8995, 7412, 8764, 3594, 3481, 5618, 1401, 1378, 3567, 1178, 3135, 6504, 51237, 3965",291,4.479967818
GO:0046651~lymphocyte proliferation,19,1.87E-06,"8740, 89780, 7133, 7037, 8995, 7412, 8764, 3594, 3481, 5618, 1378, 3567, 79798, 1178, 3135, 5699, 6504, 51237, 3965",291,3.930746914
GO:0016337~single organismal cell-cell adhesion,29,2.14E-06,"7422, 27, 8995, 3481, 201633, 1378, 4907, 284359, 1178, 2267, 90, 3135, 6402, 6504, 4602, 8289, 8740, 89780, 7133, 7037, 7412, 8764, 3594, 1840, 567, 1001, 342035, 3689, 3965",291,2.77901747
GO:0007159~leukocyte cell-cell adhesion,23,2.54E-06,"8289, 8740, 7133, 7037, 27, 8995, 7412, 8764, 3594, 3481, 201633, 1378, 4907, 1840, 567, 1178, 2267, 3135, 6402, 6504, 3689, 4602, 3965",291,3.263686962
GO:0070663~regulation of leukocyte proliferation,17,3.68E-06,"89780, 7133, 7037, 8995, 7412, 8764, 3594, 3481, 5618, 1401, 1378, 3567, 1178, 3135, 6504, 51237, 3965",291,4.165874133
GO:0050865~regulation of cell activation,30,3.99E-06,"27, 8995, 3481, 201633, 5618, 1378, 1178, 2267, 3135, 6348, 6504, 4602, 8289, 8740, 89780, 7133, 7037, 7412, 8764, 3594, 26228, 145581, 3567, 1840, 3929, 567, 146722, 51237, 3689, 3965",291,2.628321954
GO:0050670~regulation of lymphocyte proliferation,16,5.53E-06,"89780, 7133, 7037, 8995, 7412, 8764, 3594, 3481, 5618, 1378, 3567, 1178, 3135, 6504, 51237, 3965",291,4.284447401
GO:0098602~single organism cell adhesion,30,6.17E-06,"7422, 27, 8995, 3481, 201633, 2192, 1378, 4907, 284359, 1178, 2267, 90, 3135, 6402, 6504, 4602, 8289, 8740, 89780, 7133, 7037, 7412, 8764, 3594, 1840, 567, 1001, 342035, 3689, 3965",291,2.57066844
