GO_Term,count,PValue,Genes,List_total,Fold_enrichment,Entrez_gene_symbol
GO:0036211~protein modification process,145,1.98e-11,"6197, 6198, 9101, 5781, 6233, 11183, 134510, 6477, 8654, 84959, 124790, 23326, 6470, 80124, 596, 54472, 1455, 10935, 115201, 90678, 53944, 8767, 7318, 51645, 11101, 3093, 7332, 4067, 6640, 5037, 4738, 79643, 84313, 23173, 51377, 128, 283871, 85365, 408, 9125, 9761, 10193, 5289, 116986, 64853, 261726, 9361, 374, 55585, 10913, 2321, 7337, 135112, 56957, 54936, 4361, 4086, 4087, 4088, 4089, 55072, 59272, 1490, 9097, 5607, 55236, 2332, 10000, 9647, 5601, 7867, 285193, 11059, 5606, 9146, 8850, 8452, 5584, 9943, 4090, 9261, 23081, 79058, 10612, 55364, 673, 1017, 10614, 57026, 5578, 5579, 10298, 9817, 2081, 140609, 7375, 5594, 5595, 5870, 2241, 5905, 27330, 2876, 79444, 2597, 5588, 5501, 207, 208, 6714, 10105, 9046, 7424, 6456, 3066, 2251, 282618, 55146, 3458, 55022, 1796, 3611, 1950, 1399, 151742, 92715, 10550, 64092, 30844, 2648, 64780, 8883, 5373, 5495, 6464, 4287, 5894, 8087, 1965, 2932, 867, 5007, 5524, 8877, 2539",416,1.679769926,"['RPS6KA3', 'RPS6KB1', 'USP8', 'PTPN11', 'RPS27A', 'MAP4K5', 'UBLCP1', 'SIAH1', 'PDE5A', 'UBASH3B', 'HEXIM2', 'USP22', 'SHMT1', 'VCPIP1', 'BCL2', 'TOLLIP', 'CSNK1G2', 'PRDX3', 'ATG4A', 'LRSAM1', 'CSNK1G1', 'RIPK2', 'UBA7', 'PPIL1', 'ATE1', 'UBE2K', 'UBE2L3', 'LYN', 'SNTA1', 'PEBP1', 'NEDD8', 'CHMP6', 'VPS25', 'METAP1', 'UCHL5', 'ADH5', 'PGP', 'ALG2', 'ARRB1', 'CNOT9', 'MLEC', 'RNF41', 'PIK3C3', 'AGAP2', 'AIDA', 'TIPRL', 'LONP1', 'AREG', 'UBE2Q1', 'EDAR', 'FLT1', 'UBE3A', 'NCOA7', 'OTUD7B', 'ADPRS', 'MRE11', 'SMAD1', 'SMAD2', 'SMAD3', 'SMAD4', 'RNF31', 'ACE2', 'CCN2', 'USP14', 'MAP2K5', 'UBA6', 'FMR1', 'AKT3', 'PPM1F', 'MAPK9', 'MAPKAPK3', 'DUSP28', 'WWP1', 'MAP2K3', 'HGS', 'KAT2B', 'CUL3', 'PRKCI', 'OXSR1', 'SMAD5', 'MAPKAPK2', 'KDM4C', 'ASPSCR1', 'TRIM3', 'IMPACT', 'BRAF', 'CDK2', 'HEXIM1', 'PDXP', 'PRKCA', 'PRKCB', 'PAK4', 'KEAP1', 'ERN1', 'NEK7', 'USP4', 'MAPK1', 'MAPK3', 'RAB6A', 'FER', 'RANGAP1', 'RPS6KA6', 'GPX1', 'BIRC7', 'GAPDH', 'PRKCQ', 'PPP1CC', 'AKT1', 'AKT2', 'SRC', 'PPIF', 'DOK2', 'VEGFC', 'SH3GL2', 'HDAC2', 'FGF6', 'IFNL1', 'ZDHHC4', 'IFNG', 'PID1', 'DOK1', 'ILK', 'EGF', 'CRKL', 'PPM1L', 'DPH7', 'ARL6IP5', 'SAMSN1', 'EHD4', 'KAT2A', 'MICAL1', 'NAE1', 'PMM2', 'PPM1B', 'SHC1', 'ATXN3', 'RAF1', 'FXR1', 'EIF2S1', 'GSK3B', 'CBL', 'OSBP', 'PTPA', 'SPHK1', 'G6PD']"
GO:0019220~regulation of phosphate metabolic process,80,5.05e-10,"9146, 8850, 5781, 8654, 84959, 124790, 673, 55364, 596, 10614, 10935, 5578, 8767, 10298, 3093, 2081, 5594, 5595, 4067, 5037, 2241, 27330, 79643, 79444, 84313, 207, 208, 5305, 408, 6714, 10105, 9125, 8396, 9046, 10193, 7424, 6456, 6774, 116986, 64853, 3066, 2251, 261726, 9361, 282618, 572, 3417, 374, 3458, 55022, 1796, 3611, 1950, 10913, 1399, 2321, 10550, 64092, 1915, 30844, 64780, 4361, 6342, 4088, 6464, 4089, 5894, 4200, 59272, 8087, 1490, 5607, 2932, 2332, 867, 5007, 5524, 8877, 9647, 5606",416,2.069235052,"['HGS', 'KAT2B', 'PTPN11', 'PDE5A', 'UBASH3B', 'HEXIM2', 'BRAF', 'IMPACT', 'BCL2', 'HEXIM1', 'PRDX3', 'PRKCA', 'RIPK2', 'PAK4', 'UBE2K', 'ERN1', 'MAPK1', 'MAPK3', 'LYN', 'PEBP1', 'FER', 'RPS6KA6', 'CHMP6', 'BIRC7', 'VPS25', 'AKT1', 'AKT2', 'PIP4K2A', 'ARRB1', 'SRC', 'PPIF', 'CNOT9', 'PIP4K2B', 'DOK2', 'RNF41', 'VEGFC', 'SH3GL2', 'STAT3', 'AGAP2', 'AIDA', 'HDAC2', 'FGF6', 'TIPRL', 'LONP1', 'IFNL1', 'BAD', 'IDH1', 'AREG', 'IFNG', 'PID1', 'DOK1', 'ILK', 'EGF', 'EDAR', 'CRKL', 'FLT1', 'ARL6IP5', 'SAMSN1', 'EEF1A1', 'EHD4', 'MICAL1', 'MRE11', 'SCP2', 'SMAD3', 'SHC1', 'SMAD4', 'RAF1', 'ME2', 'ACE2', 'FXR1', 'CCN2', 'MAP2K5', 'GSK3B', 'FMR1', 'CBL', 'OSBP', 'PTPA', 'SPHK1', 'PPM1F', 'MAP2K3']"
GO:0051174~regulation of phosphorus metabolic process,80,5.66e-10,"9146, 8850, 5781, 8654, 84959, 124790, 673, 55364, 596, 10614, 10935, 5578, 8767, 10298, 3093, 2081, 5594, 5595, 4067, 5037, 2241, 27330, 79643, 79444, 84313, 207, 208, 5305, 408, 6714, 10105, 9125, 8396, 9046, 10193, 7424, 6456, 6774, 116986, 64853, 3066, 2251, 261726, 9361, 282618, 572, 3417, 374, 3458, 55022, 1796, 3611, 1950, 10913, 1399, 2321, 10550, 64092, 1915, 30844, 64780, 4361, 6342, 4088, 6464, 4089, 5894, 4200, 59272, 8087, 1490, 5607, 2932, 2332, 867, 5007, 5524, 8877, 9647, 5606",416,2.063490369,"['HGS', 'KAT2B', 'PTPN11', 'PDE5A', 'UBASH3B', 'HEXIM2', 'BRAF', 'IMPACT', 'BCL2', 'HEXIM1', 'PRDX3', 'PRKCA', 'RIPK2', 'PAK4', 'UBE2K', 'ERN1', 'MAPK1', 'MAPK3', 'LYN', 'PEBP1', 'FER', 'RPS6KA6', 'CHMP6', 'BIRC7', 'VPS25', 'AKT1', 'AKT2', 'PIP4K2A', 'ARRB1', 'SRC', 'PPIF', 'CNOT9', 'PIP4K2B', 'DOK2', 'RNF41', 'VEGFC', 'SH3GL2', 'STAT3', 'AGAP2', 'AIDA', 'HDAC2', 'FGF6', 'TIPRL', 'LONP1', 'IFNL1', 'BAD', 'IDH1', 'AREG', 'IFNG', 'PID1', 'DOK1', 'ILK', 'EGF', 'EDAR', 'CRKL', 'FLT1', 'ARL6IP5', 'SAMSN1', 'EEF1A1', 'EHD4', 'MICAL1', 'MRE11', 'SCP2', 'SMAD3', 'SHC1', 'SMAD4', 'RAF1', 'ME2', 'ACE2', 'FXR1', 'CCN2', 'MAP2K5', 'GSK3B', 'FMR1', 'CBL', 'OSBP', 'PTPA', 'SPHK1', 'PPM1F', 'MAP2K3']"
GO:0042325~regulation of phosphorylation,73,1.93e-09,"9146, 8850, 5781, 8654, 84959, 124790, 673, 55364, 596, 10614, 10935, 5578, 8767, 10298, 3093, 2081, 5594, 5595, 4067, 5037, 2241, 27330, 79643, 79444, 84313, 207, 208, 5305, 408, 6714, 10105, 9125, 8396, 9046, 10193, 7424, 6456, 6774, 116986, 64853, 3066, 2251, 9361, 282618, 572, 374, 3458, 55022, 1796, 3611, 1950, 10913, 1399, 2321, 10550, 64092, 1915, 30844, 64780, 4361, 6464, 4089, 5894, 59272, 8087, 1490, 5607, 2332, 867, 5007, 8877, 9647, 5606",416,2.099793106,"['HGS', 'KAT2B', 'PTPN11', 'PDE5A', 'UBASH3B', 'HEXIM2', 'BRAF', 'IMPACT', 'BCL2', 'HEXIM1', 'PRDX3', 'PRKCA', 'RIPK2', 'PAK4', 'UBE2K', 'ERN1', 'MAPK1', 'MAPK3', 'LYN', 'PEBP1', 'FER', 'RPS6KA6', 'CHMP6', 'BIRC7', 'VPS25', 'AKT1', 'AKT2', 'PIP4K2A', 'ARRB1', 'SRC', 'PPIF', 'CNOT9', 'PIP4K2B', 'DOK2', 'RNF41', 'VEGFC', 'SH3GL2', 'STAT3', 'AGAP2', 'AIDA', 'HDAC2', 'FGF6', 'LONP1', 'IFNL1', 'BAD', 'AREG', 'IFNG', 'PID1', 'DOK1', 'ILK', 'EGF', 'EDAR', 'CRKL', 'FLT1', 'ARL6IP5', 'SAMSN1', 'EEF1A1', 'EHD4', 'MICAL1', 'MRE11', 'SHC1', 'SMAD4', 'RAF1', 'ACE2', 'FXR1', 'CCN2', 'MAP2K5', 'FMR1', 'CBL', 'OSBP', 'SPHK1', 'PPM1F', 'MAP2K3']"
GO:0035556~intracellular signal transduction,107,2.62e-09,"6197, 6198, 9101, 5781, 23607, 11183, 6477, 8654, 2272, 596, 2664, 9218, 8767, 3635, 7454, 4067, 5037, 1072, 408, 6772, 10193, 5289, 29, 6774, 116986, 64853, 261726, 374, 23380, 10913, 2321, 7337, 56957, 4086, 4087, 4088, 4089, 9138, 55072, 59272, 1490, 5607, 10000, 9647, 5601, 7867, 5606, 9146, 23526, 9265, 8452, 6275, 5584, 9943, 9261, 26470, 3837, 55364, 673, 1017, 10614, 5578, 5579, 10298, 1936, 2081, 5594, 5595, 5872, 2241, 27330, 2876, 79444, 2597, 81488, 23011, 8615, 5588, 5501, 207, 208, 6714, 10105, 7409, 9046, 8994, 9049, 3066, 282618, 572, 3458, 1796, 3611, 1950, 1399, 151742, 10550, 5495, 8644, 6464, 5894, 2932, 192669, 8517, 867, 5007, 8877",416,1.760755572,"['RPS6KA3', 'RPS6KB1', 'USP8', 'PTPN11', 'CD2AP', 'MAP4K5', 'SIAH1', 'PDE5A', 'FHIT', 'BCL2', 'GDI1', 'VAPA', 'RIPK2', 'INPP5D', 'WAS', 'LYN', 'PEBP1', 'CFL1', 'ARRB1', 'STAT1', 'RNF41', 'PIK3C3', 'ABR', 'STAT3', 'AGAP2', 'AIDA', 'TIPRL', 'AREG', 'SRGAP2', 'EDAR', 'FLT1', 'UBE3A', 'OTUD7B', 'SMAD1', 'SMAD2', 'SMAD3', 'SMAD4', 'ARHGEF1', 'RNF31', 'ACE2', 'CCN2', 'MAP2K5', 'AKT3', 'PPM1F', 'MAPK9', 'MAPKAPK3', 'MAP2K3', 'HGS', 'ARHGAP45', 'CYTH3', 'CUL3', 'S100A4', 'PRKCI', 'OXSR1', 'MAPKAPK2', 'SEZ6L2', 'KPNB1', 'IMPACT', 'BRAF', 'CDK2', 'HEXIM1', 'PRKCA', 'PRKCB', 'PAK4', 'EEF1D', 'ERN1', 'MAPK1', 'MAPK3', 'RAB13', 'FER', 'RPS6KA6', 'GPX1', 'BIRC7', 'GAPDH', 'POLR2M', 'RAB21', 'USO1', 'PRKCQ', 'PPP1CC', 'AKT1', 'AKT2', 'SRC', 'PPIF', 'VAV1', 'DOK2', 'LIMD1', 'AIP', 'HDAC2', 'IFNL1', 'BAD', 'IFNG', 'DOK1', 'ILK', 'EGF', 'CRKL', 'PPM1L', 'ARL6IP5', 'PPM1B', 'AKR1C3', 'SHC1', 'RAF1', 'GSK3B', 'AGO3', 'IKBKG', 'CBL', 'OSBP', 'SPHK1']"
GO:0031399~regulation of protein modification process,81,5.94e-09,"9146, 8850, 8452, 5781, 8654, 84959, 124790, 23081, 79058, 673, 55364, 596, 54472, 10614, 5578, 8767, 10298, 3093, 2081, 7332, 7375, 5594, 5595, 4067, 6640, 5037, 2241, 27330, 79643, 79444, 84313, 207, 208, 408, 6714, 9125, 9046, 10193, 7424, 6456, 116986, 64853, 3066, 2251, 261726, 9361, 282618, 374, 3458, 55022, 1796, 3611, 1950, 10913, 1399, 2321, 10550, 7337, 64092, 135112, 30844, 2648, 64780, 4361, 6464, 4089, 5894, 59272, 8087, 1490, 5607, 2932, 2332, 867, 5007, 5524, 8877, 9647, 5601, 2539, 5606",416,1.949637555,"['HGS', 'KAT2B', 'CUL3', 'PTPN11', 'PDE5A', 'UBASH3B', 'HEXIM2', 'KDM4C', 'ASPSCR1', 'BRAF', 'IMPACT', 'BCL2', 'TOLLIP', 'HEXIM1', 'PRKCA', 'RIPK2', 'PAK4', 'UBE2K', 'ERN1', 'UBE2L3', 'USP4', 'MAPK1', 'MAPK3', 'LYN', 'SNTA1', 'PEBP1', 'FER', 'RPS6KA6', 'CHMP6', 'BIRC7', 'VPS25', 'AKT1', 'AKT2', 'ARRB1', 'SRC', 'CNOT9', 'DOK2', 'RNF41', 'VEGFC', 'SH3GL2', 'AGAP2', 'AIDA', 'HDAC2', 'FGF6', 'TIPRL', 'LONP1', 'IFNL1', 'AREG', 'IFNG', 'PID1', 'DOK1', 'ILK', 'EGF', 'EDAR', 'CRKL', 'FLT1', 'ARL6IP5', 'UBE3A', 'SAMSN1', 'NCOA7', 'EHD4', 'KAT2A', 'MICAL1', 'MRE11', 'SHC1', 'SMAD4', 'RAF1', 'ACE2', 'FXR1', 'CCN2', 'MAP2K5', 'GSK3B', 'FMR1', 'CBL', 'OSBP', 'PTPA', 'SPHK1', 'PPM1F', 'MAPK9', 'G6PD', 'MAP2K3']"
GO:0001932~regulation of protein phosphorylation,66,2.02e-08,"9146, 8850, 5781, 8654, 84959, 124790, 673, 55364, 596, 10614, 5578, 8767, 10298, 3093, 2081, 5594, 5595, 4067, 5037, 2241, 27330, 79643, 79444, 84313, 207, 208, 408, 6714, 9125, 9046, 10193, 7424, 6456, 116986, 64853, 3066, 2251, 9361, 282618, 374, 3458, 55022, 1796, 3611, 1950, 10913, 1399, 2321, 10550, 64092, 30844, 64780, 4361, 6464, 4089, 5894, 59272, 8087, 1490, 5607, 2332, 867, 5007, 8877, 9647, 5606",416,2.081456603,"['HGS', 'KAT2B', 'PTPN11', 'PDE5A', 'UBASH3B', 'HEXIM2', 'BRAF', 'IMPACT', 'BCL2', 'HEXIM1', 'PRKCA', 'RIPK2', 'PAK4', 'UBE2K', 'ERN1', 'MAPK1', 'MAPK3', 'LYN', 'PEBP1', 'FER', 'RPS6KA6', 'CHMP6', 'BIRC7', 'VPS25', 'AKT1', 'AKT2', 'ARRB1', 'SRC', 'CNOT9', 'DOK2', 'RNF41', 'VEGFC', 'SH3GL2', 'AGAP2', 'AIDA', 'HDAC2', 'FGF6', 'LONP1', 'IFNL1', 'AREG', 'IFNG', 'PID1', 'DOK1', 'ILK', 'EGF', 'EDAR', 'CRKL', 'FLT1', 'ARL6IP5', 'SAMSN1', 'EHD4', 'MICAL1', 'MRE11', 'SHC1', 'SMAD4', 'RAF1', 'ACE2', 'FXR1', 'CCN2', 'MAP2K5', 'FMR1', 'CBL', 'OSBP', 'SPHK1', 'PPM1F', 'MAP2K3']"
GO:0051246~regulation of protein metabolic process,120,4.43e-08,"6197, 6198, 9101, 5781, 8654, 84959, 2272, 124790, 6470, 596, 54472, 8767, 3633, 5813, 3093, 7332, 4067, 6640, 5037, 4738, 79643, 84313, 23173, 51377, 5702, 408, 9125, 10193, 6774, 116986, 64853, 261726, 9361, 374, 10913, 2321, 7337, 5315, 1915, 135112, 4361, 4086, 4087, 4088, 4089, 59272, 1490, 9097, 5607, 2332, 9647, 5601, 11059, 5606, 9146, 8850, 8452, 23081, 79058, 10612, 55364, 673, 1017, 10614, 5578, 51204, 10298, 9817, 2081, 7375, 5594, 5595, 9798, 2241, 26523, 3329, 83547, 27330, 2876, 79444, 26088, 2597, 207, 208, 6714, 9046, 7424, 8994, 6456, 3066, 2251, 282618, 572, 3458, 55022, 1796, 3611, 1950, 1399, 10550, 64092, 30844, 2648, 64780, 7432, 6464, 4287, 5894, 8087, 1965, 2932, 192669, 867, 5007, 5524, 8877, 10289, 56648, 2539, 10049",416,1.604639963,"['RPS6KA3', 'RPS6KB1', 'USP8', 'PTPN11', 'PDE5A', 'UBASH3B', 'FHIT', 'HEXIM2', 'SHMT1', 'BCL2', 'TOLLIP', 'RIPK2', 'INPP5B', 'PURA', 'UBE2K', 'UBE2L3', 'LYN', 'SNTA1', 'PEBP1', 'NEDD8', 'CHMP6', 'VPS25', 'METAP1', 'UCHL5', 'PSMC3', 'ARRB1', 'CNOT9', 'RNF41', 'STAT3', 'AGAP2', 'AIDA', 'TIPRL', 'LONP1', 'AREG', 'EDAR', 'FLT1', 'UBE3A', 'PKM', 'EEF1A1', 'NCOA7', 'MRE11', 'SMAD1', 'SMAD2', 'SMAD3', 'SMAD4', 'ACE2', 'CCN2', 'USP14', 'MAP2K5', 'FMR1', 'PPM1F', 'MAPK9', 'WWP1', 'MAP2K3', 'HGS', 'KAT2B', 'CUL3', 'KDM4C', 'ASPSCR1', 'TRIM3', 'IMPACT', 'BRAF', 'CDK2', 'HEXIM1', 'PRKCA', 'TACO1', 'PAK4', 'KEAP1', 'ERN1', 'USP4', 'MAPK1', 'MAPK3', 'IST1', 'FER', 'AGO1', 'HSPD1', 'RILP', 'RPS6KA6', 'GPX1', 'BIRC7', 'GGA1', 'GAPDH', 'AKT1', 'AKT2', 'SRC', 'DOK2', 'VEGFC', 'LIMD1', 'SH3GL2', 'HDAC2', 'FGF6', 'IFNL1', 'BAD', 'IFNG', 'PID1', 'DOK1', 'ILK', 'EGF', 'CRKL', 'ARL6IP5', 'SAMSN1', 'EHD4', 'KAT2A', 'MICAL1', 'VIP', 'SHC1', 'ATXN3', 'RAF1', 'FXR1', 'EIF2S1', 'GSK3B', 'AGO3', 'CBL', 'OSBP', 'PTPA', 'SPHK1', 'EIF1B', 'EIF5A2', 'G6PD', 'DNAJB6']"
GO:0051247~positive regulation of protein metabolic process,72,1.66e-07,"8452, 9101, 5781, 6198, 8654, 79058, 673, 55364, 596, 54472, 5578, 8767, 9817, 3093, 2081, 7332, 5594, 5595, 4067, 9798, 3329, 83547, 79444, 26088, 207, 208, 408, 5702, 6714, 9125, 9046, 10193, 7424, 6774, 116986, 3066, 2251, 282618, 572, 374, 3458, 1796, 3611, 1950, 10913, 1399, 2321, 10550, 7337, 5315, 30844, 2648, 4361, 4088, 7432, 4287, 6464, 4089, 5894, 8087, 1490, 5607, 2932, 2332, 5007, 5524, 8877, 9647, 5601, 11059, 56648, 5606",416,1.893947644,"['CUL3', 'USP8', 'PTPN11', 'RPS6KB1', 'PDE5A', 'ASPSCR1', 'BRAF', 'IMPACT', 'BCL2', 'TOLLIP', 'PRKCA', 'RIPK2', 'KEAP1', 'UBE2K', 'ERN1', 'UBE2L3', 'MAPK1', 'MAPK3', 'LYN', 'IST1', 'HSPD1', 'RILP', 'BIRC7', 'GGA1', 'AKT1', 'AKT2', 'ARRB1', 'PSMC3', 'SRC', 'CNOT9', 'DOK2', 'RNF41', 'VEGFC', 'STAT3', 'AGAP2', 'HDAC2', 'FGF6', 'IFNL1', 'BAD', 'AREG', 'IFNG', 'DOK1', 'ILK', 'EGF', 'EDAR', 'CRKL', 'FLT1', 'ARL6IP5', 'UBE3A', 'PKM', 'EHD4', 'KAT2A', 'MRE11', 'SMAD3', 'VIP', 'ATXN3', 'SHC1', 'SMAD4', 'RAF1', 'FXR1', 'CCN2', 'MAP2K5', 'GSK3B', 'FMR1', 'OSBP', 'PTPA', 'SPHK1', 'PPM1F', 'MAPK9', 'WWP1', 'EIF5A2', 'MAP2K3']"
GO:0032268~regulation of cellular protein metabolic process,112,3.06e-07,"6197, 6198, 9101, 5781, 8654, 84959, 2272, 124790, 6470, 596, 54472, 8767, 5813, 3093, 7332, 4067, 6640, 5037, 79643, 84313, 23173, 51377, 5702, 408, 9125, 10193, 6774, 116986, 64853, 261726, 9361, 374, 10913, 2321, 7337, 5315, 135112, 4361, 4086, 4087, 4088, 4089, 59272, 1490, 9097, 5607, 2332, 9647, 5601, 5606, 9146, 8850, 8452, 23081, 79058, 10612, 55364, 673, 1017, 10614, 5578, 51204, 10298, 9817, 2081, 7375, 5594, 5595, 9798, 2241, 26523, 3329, 27330, 2876, 79444, 2597, 207, 208, 6714, 9046, 7424, 8994, 6456, 3066, 2251, 282618, 572, 3458, 55022, 1796, 3611, 1950, 1399, 10550, 64092, 30844, 2648, 64780, 6464, 5894, 8087, 1965, 2932, 192669, 867, 5007, 5524, 8877, 10289, 56648, 2539, 10049",416,1.584795801,"['RPS6KA3', 'RPS6KB1', 'USP8', 'PTPN11', 'PDE5A', 'UBASH3B', 'FHIT', 'HEXIM2', 'SHMT1', 'BCL2', 'TOLLIP', 'RIPK2', 'PURA', 'UBE2K', 'UBE2L3', 'LYN', 'SNTA1', 'PEBP1', 'CHMP6', 'VPS25', 'METAP1', 'UCHL5', 'PSMC3', 'ARRB1', 'CNOT9', 'RNF41', 'STAT3', 'AGAP2', 'AIDA', 'TIPRL', 'LONP1', 'AREG', 'EDAR', 'FLT1', 'UBE3A', 'PKM', 'NCOA7', 'MRE11', 'SMAD1', 'SMAD2', 'SMAD3', 'SMAD4', 'ACE2', 'CCN2', 'USP14', 'MAP2K5', 'FMR1', 'PPM1F', 'MAPK9', 'MAP2K3', 'HGS', 'KAT2B', 'CUL3', 'KDM4C', 'ASPSCR1', 'TRIM3', 'IMPACT', 'BRAF', 'CDK2', 'HEXIM1', 'PRKCA', 'TACO1', 'PAK4', 'KEAP1', 'ERN1', 'USP4', 'MAPK1', 'MAPK3', 'IST1', 'FER', 'AGO1', 'HSPD1', 'RPS6KA6', 'GPX1', 'BIRC7', 'GAPDH', 'AKT1', 'AKT2', 'SRC', 'DOK2', 'VEGFC', 'LIMD1', 'SH3GL2', 'HDAC2', 'FGF6', 'IFNL1', 'BAD', 'IFNG', 'PID1', 'DOK1', 'ILK', 'EGF', 'CRKL', 'ARL6IP5', 'SAMSN1', 'EHD4', 'KAT2A', 'MICAL1', 'SHC1', 'RAF1', 'FXR1', 'EIF2S1', 'GSK3B', 'AGO3', 'CBL', 'OSBP', 'PTPA', 'SPHK1', 'EIF1B', 'EIF5A2', 'G6PD', 'DNAJB6']"
GO:1902531~regulation of intracellular signal transduction,74,1.59e-06,"9146, 23526, 9265, 6275, 8452, 5781, 23607, 6477, 8654, 26470, 673, 596, 10614, 5578, 9218, 8767, 5579, 10298, 1936, 2081, 5594, 5595, 4067, 5037, 27330, 2876, 79444, 2597, 207, 408, 6714, 10105, 7409, 9046, 10193, 6772, 8994, 9049, 29, 116986, 64853, 3066, 282618, 572, 374, 23380, 3458, 1796, 3611, 1950, 10913, 1399, 2321, 10550, 7337, 56957, 5495, 8644, 6464, 4089, 5894, 9138, 55072, 59272, 1490, 5607, 2932, 192669, 10000, 8517, 867, 5007, 8877, 5606",416,1.763786656,"['HGS', 'ARHGAP45', 'CYTH3', 'S100A4', 'CUL3', 'PTPN11', 'CD2AP', 'SIAH1', 'PDE5A', 'SEZ6L2', 'BRAF', 'BCL2', 'HEXIM1', 'PRKCA', 'VAPA', 'RIPK2', 'PRKCB', 'PAK4', 'EEF1D', 'ERN1', 'MAPK1', 'MAPK3', 'LYN', 'PEBP1', 'RPS6KA6', 'GPX1', 'BIRC7', 'GAPDH', 'AKT1', 'ARRB1', 'SRC', 'PPIF', 'VAV1', 'DOK2', 'RNF41', 'STAT1', 'LIMD1', 'AIP', 'ABR', 'AGAP2', 'AIDA', 'HDAC2', 'IFNL1', 'BAD', 'AREG', 'SRGAP2', 'IFNG', 'DOK1', 'ILK', 'EGF', 'EDAR', 'CRKL', 'FLT1', 'ARL6IP5', 'UBE3A', 'OTUD7B', 'PPM1B', 'AKR1C3', 'SHC1', 'SMAD4', 'RAF1', 'ARHGEF1', 'RNF31', 'ACE2', 'CCN2', 'MAP2K5', 'GSK3B', 'AGO3', 'AKT3', 'IKBKG', 'CBL', 'OSBP', 'SPHK1', 'MAP2K3']"
GO:0048584~positive regulation of response to stimulus,91,2.04e-06,"6197, 6275, 9101, 5781, 5584, 9943, 6477, 8654, 9261, 10612, 673, 596, 10614, 1455, 952, 51324, 90678, 53944, 5578, 9218, 8767, 5579, 5019, 1936, 3635, 3093, 2081, 5594, 5595, 7454, 4067, 3329, 2876, 79444, 2597, 51377, 81565, 5588, 207, 408, 6714, 10105, 7409, 9125, 9046, 5321, 7424, 6774, 116986, 3066, 282618, 572, 374, 3458, 1796, 3611, 1950, 10913, 1399, 2321, 10550, 7337, 5495, 4087, 8644, 4088, 4287, 6464, 4089, 5894, 55072, 8087, 23633, 1490, 5607, 79465, 2932, 2332, 192669, 10000, 8517, 867, 5007, 8877, 9647, 5601, 7867, 55915, 2814, 26060, 5606",416,1.629662201,"['RPS6KA3', 'S100A4', 'USP8', 'PTPN11', 'PRKCI', 'OXSR1', 'SIAH1', 'PDE5A', 'MAPKAPK2', 'TRIM3', 'BRAF', 'BCL2', 'HEXIM1', 'CSNK1G2', 'CD38', 'SPG21', 'LRSAM1', 'CSNK1G1', 'PRKCA', 'VAPA', 'RIPK2', 'PRKCB', 'OXCT1', 'EEF1D', 'INPP5D', 'UBE2K', 'ERN1', 'MAPK1', 'MAPK3', 'WAS', 'LYN', 'HSPD1', 'GPX1', 'BIRC7', 'GAPDH', 'UCHL5', 'NDEL1', 'PRKCQ', 'AKT1', 'ARRB1', 'SRC', 'PPIF', 'VAV1', 'CNOT9', 'DOK2', 'PLA2G4A', 'VEGFC', 'STAT3', 'AGAP2', 'HDAC2', 'IFNL1', 'BAD', 'AREG', 'IFNG', 'DOK1', 'ILK', 'EGF', 'EDAR', 'CRKL', 'FLT1', 'ARL6IP5', 'UBE3A', 'PPM1B', 'SMAD2', 'AKR1C3', 'SMAD3', 'ATXN3', 'SHC1', 'SMAD4', 'RAF1', 'RNF31', 'FXR1', 'KPNA6', 'CCN2', 'MAP2K5', 'ULBP3', 'GSK3B', 'FMR1', 'AGO3', 'AKT3', 'IKBKG', 'CBL', 'OSBP', 'SPHK1', 'PPM1F', 'MAPK9', 'MAPKAPK3', 'LANCL2', 'GP5', 'APPL1', 'MAP2K3']"
