GO_Term,count,PValue,Genes,List_total,Fold_enrichment,Entrez_gene_symbol
GO:0034612~response to tumor necrosis factor,16,2.25e-05,"929, 6362, 7132, 58191, 7133, 6368, 6346, 8995, 7412, 8764, 355, 2204, 2167, 51588, 6348, 5699",291,3.808397689,"['CD14', 'CCL18', 'TNFRSF1A', 'CXCL16', 'TNFRSF1B', 'CCL23', 'CCL1', 'TNFSF18', 'VCAM1', 'TNFRSF14', 'FAS', 'FCAR', 'FABP4', 'PIAS4', 'CCL3', 'PSMB10']"
GO:0071356~cellular response to tumor necrosis factor,14,0.000106,"6362, 7132, 7133, 6368, 6346, 8995, 7412, 8764, 355, 2204, 2167, 51588, 6348, 5699",291,3.733835686,"['CCL18', 'TNFRSF1A', 'TNFRSF1B', 'CCL23', 'CCL1', 'TNFSF18', 'VCAM1', 'TNFRSF14', 'FAS', 'FCAR', 'FABP4', 'PIAS4', 'CCL3', 'PSMB10']"
GO:0033209~tumor necrosis factor-mediated signaling pathway,7,0.00916506,"7132, 355, 7133, 8995, 8764, 51588, 5699",291,3.906407924,"['TNFRSF1A', 'FAS', 'TNFRSF1B', 'TNFSF18', 'TNFRSF14', 'PIAS4', 'PSMB10']"
GO:0006952~defense response,85,8.7e-20,"58191, 9865, 5265, 6035, 6038, 2152, 3240, 3959, 613209, 57823, 8809, 3512, 1378, 90, 5654, 6348, 5699, 81494, 6504, 716, 717, 718, 6362, 7132, 7133, 6288, 6368, 7412, 2683, 3371, 1191, 145581, 7096, 284207, 27179, 3567, 3929, 567, 325, 722, 10462, 6039, 5468, 727, 3689, 85363, 3965, 729, 929, 8751, 8995, 2922, 2921, 2204, 4907, 79798, 3135, 2167, 10990, 735, 149708, 4360, 7076, 4283, 7037, 6346, 6863, 8764, 3078, 2220, 3594, 3394, 51191, 3625, 3426, 1401, 347, 146722, 1441, 79987, 5764, 51279, 8635, 629, 5925",291,2.896233684,"['CXCL16', 'TRIL', 'SERPINA1', 'RNASE1', 'RNASE4', 'F3', 'HP', 'LGALS3BP', 'DEFB135', 'SLAMF7', 'IL18R1', 'JCHAIN', 'CR1', 'ACVR1', 'HTRA1', 'CCL3', 'PSMB10', 'CFHR5', 'SLAMF1', 'C1S', 'C2', 'C3', 'CCL18', 'TNFRSF1A', 'TNFRSF1B', 'SAA1', 'CCL23', 'VCAM1', 'B4GALT1', 'TNC', 'CLU', 'LRFN5', 'TLR1', 'METRNL', 'IL36A', 'IL5', 'LBP', 'B2M', 'APCS', 'C4BPA', 'CLEC10A', 'RNASE6', 'PPARG', 'C5', 'ITGB2', 'TRIM5', 'LGALS9', 'C6', 'CD14', 'ADAM15', 'TNFSF18', 'GRP', 'CXCL3', 'FCAR', 'NT5E', 'ARMC5', 'HLA-G', 'FABP4', 'LILRB5', 'C9', 'WFDC5', 'MRC1', 'TIMP1', 'CXCL9', 'TFRC', 'CCL1', 'TAC1', 'TNFRSF14', 'CFHR1', 'FCN2', 'IL12RB1', 'IRF8', 'HERC5', 'INHBB', 'CFI', 'CRP', 'APOD', 'CD300LF', 'CSF3R', 'SVEP1', 'PTN', 'C1RL', 'RNASET2', 'CFB', 'RB1']"
GO:0009605~response to external stimulus,101,1.69e-18,"2152, 3240, 3084, 83999, 613209, 151647, 355, 3512, 5654, 6348, 6504, 6362, 6247, 6368, 3371, 1191, 284207, 3929, 85363, 929, 2204, 4907, 411, 79798, 79955, 2167, 7855, 8828, 4360, 5055, 6423, 2220, 55593, 3394, 3426, 1401, 2332, 2695, 4879, 11337, 9388, 58191, 6035, 6038, 128434, 5618, 2348, 432, 1378, 81494, 717, 340204, 718, 5617, 7132, 8740, 7133, 6288, 7412, 23654, 285, 145581, 7096, 51052, 27179, 567, 325, 722, 5468, 6039, 3689, 727, 3965, 5627, 9563, 7422, 8995, 2922, 2921, 5754, 735, 149708, 89780, 4283, 7037, 6346, 6863, 8764, 3078, 3594, 51191, 26228, 3625, 347, 3909, 79987, 1441, 5764, 629, 92949, 5925",291,2.433709146,"['F3', 'HP', 'NRG1', 'KREMEN1', 'DEFB135', 'TAFA4', 'FAS', 'JCHAIN', 'HTRA1', 'CCL3', 'SLAMF1', 'CCL18', 'RS1', 'CCL23', 'TNC', 'CLU', 'METRNL', 'LBP', 'TRIM5', 'CD14', 'FCAR', 'NT5E', 'ARSB', 'ARMC5', 'PDZD7', 'FABP4', 'FZD5', 'NRP2', 'MRC1', 'SERPINB2', 'SFRP2', 'FCN2', 'OTUD5', 'IRF8', 'CFI', 'CRP', 'FMR1', 'GIP', 'NPPB', 'GABARAP', 'LIPG', 'CXCL16', 'RNASE1', 'RNASE4', 'VSTM2L', 'PRLR', 'FOLR1', 'ASGR1', 'CR1', 'CFHR5', 'C2', 'CLPSL1', 'C3', 'PRL', 'TNFRSF1A', 'TNFSF14', 'TNFRSF1B', 'SAA1', 'VCAM1', 'PLXNB2', 'ANGPT2', 'LRFN5', 'TLR1', 'PRLH', 'IL36A', 'B2M', 'APCS', 'C4BPA', 'PPARG', 'RNASE6', 'ITGB2', 'C5', 'LGALS9', 'PROS1', 'H6PD', 'VEGFA', 'TNFSF18', 'GRP', 'CXCL3', 'PTK7', 'C9', 'WFDC5', 'WNT3A', 'CXCL9', 'TFRC', 'CCL1', 'TAC1', 'TNFRSF14', 'CFHR1', 'IL12RB1', 'HERC5', 'STAP1', 'INHBB', 'APOD', 'LAMA3', 'SVEP1', 'CSF3R', 'PTN', 'CFB', 'ADAMTSL1', 'RB1']"
GO:0002252~immune effector process,53,4.8e-16,"9865, 3240, 57823, 8809, 1378, 1178, 5654, 6348, 81494, 6504, 716, 4602, 717, 718, 7133, 4189, 1191, 3567, 3929, 567, 325, 722, 6039, 925, 727, 3689, 85363, 3965, 729, 8995, 28514, 2922, 3936, 2204, 79798, 3135, 7855, 735, 4283, 9452, 7037, 8764, 3078, 2220, 3594, 3394, 51191, 3426, 1401, 79987, 51279, 51237, 629",291,3.677819791,"['TRIL', 'HP', 'SLAMF7', 'IL18R1', 'CR1', 'CLC', 'HTRA1', 'CCL3', 'CFHR5', 'SLAMF1', 'C1S', 'MYB', 'C2', 'C3', 'TNFRSF1B', 'DNAJB9', 'CLU', 'IL5', 'LBP', 'B2M', 'APCS', 'C4BPA', 'RNASE6', 'CD8A', 'C5', 'ITGB2', 'TRIM5', 'LGALS9', 'C6', 'TNFSF18', 'DLL1', 'GRP', 'LCP1', 'FCAR', 'ARMC5', 'HLA-G', 'FZD5', 'C9', 'CXCL9', 'ITM2A', 'TFRC', 'TNFRSF14', 'CFHR1', 'FCN2', 'IL12RB1', 'IRF8', 'HERC5', 'CFI', 'CRP', 'SVEP1', 'C1RL', 'MZB1', 'CFB']"
GO:0002682~regulation of immune system process,71,3.58e-15,"9865, 3481, 201633, 5618, 8809, 151888, 1378, 1178, 2267, 5654, 6348, 5699, 81494, 6504, 4920, 716, 4602, 717, 718, 8740, 7133, 4189, 5675, 7412, 1191, 145581, 7096, 3567, 3929, 567, 325, 722, 5468, 925, 727, 3689, 85363, 3965, 729, 929, 7422, 27, 8995, 28514, 2204, 3135, 7855, 735, 89780, 8289, 7037, 6346, 8764, 3078, 2220, 3594, 51191, 26228, 3426, 2215, 1401, 1840, 347, 146722, 1441, 79987, 5764, 51279, 51237, 629, 5925",291,2.768663749,"['TRIL', 'IGF2', 'TIGIT', 'PRLR', 'IL18R1', 'BTLA', 'CR1', 'CLC', 'FGL1', 'HTRA1', 'CCL3', 'PSMB10', 'CFHR5', 'SLAMF1', 'ROR2', 'C1S', 'MYB', 'C2', 'C3', 'TNFSF14', 'TNFRSF1B', 'DNAJB9', 'PSG6', 'VCAM1', 'CLU', 'LRFN5', 'TLR1', 'IL5', 'LBP', 'B2M', 'APCS', 'C4BPA', 'PPARG', 'CD8A', 'C5', 'ITGB2', 'TRIM5', 'LGALS9', 'C6', 'CD14', 'VEGFA', 'ABL2', 'TNFSF18', 'DLL1', 'FCAR', 'HLA-G', 'FZD5', 'C9', 'WNT3A', 'ARID1A', 'TFRC', 'CCL1', 'TNFRSF14', 'CFHR1', 'FCN2', 'IL12RB1', 'HERC5', 'STAP1', 'CFI', 'FCGR3B', 'CRP', 'DTX1', 'APOD', 'CD300LF', 'CSF3R', 'SVEP1', 'PTN', 'C1RL', 'MZB1', 'CFB', 'RB1']"
GO:0006955~immune response,78,4.59e-14,"58191, 9865, 3240, 2669, 613209, 57823, 355, 8809, 3512, 151888, 1378, 1178, 2267, 6348, 5699, 81494, 6504, 716, 4602, 717, 718, 6362, 8740, 7133, 6368, 1191, 7096, 27179, 3567, 3929, 567, 325, 722, 10462, 6039, 5468, 925, 727, 3689, 85363, 3965, 729, 929, 8751, 8995, 28514, 2922, 3936, 2921, 2204, 3135, 7855, 10990, 735, 149708, 4360, 4283, 9452, 7037, 6346, 6863, 8764, 3078, 2220, 3594, 3394, 51191, 26228, 3903, 3426, 2215, 1401, 146722, 79987, 51279, 8635, 629, 4879",291,2.468968974,"['CXCL16', 'TRIL', 'HP', 'GEM', 'DEFB135', 'SLAMF7', 'FAS', 'IL18R1', 'JCHAIN', 'BTLA', 'CR1', 'CLC', 'FGL1', 'CCL3', 'PSMB10', 'CFHR5', 'SLAMF1', 'C1S', 'MYB', 'C2', 'C3', 'CCL18', 'TNFSF14', 'TNFRSF1B', 'CCL23', 'CLU', 'TLR1', 'IL36A', 'IL5', 'LBP', 'B2M', 'APCS', 'C4BPA', 'CLEC10A', 'RNASE6', 'PPARG', 'CD8A', 'C5', 'ITGB2', 'TRIM5', 'LGALS9', 'C6', 'CD14', 'ADAM15', 'TNFSF18', 'DLL1', 'GRP', 'LCP1', 'CXCL3', 'FCAR', 'HLA-G', 'FZD5', 'LILRB5', 'C9', 'WFDC5', 'MRC1', 'CXCL9', 'ITM2A', 'TFRC', 'CCL1', 'TAC1', 'TNFRSF14', 'CFHR1', 'FCN2', 'IL12RB1', 'IRF8', 'HERC5', 'STAP1', 'LAIR1', 'CFI', 'FCGR3B', 'CRP', 'CD300LF', 'SVEP1', 'C1RL', 'RNASET2', 'CFB', 'NPPB']"
GO:0002684~positive regulation of immune system process,56,9.72e-14,"9865, 3481, 5618, 8809, 1378, 6348, 5699, 81494, 6504, 4920, 716, 4602, 717, 718, 8740, 4189, 7412, 1191, 7096, 3567, 3929, 567, 325, 722, 925, 727, 3689, 85363, 3965, 729, 929, 7422, 27, 8995, 2204, 3135, 7855, 735, 89780, 8289, 7037, 6346, 8764, 3078, 2220, 3594, 26228, 3426, 1401, 146722, 79987, 5764, 51279, 51237, 629, 5925",291,3.083665293,"['TRIL', 'IGF2', 'PRLR', 'IL18R1', 'CR1', 'CCL3', 'PSMB10', 'CFHR5', 'SLAMF1', 'ROR2', 'C1S', 'MYB', 'C2', 'C3', 'TNFSF14', 'DNAJB9', 'VCAM1', 'CLU', 'TLR1', 'IL5', 'LBP', 'B2M', 'APCS', 'C4BPA', 'CD8A', 'C5', 'ITGB2', 'TRIM5', 'LGALS9', 'C6', 'CD14', 'VEGFA', 'ABL2', 'TNFSF18', 'FCAR', 'HLA-G', 'FZD5', 'C9', 'WNT3A', 'ARID1A', 'TFRC', 'CCL1', 'TNFRSF14', 'CFHR1', 'FCN2', 'IL12RB1', 'STAP1', 'CFI', 'CRP', 'CD300LF', 'SVEP1', 'PTN', 'C1RL', 'MZB1', 'CFB', 'RB1']"
GO:0006959~humoral immune response,29,5.58e-12,"2921, 1378, 3512, 5699, 735, 81494, 716, 717, 149708, 718, 6362, 4283, 6346, 6863, 3078, 2220, 1191, 3426, 1401, 325, 567, 722, 79987, 51279, 6039, 727, 629, 4879, 729",291,5.01525809,"['CXCL3', 'CR1', 'JCHAIN', 'PSMB10', 'C9', 'CFHR5', 'C1S', 'C2', 'WFDC5', 'C3', 'CCL18', 'CXCL9', 'CCL1', 'TAC1', 'CFHR1', 'FCN2', 'CLU', 'CFI', 'CRP', 'APCS', 'B2M', 'C4BPA', 'SVEP1', 'C1RL', 'RNASE6', 'C5', 'CFB', 'NPPB', 'C6']"
GO:0045087~innate immune response,49,1.14e-11,"58191, 9865, 613209, 57823, 3512, 1378, 6348, 5699, 81494, 6504, 716, 717, 718, 6362, 6368, 1191, 7096, 27179, 3929, 567, 325, 722, 10462, 6039, 5468, 727, 85363, 3965, 729, 929, 8751, 2204, 3135, 735, 149708, 4360, 6346, 6863, 8764, 2220, 3594, 3394, 51191, 3426, 1401, 146722, 51279, 8635, 629",291,3.015790362,"['CXCL16', 'TRIL', 'DEFB135', 'SLAMF7', 'JCHAIN', 'CR1', 'CCL3', 'PSMB10', 'CFHR5', 'SLAMF1', 'C1S', 'C2', 'C3', 'CCL18', 'CCL23', 'CLU', 'TLR1', 'IL36A', 'LBP', 'B2M', 'APCS', 'C4BPA', 'CLEC10A', 'RNASE6', 'PPARG', 'C5', 'TRIM5', 'LGALS9', 'C6', 'CD14', 'ADAM15', 'FCAR', 'HLA-G', 'C9', 'WFDC5', 'MRC1', 'CCL1', 'TAC1', 'TNFRSF14', 'FCN2', 'IL12RB1', 'IRF8', 'HERC5', 'CFI', 'CRP', 'CD300LF', 'C1RL', 'RNASET2', 'CFB']"
GO:0072376~protein activation cascade,20,3.41e-11,"3078, 2220, 1191, 2192, 3426, 1401, 1378, 2158, 325, 79987, 722, 51279, 735, 81494, 716, 727, 717, 629, 718, 729",291,7.338003835,"['CFHR1', 'FCN2', 'CLU', 'FBLN1', 'CFI', 'CRP', 'CR1', 'F9', 'APCS', 'SVEP1', 'C4BPA', 'C1RL', 'C9', 'CFHR5', 'C1S', 'C5', 'C2', 'CFB', 'C3', 'C6']"
GO:0002526~acute inflammatory response,18,6.5e-11,"5265, 7037, 6288, 7412, 2683, 2152, 3240, 3426, 1401, 1378, 3929, 325, 79987, 722, 90, 5468, 735, 718",291,8.243867757,"['SERPINA1', 'TFRC', 'SAA1', 'VCAM1', 'B4GALT1', 'F3', 'HP', 'CFI', 'CRP', 'CR1', 'LBP', 'APCS', 'SVEP1', 'C4BPA', 'ACVR1', 'PPARG', 'C9', 'C3']"
GO:0050776~regulation of immune response,46,1.69e-10,"929, 9865, 8995, 2204, 8809, 151888, 1378, 1178, 2267, 3135, 7855, 5699, 735, 81494, 6504, 716, 4602, 717, 718, 7133, 7037, 8764, 3078, 2220, 3594, 26228, 1191, 7096, 3426, 2215, 1401, 3929, 325, 567, 722, 146722, 79987, 51279, 5468, 727, 925, 3689, 85363, 629, 3965, 729",291,2.917680035,"['CD14', 'TRIL', 'TNFSF18', 'FCAR', 'IL18R1', 'BTLA', 'CR1', 'CLC', 'FGL1', 'HLA-G', 'FZD5', 'PSMB10', 'C9', 'CFHR5', 'SLAMF1', 'C1S', 'MYB', 'C2', 'C3', 'TNFRSF1B', 'TFRC', 'TNFRSF14', 'CFHR1', 'FCN2', 'IL12RB1', 'STAP1', 'CLU', 'TLR1', 'CFI', 'FCGR3B', 'CRP', 'LBP', 'APCS', 'B2M', 'C4BPA', 'CD300LF', 'SVEP1', 'C1RL', 'PPARG', 'C5', 'CD8A', 'ITGB2', 'TRIM5', 'CFB', 'LGALS9', 'C6']"
GO:0006956~complement activation,18,2.09e-10,"3078, 2220, 1191, 3426, 1401, 1378, 325, 79987, 722, 51279, 735, 81494, 716, 727, 717, 629, 718, 729",291,7.662569389,"['CFHR1', 'FCN2', 'CLU', 'CFI', 'CRP', 'CR1', 'APCS', 'SVEP1', 'C4BPA', 'C1RL', 'C9', 'CFHR5', 'C1S', 'C5', 'C2', 'CFB', 'C3', 'C6']"
