GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:0051641~cellular localization,115,2.98E-09,"5781, 23607, 8774, 8775, 81609, 84959, 94121, 80124, 596, 54472, 2664, 27243, 10938, 9218, 5019, 5813, 7332, 9910, 4067, 1072, 79643, 84313, 81565, 2035, 5305, 5321, 5289, 6774, 29886, 26092, 27183, 1759, 56957, 9135, 4088, 4089, 55072, 1490, 54662, 79666, 2332, 26519, 9146, 8850, 8452, 5584, 29109, 26119, 79058, 3837, 673, 56850, 404636, 5579, 9817, 7375, 5594, 5595, 5870, 5872, 2241, 65977, 161, 163, 3329, 83547, 5905, 83700, 26088, 1783, 81488, 23011, 8615, 3840, 5501, 207, 208, 10981, 6714, 64130, 6456, 9049, 3068, 572, 55146, 3458, 79752, 55022, 1950, 1399, 10550, 30845, 5878, 30844, 2648, 9179, 6342, 22948, 5894, 23633, 8087, 2932, 23197, 6457, 8517, 867, 9727, 5007, 128637, 4712, 127829, 10204, 2814, 10049, 26060",416,1.707879666
GO:0046907~intracellular transport,78,4.52E-09,"26519, 9146, 8452, 5781, 5584, 8774, 8775, 81609, 26119, 94121, 79058, 3837, 673, 2664, 10938, 27243, 404636, 9218, 5579, 5813, 9817, 7332, 5594, 5595, 5870, 9910, 4067, 2241, 65977, 161, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 5501, 208, 10981, 5305, 6714, 5289, 6456, 9049, 6774, 55146, 3458, 79752, 29886, 30845, 5878, 27183, 1759, 9179, 6342, 4088, 4089, 55072, 23633, 54662, 2932, 79666, 23197, 2332, 6457, 867, 5007, 128637, 4712, 127829, 10204, 26060",416,1.995284967
GO:0051649~establishment of localization in cell,91,1.23E-08,"26519, 9146, 8850, 8452, 5781, 5584, 8774, 8775, 29109, 81609, 26119, 84959, 94121, 79058, 3837, 673, 596, 2664, 10938, 27243, 404636, 9218, 5579, 5019, 5813, 9817, 7332, 5594, 5595, 5870, 9910, 4067, 2241, 65977, 161, 1072, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 5501, 208, 10981, 5305, 6714, 64130, 5321, 5289, 6456, 9049, 6774, 572, 55146, 3458, 79752, 29886, 30845, 5878, 27183, 1759, 9179, 6342, 4088, 4089, 5894, 55072, 23633, 1490, 54662, 2932, 79666, 23197, 2332, 6457, 8517, 867, 5007, 128637, 4712, 127829, 10204, 2814, 26060",416,1.825277958
GO:0034613~cellular protein localization,78,2.79E-07,"26519, 9146, 5781, 23607, 5584, 8774, 8775, 81609, 26119, 94121, 79058, 80124, 3837, 673, 54472, 2664, 56850, 10938, 9218, 5813, 9817, 7332, 7375, 5870, 9910, 5872, 161, 163, 3329, 5905, 83700, 84313, 26088, 81565, 23011, 2035, 8615, 3840, 207, 208, 10981, 6714, 64130, 5289, 9049, 6774, 3068, 55146, 3458, 79752, 55022, 1950, 29886, 1399, 10550, 30845, 26092, 5878, 27183, 30844, 56957, 9135, 9179, 6342, 4088, 22948, 4089, 55072, 8087, 23633, 54662, 2932, 23197, 2332, 9727, 10204, 10049, 26060",416,1.809005242
GO:0070727~cellular macromolecule localization,78,3.55E-07,"26519, 9146, 5781, 23607, 5584, 8774, 8775, 81609, 26119, 94121, 79058, 80124, 3837, 673, 54472, 2664, 56850, 10938, 9218, 5813, 9817, 7332, 7375, 5870, 9910, 5872, 161, 163, 3329, 5905, 83700, 84313, 26088, 81565, 23011, 2035, 8615, 3840, 207, 208, 10981, 6714, 64130, 5289, 9049, 6774, 3068, 55146, 3458, 79752, 55022, 1950, 29886, 1399, 10550, 30845, 26092, 5878, 27183, 30844, 56957, 9135, 9179, 6342, 4088, 22948, 4089, 55072, 8087, 23633, 54662, 2932, 23197, 2332, 9727, 10204, 10049, 26060",416,1.79823201
GO:0006886~intracellular protein transport,49,2.95E-06,"26519, 9146, 5781, 5584, 8774, 8775, 81609, 94121, 79058, 3837, 2664, 10938, 5813, 9817, 7332, 5870, 9910, 161, 163, 3329, 5905, 84313, 26088, 23011, 8615, 3840, 207, 208, 10981, 5289, 9049, 6774, 55146, 3458, 79752, 29886, 5878, 27183, 9179, 4088, 4089, 55072, 23633, 54662, 2932, 23197, 2332, 10204, 26060",416,2.054388104
GO:1902580~single-organism cellular localization,47,1.30E-05,"26519, 5584, 6456, 8775, 6774, 26119, 3837, 673, 3458, 55022, 56850, 10938, 10550, 30845, 5579, 1759, 27183, 5813, 30844, 9817, 6342, 5870, 4088, 4067, 4089, 5872, 23633, 163, 3329, 2932, 26088, 81488, 2332, 81565, 23011, 3840, 207, 867, 6457, 5007, 208, 5305, 128637, 4712, 127829, 10204, 26060",416,1.979468146
GO:1902582~single-organism intracellular transport,36,1.29E-04,"26519, 6456, 8775, 6774, 26119, 3837, 673, 3458, 5579, 1759, 27183, 5813, 9817, 6342, 5870, 4088, 4067, 4089, 23633, 163, 3329, 2932, 2332, 81565, 23011, 3840, 207, 867, 6457, 5007, 5305, 128637, 4712, 127829, 10204, 26060",416,2.005222745
GO:0070887~cellular response to chemical stimulus,123,3.44E-11,"6198, 9101, 5781, 6470, 471, 596, 54472, 10935, 10938, 8767, 5019, 3093, 7332, 7454, 4067, 81565, 51411, 5305, 9125, 8396, 4352, 6772, 5321, 6774, 9361, 2321, 7337, 5315, 1915, 135112, 87178, 54936, 4086, 4087, 4088, 4089, 1809, 1490, 5607, 2730, 2057, 2332, 9647, 5601, 55915, 5606, 9146, 8850, 23769, 8452, 5584, 9943, 5860, 3561, 4090, 26119, 2194, 9261, 670, 23081, 2987, 55364, 673, 1017, 57026, 5578, 318, 5579, 10298, 9817, 2081, 4141, 140609, 5594, 5595, 5872, 2241, 26523, 3329, 5905, 83700, 2876, 79444, 2597, 1783, 5588, 207, 208, 6714, 10105, 7409, 7424, 6456, 9049, 3068, 3066, 2251, 282618, 572, 3458, 79752, 55022, 1796, 3611, 1399, 10550, 10314, 30844, 2648, 8644, 6464, 4287, 5894, 7390, 1965, 2932, 192669, 867, 5007, 8877, 51119, 2539, 26060",416,1.784472896
GO:0032869~cellular response to insulin stimulus,25,4.49E-11,"8850, 8396, 5781, 6198, 5584, 6772, 9361, 55022, 5315, 5579, 4141, 5594, 5595, 6464, 5894, 5872, 2241, 2932, 81565, 5588, 207, 208, 5305, 6714, 26060",416,5.401665921
GO:0008286~insulin receptor signaling pathway,19,9.57E-11,"8396, 5781, 6198, 5594, 5595, 6464, 5894, 2241, 9361, 2932, 55022, 81565, 5588, 207, 5579, 208, 5305, 6714, 26060",416,7.355268429
GO:0032868~response to insulin,27,3.88E-10,"8850, 8396, 5781, 6198, 5584, 6772, 9361, 55022, 5315, 5579, 4141, 5594, 5595, 6464, 4067, 5894, 5872, 2241, 3033, 2932, 81565, 5588, 207, 208, 5305, 6714, 26060",416,4.495580025
GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,42,5.41E-10,"9146, 23769, 9125, 8396, 5781, 9046, 6198, 7424, 6774, 2251, 84959, 9261, 9361, 374, 673, 55022, 1796, 1950, 1399, 2321, 5579, 5594, 5595, 6464, 4067, 5894, 2241, 1490, 5607, 2932, 79643, 84313, 81565, 5588, 207, 867, 208, 5305, 7867, 6714, 26060, 7409",416,3.034341727
GO:0071375~cellular response to peptide hormone stimulus,28,1.06E-09,"8850, 8396, 5781, 6198, 5584, 6772, 6774, 9361, 55022, 5315, 5579, 4141, 5594, 5595, 6464, 4067, 5894, 5872, 2241, 5905, 2932, 81565, 5588, 207, 208, 5305, 6714, 26060",416,4.142424057
GO:0010033~response to organic substance,120,1.12E-09,"6197, 6198, 9101, 5781, 6470, 471, 596, 54472, 10935, 10938, 8767, 5019, 3093, 7332, 7454, 4067, 3251, 128, 81565, 5305, 9125, 8396, 4352, 6772, 5289, 6774, 130, 9361, 3417, 374, 2321, 7337, 5315, 1915, 87178, 4086, 4087, 4088, 4089, 1809, 3033, 1490, 9097, 5607, 2730, 2057, 2332, 7867, 55915, 5606, 9146, 8850, 23769, 8452, 5584, 9943, 5860, 3561, 4090, 26119, 2194, 9261, 23081, 55364, 1017, 952, 57026, 5578, 5579, 10298, 9817, 2081, 4141, 5594, 5595, 5872, 2241, 26523, 3329, 5905, 2876, 79444, 1267, 2597, 1783, 5588, 207, 208, 6714, 11080, 7424, 6456, 3068, 3066, 2251, 282618, 572, 3337, 3458, 55022, 1796, 3611, 1399, 10550, 30844, 2648, 8644, 6464, 4287, 5894, 7390, 1965, 2932, 23197, 192669, 867, 5007, 8877, 2539, 26060",416,1.707356579
GO:0043434~response to peptide hormone,33,1.52E-09,"8850, 8396, 5781, 6198, 5584, 5860, 6772, 6774, 9361, 374, 55022, 5315, 5579, 87178, 4141, 5594, 5595, 6464, 4067, 5894, 5872, 2241, 3033, 1490, 5905, 2932, 81565, 5588, 207, 208, 5305, 6714, 26060",416,3.524121353
GO:1901699~cellular response to nitrogen compound,44,3.11E-09,"8850, 8396, 5781, 6198, 5584, 6772, 6774, 3066, 6470, 9361, 572, 55364, 1017, 55022, 1399, 57026, 5315, 5579, 8767, 4141, 4086, 5594, 4087, 5595, 4088, 6464, 4067, 5894, 5872, 2241, 7390, 26523, 5905, 2932, 2730, 2332, 81565, 192669, 5588, 207, 208, 5305, 6714, 26060",416,2.769634668
GO:0071310~cellular response to organic substance,100,3.20E-09,"6198, 9101, 5781, 6470, 471, 596, 54472, 10938, 8767, 5019, 3093, 7332, 7454, 4067, 81565, 5305, 9125, 8396, 4352, 6772, 6774, 9361, 2321, 7337, 5315, 1915, 87178, 4086, 4087, 4088, 4089, 1809, 1490, 5607, 2730, 2057, 55915, 5606, 9146, 8850, 23769, 8452, 5584, 9943, 3561, 4090, 26119, 2194, 9261, 23081, 55364, 57026, 5578, 5579, 10298, 9817, 2081, 4141, 5594, 5595, 5872, 2241, 26523, 3329, 5905, 2876, 79444, 2597, 1783, 5588, 207, 208, 6714, 7424, 6456, 3068, 3066, 2251, 282618, 572, 3458, 55022, 1796, 3611, 1399, 10550, 30844, 2648, 8644, 6464, 4287, 5894, 7390, 1965, 2932, 192669, 867, 5007, 8877, 26060",416,1.802651413
GO:1901698~response to nitrogen compound,54,1.51E-08,"8850, 5781, 6198, 5584, 5860, 6470, 55364, 596, 1017, 57026, 8767, 5579, 4141, 5594, 5595, 4067, 5872, 2241, 26523, 3251, 5905, 2876, 81565, 5588, 207, 208, 5305, 6714, 8396, 6772, 5289, 6774, 3066, 9361, 572, 374, 55022, 1399, 7337, 5315, 87178, 4086, 4087, 4088, 6464, 5894, 3033, 7390, 1490, 2932, 2730, 2332, 192669, 26060",416,2.327025653
GO:0009725~response to hormone,47,1.67E-08,"8850, 9125, 8396, 9101, 5781, 6198, 5584, 5860, 6772, 6774, 9361, 3417, 23081, 374, 572, 596, 55022, 952, 7337, 5315, 5579, 5019, 87178, 7332, 4141, 5594, 8644, 5595, 6464, 4067, 5894, 5872, 2241, 3033, 1490, 5905, 2932, 2876, 2730, 81565, 5588, 207, 208, 5305, 6714, 55915, 26060",416,2.512489488
GO:1901653~cellular response to peptide,29,1.88E-08,"8850, 8396, 5781, 6198, 5584, 6772, 6774, 9361, 55022, 5315, 5579, 8767, 4141, 5594, 5595, 6464, 4067, 5894, 5872, 2241, 5905, 2932, 81565, 5588, 207, 208, 5305, 6714, 26060",416,3.517429454
GO:1901652~response to peptide,34,3.99E-08,"8850, 8396, 5781, 6198, 5584, 5860, 6772, 6774, 9361, 374, 55022, 5315, 5579, 8767, 87178, 4141, 5594, 5595, 6464, 4067, 5894, 5872, 2241, 3033, 1490, 5905, 2932, 81565, 5588, 207, 208, 5305, 6714, 26060",416,3.008470696
GO:0070848~response to growth factor,42,1.20E-07,"9146, 23769, 9101, 5781, 6198, 7424, 6456, 6774, 3066, 2251, 4090, 9261, 3611, 1399, 10938, 2321, 7337, 5579, 1915, 30844, 2648, 2081, 4141, 4086, 5594, 4087, 5595, 4088, 6464, 4089, 5894, 2241, 1490, 5607, 2730, 1783, 207, 867, 8877, 6714, 26060, 5606",416,2.507817135
GO:0071417~cellular response to organonitrogen compound,36,1.31E-07,"8850, 8396, 5781, 6198, 5584, 6772, 6774, 3066, 6470, 9361, 572, 55364, 55022, 57026, 5315, 5579, 8767, 4141, 5594, 5595, 6464, 4067, 5894, 5872, 2241, 7390, 5905, 2932, 2730, 81565, 5588, 207, 208, 5305, 6714, 26060",416,2.750585147
GO:1901700~response to oxygen-containing compound,71,1.36E-07,"6197, 8850, 9101, 5781, 6198, 5584, 5860, 9261, 6470, 55364, 596, 1017, 10935, 952, 57026, 5578, 8767, 5579, 5019, 2081, 4141, 5594, 5595, 4067, 5872, 2241, 5905, 2876, 1267, 128, 81565, 5588, 207, 208, 5305, 6714, 10105, 8396, 6772, 5289, 6774, 3066, 130, 9361, 572, 374, 79752, 55022, 1399, 7337, 5315, 87178, 54936, 4087, 8644, 6464, 4089, 5894, 3033, 1490, 2932, 2730, 867, 5007, 8877, 5601, 7867, 2539, 55915, 26060, 5606",416,1.915364234
GO:0007167~enzyme linked receptor protein signaling pathway,50,1.68E-07,"9146, 23769, 5781, 6198, 4090, 84959, 9261, 673, 5579, 5594, 5595, 4067, 2241, 79643, 84313, 81565, 5588, 207, 208, 5305, 6714, 7409, 9125, 8396, 9046, 7424, 6774, 3066, 2251, 9361, 374, 55022, 1796, 3611, 1950, 1399, 2321, 151742, 4086, 4087, 4088, 6464, 4089, 5894, 1490, 5607, 2932, 867, 7867, 26060",416,2.24851534
GO:0010243~response to organonitrogen compound,46,2.45E-07,"8850, 8396, 5781, 6198, 5584, 5860, 6772, 5289, 6774, 3066, 6470, 9361, 374, 572, 55364, 596, 55022, 57026, 7337, 5315, 5579, 8767, 87178, 4141, 5594, 5595, 6464, 4067, 5894, 5872, 2241, 3033, 7390, 3251, 1490, 5905, 2932, 2876, 2730, 81565, 5588, 207, 208, 5305, 6714, 26060",416,2.320194396
GO:0032870~cellular response to hormone stimulus,36,2.57E-07,"8850, 9125, 8396, 9101, 5781, 6198, 5584, 6772, 6774, 9361, 23081, 55022, 7337, 5315, 5579, 7332, 4141, 5594, 8644, 5595, 6464, 4067, 5894, 5872, 2241, 5905, 2932, 2730, 81565, 5588, 207, 208, 5305, 6714, 55915, 26060",416,2.675769231
GO:0071363~cellular response to growth factor stimulus,40,3.25E-07,"9146, 23769, 9101, 5781, 6198, 7424, 6456, 6774, 3066, 2251, 4090, 9261, 3611, 1399, 10938, 2321, 7337, 5579, 1915, 30844, 2648, 2081, 4141, 4086, 4087, 5595, 4088, 6464, 4089, 5894, 1490, 5607, 2730, 1783, 207, 867, 8877, 6714, 26060, 5606",416,2.484188606
GO:0009719~response to endogenous stimulus,70,5.28E-07,"8850, 23769, 9101, 5781, 6198, 5584, 5860, 4090, 6470, 23081, 55364, 596, 952, 10938, 57026, 8767, 5579, 5019, 7332, 4141, 5594, 5595, 4067, 5872, 2241, 3251, 5905, 2876, 1783, 81565, 5588, 207, 208, 5305, 6714, 9125, 8396, 6772, 5289, 6456, 6774, 3066, 2251, 9361, 572, 3417, 374, 55022, 3611, 1399, 7337, 5315, 1915, 87178, 2648, 4086, 4087, 8644, 4088, 6464, 4089, 5894, 3033, 7390, 1490, 2932, 2730, 867, 55915, 26060",416,1.858173077
GO:0071495~cellular response to endogenous stimulus,59,7.72E-07,"8850, 23769, 9101, 5781, 6198, 5584, 4090, 6470, 23081, 55364, 10938, 57026, 8767, 5579, 7332, 4141, 5594, 5595, 4067, 5872, 2241, 5905, 1783, 81565, 5588, 207, 208, 5305, 6714, 9125, 8396, 6772, 6456, 6774, 3066, 2251, 9361, 572, 55022, 3611, 1399, 7337, 5315, 1915, 2648, 4086, 4087, 8644, 4088, 6464, 4089, 5894, 7390, 1490, 2932, 2730, 867, 55915, 26060",416,1.976067259
GO:1901701~cellular response to oxygen-containing compound,53,9.85E-07,"8850, 9101, 5781, 6198, 5584, 6470, 55364, 1017, 10935, 57026, 5578, 8767, 5579, 5019, 2081, 4141, 5594, 5595, 4067, 5872, 2241, 5905, 2876, 81565, 5588, 207, 208, 5305, 6714, 10105, 8396, 6772, 6774, 3066, 9361, 572, 79752, 55022, 1399, 5315, 54936, 8644, 6464, 4089, 5894, 2932, 2730, 5007, 8877, 5601, 55915, 26060, 5606",416,2.058594755
GO:0006793~phosphorus metabolic process,157,8.34E-24,"6197, 7167, 6198, 5781, 11183, 134510, 8654, 9061, 29789, 84959, 2272, 124790, 6470, 471, 596, 54472, 1455, 10935, 54995, 53944, 9218, 8767, 3633, 3635, 1737, 3093, 8821, 10380, 4067, 4860, 5037, 56261, 25996, 3251, 1503, 79643, 1743, 51251, 84313, 55577, 283871, 5305, 408, 9125, 8396, 5321, 10193, 5289, 6774, 116986, 64853, 261726, 4191, 9361, 3417, 1635, 374, 132, 56953, 10913, 2321, 5315, 1915, 9519, 84064, 9377, 4361, 4086, 4087, 4088, 4089, 59272, 1490, 5607, 2332, 10000, 8833, 9647, 5601, 7867, 285193, 9807, 5606, 9146, 8850, 5584, 9943, 8050, 4090, 271, 9261, 7086, 441024, 2987, 55364, 673, 1017, 10614, 952, 57026, 4522, 5578, 318, 5579, 10298, 2081, 140609, 5594, 5595, 2241, 27330, 79444, 1267, 2597, 5588, 5226, 5501, 207, 208, 6714, 10105, 9046, 7424, 8994, 6456, 3066, 2251, 282618, 572, 3458, 55022, 1796, 3611, 1950, 1399, 151742, 10550, 64092, 5635, 5636, 30844, 64780, 6342, 5495, 6464, 5894, 4200, 8087, 1965, 2932, 867, 4830, 5007, 5524, 8877, 4712, 2539",416,2.191505206
GO:0006796~phosphate-containing compound metabolic process,154,1.28E-23,"6197, 7167, 6198, 5781, 11183, 134510, 8654, 9061, 29789, 84959, 2272, 124790, 6470, 471, 596, 54472, 1455, 10935, 53944, 9218, 8767, 3633, 3635, 3093, 8821, 10380, 4067, 4860, 5037, 56261, 25996, 3251, 1503, 79643, 51251, 84313, 55577, 283871, 5305, 408, 9125, 8396, 5321, 10193, 5289, 6774, 116986, 64853, 261726, 4191, 9361, 3417, 1635, 374, 132, 56953, 10913, 2321, 5315, 1915, 9519, 84064, 9377, 4361, 4086, 4087, 4088, 4089, 59272, 1490, 5607, 2332, 10000, 8833, 9647, 5601, 7867, 285193, 9807, 5606, 9146, 8850, 5584, 9943, 8050, 4090, 271, 9261, 7086, 441024, 2987, 55364, 673, 1017, 10614, 952, 57026, 4522, 5578, 318, 5579, 10298, 2081, 140609, 5594, 5595, 2241, 27330, 79444, 1267, 2597, 5588, 5226, 5501, 207, 208, 6714, 10105, 9046, 7424, 8994, 6456, 3066, 2251, 282618, 572, 3458, 55022, 1796, 3611, 1950, 1399, 151742, 10550, 64092, 5635, 5636, 30844, 64780, 6342, 5495, 6464, 5894, 4200, 8087, 1965, 2932, 867, 4830, 5007, 5524, 8877, 4712, 2539",416,2.209378118
