GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:2000257~regulation of protein activation cascade,5,2.13E-04,"966, 735, 5648, 11326, 718",181,16.68249309
GO:0002920~regulation of humoral immune response,5,0.001601198,"966, 735, 5648, 11326, 718",181,9.885921833
GO:0070613~regulation of protein processing,6,0.002341299,"10418, 966, 735, 5648, 11326, 718",181,6.4707852
GO:0016485~protein processing,10,0.002347424,"1512, 10418, 9159, 5972, 966, 735, 5648, 2160, 11326, 718",181,3.489148882
GO:1903317~regulation of protein maturation,6,0.002554593,"10418, 966, 735, 5648, 11326, 718",181,6.34265084
GO:0051604~protein maturation,10,0.007233501,"1512, 10418, 9159, 5972, 966, 735, 5648, 2160, 11326, 718",181,2.933185599
GO:0045916~negative regulation of complement activation,3,0.008365147,"966, 5648, 11326",181,21.35359116
GO:2000258~negative regulation of protein activation cascade,3,0.009502022,"966, 5648, 11326",181,20.01899171
GO:0002921~negative regulation of humoral immune response,3,0.013295187,"966, 5648, 11326",181,16.85809828
GO:0002698~negative regulation of immune effector process,6,0.013594263,"3958, 336, 966, 6504, 5648, 11326",181,4.24243533
GO:0010955~negative regulation of protein processing,3,0.068396789,"966, 5648, 11326",181,6.963127552
GO:1903318~negative regulation of protein maturation,3,0.068396789,"966, 5648, 11326",181,6.963127552
GO:0050777~negative regulation of immune response,10,2.60E-04,"9212, 3958, 5133, 336, 966, 5468, 6504, 5648, 9173, 11326",181,4.766426598
GO:0002683~negative regulation of immune system process,14,0.00300112,"9212, 5133, 28514, 26228, 9173, 3958, 325, 336, 146722, 966, 5468, 6504, 5648, 11326",181,2.590556987
GO:0006955~immune response,51,2.27E-10,"8575, 9865, 5068, 6590, 3958, 355, 151888, 140596, 6504, 5657, 718, 8542, 1075, 3567, 3929, 567, 325, 6039, 966, 6358, 5468, 925, 85363, 22976, 28514, 3936, 1512, 1675, 336, 84787, 733, 10990, 735, 5996, 149708, 11326, 9212, 4360, 5133, 7037, 182, 26228, 9173, 338339, 5806, 10406, 1401, 146722, 10164, 5648, 5968",181,2.595407886
GO:0002682~regulation of immune system process,42,1.13E-08,"22976, 9865, 28514, 5618, 3958, 1512, 1675, 151888, 3479, 336, 55423, 733, 84787, 735, 85477, 6504, 718, 11326, 9212, 5133, 7037, 5675, 7412, 2660, 1075, 182, 26228, 9173, 338339, 1401, 3567, 3929, 325, 567, 146722, 2277, 966, 5468, 10164, 925, 5648, 85363",181,2.63314982
GO:0002684~positive regulation of immune system process,34,2.05E-08,"22976, 9865, 5618, 3958, 1675, 3479, 55423, 733, 84787, 735, 85477, 6504, 718, 11326, 7037, 7412, 2660, 1075, 182, 26228, 9173, 338339, 1401, 3567, 3929, 325, 567, 146722, 2277, 966, 10164, 925, 5648, 85363",181,3.010041872
GO:0006959~humoral immune response,19,2.13E-08,"5133, 5068, 6590, 3958, 10406, 1401, 1675, 325, 567, 733, 966, 6039, 735, 5657, 149708, 5648, 718, 5968, 11326",181,5.28278948
GO:0002252~immune effector process,29,7.13E-08,"22976, 9865, 28514, 3936, 3958, 1512, 1675, 336, 733, 84787, 735, 6504, 718, 11326, 7037, 1075, 182, 338339, 5806, 1401, 3567, 3929, 325, 567, 966, 6039, 925, 5648, 85363",181,3.2353926
GO:0050776~regulation of immune response,29,4.48E-07,"22976, 9865, 3958, 1512, 1675, 151888, 336, 733, 84787, 735, 6504, 718, 11326, 9212, 5133, 7037, 26228, 9173, 338339, 1401, 3929, 325, 567, 146722, 966, 5468, 925, 5648, 85363",181,2.957278623
GO:0006952~defense response,42,4.59E-07,"51738, 9865, 5068, 6590, 3958, 1675, 140596, 51267, 336, 733, 27189, 10990, 735, 6504, 149708, 718, 11326, 7132, 9212, 4360, 8542, 7037, 7412, 2683, 58189, 9173, 338339, 5806, 10406, 1401, 3567, 3929, 325, 567, 146722, 966, 6358, 6039, 5468, 10164, 5648, 85363",181,2.300797406
GO:0045087~innate immune response,27,8.04E-06,"9865, 6590, 3958, 1675, 140596, 733, 735, 6504, 149708, 718, 11326, 9212, 4360, 8542, 338339, 5806, 10406, 1401, 3929, 325, 567, 146722, 6358, 6039, 5468, 5648, 85363",181,2.671672666
GO:0048584~positive regulation of response to stimulus,47,9.04E-06,"22976, 51738, 8575, 9865, 5068, 3486, 28514, 1000, 5618, 3958, 1512, 355, 1675, 3479, 2861, 733, 84787, 735, 6504, 718, 11326, 5617, 7132, 22925, 7037, 2660, 1075, 182, 26228, 9173, 338339, 1401, 3567, 3929, 3489, 325, 3488, 567, 146722, 2277, 1001, 966, 6358, 5468, 925, 5648, 85363",181,1.934500356
GO:0002460~adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,15,2.68E-05,"22976, 7037, 1075, 182, 9173, 1512, 1401, 325, 567, 84787, 733, 735, 6504, 925, 718",181,3.964156775
GO:0002449~lymphocyte mediated immunity,14,7.94E-05,"22976, 7037, 1075, 182, 1512, 1401, 325, 567, 84787, 733, 735, 6504, 925, 718",181,3.822893558
GO:0050778~positive regulation of immune response,21,1.06E-04,"22976, 9865, 7037, 26228, 3958, 1401, 1675, 3929, 325, 567, 146722, 84787, 733, 966, 735, 6504, 925, 5648, 85363, 718, 11326",181,2.685182122
GO:0002697~regulation of immune effector process,15,1.16E-04,"22976, 9865, 7037, 3958, 3567, 3929, 336, 567, 84787, 966, 735, 6504, 5648, 718, 11326",181,3.459005048
GO:0002694~regulation of leukocyte activation,18,3.03E-04,"22976, 7037, 7412, 1075, 26228, 9173, 5618, 338339, 3958, 3567, 3479, 3929, 567, 55423, 146722, 84787, 6504, 11326",181,2.745461721
GO:0002250~adaptive immune response,19,4.58E-04,"22976, 5133, 7037, 1075, 182, 9173, 338339, 1512, 1401, 151888, 325, 567, 84787, 733, 10990, 735, 6504, 925, 718",181,2.554900706
GO:0002253~activation of immune response,16,6.17E-04,"9865, 26228, 3958, 1401, 1675, 3929, 325, 146722, 733, 966, 735, 925, 5648, 85363, 718, 11326",181,2.79588755
GO:0002443~leukocyte mediated immunity,14,7.03E-04,"22976, 7037, 1075, 182, 1512, 1401, 325, 567, 84787, 733, 735, 6504, 925, 718",181,3.050513023
GO:0050865~regulation of cell activation,18,7.45E-04,"22976, 7037, 7412, 1075, 26228, 9173, 5618, 338339, 3958, 3567, 3479, 3929, 567, 55423, 146722, 84787, 6504, 11326",181,2.535386813
GO:0002700~regulation of production of molecular mediator of immune response,8,0.002249193,"22976, 9865, 7037, 3567, 336, 567, 84787, 6504",181,4.425614748
GO:0045321~leukocyte activation,21,0.002367428,"22976, 7037, 7412, 28514, 1075, 26228, 9173, 5618, 3936, 338339, 3958, 3567, 3479, 3929, 567, 55423, 146722, 84787, 6504, 925, 11326",181,2.095445862
GO:0002699~positive regulation of immune effector process,9,0.004843301,"22976, 7037, 3567, 3929, 567, 84787, 6504, 5648, 718",181,3.431827151
GO:0016064~immunoglobulin mediated immune response,8,0.005667303,"22976, 1401, 7037, 325, 84787, 733, 735, 718",181,3.746244063
GO:0019724~B cell mediated immunity,8,0.006013117,"22976, 1401, 7037, 325, 84787, 733, 735, 718",181,3.697591543
GO:0002708~positive regulation of lymphocyte mediated immunity,6,0.006984374,"22976, 7037, 567, 84787, 6504, 718",181,5.004747928
GO:0002824~positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,6,0.006984374,"22976, 7037, 567, 84787, 6504, 718",181,5.004747928
GO:0002714~positive regulation of B cell mediated immunity,4,0.006988502,"22976, 7037, 84787, 718",181,10.16837674
GO:0002891~positive regulation of immunoglobulin mediated immune response,4,0.006988502,"22976, 7037, 84787, 718",181,10.16837674
GO:0002366~leukocyte activation involved in immune response,9,0.007663909,"22976, 3936, 3958, 338339, 7037, 3929, 84787, 28514, 6504",181,3.17132542
GO:0002263~cell activation involved in immune response,9,0.008236139,"22976, 3936, 3958, 338339, 7037, 3929, 84787, 28514, 6504",181,3.130005219
GO:0002821~positive regulation of adaptive immune response,6,0.008431504,"22976, 7037, 567, 84787, 6504, 718",181,4.780654737
GO:0002822~regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,7,0.008874212,"22976, 7037, 567, 84787, 6504, 9173, 718",181,3.933556266
GO:0002702~positive regulation of production of molecular mediator of immune response,6,0.00922771,"22976, 7037, 3567, 567, 84787, 6504",181,4.675968867
GO:0002819~regulation of adaptive immune response,7,0.012826176,"22976, 7037, 567, 84787, 6504, 9173, 718",181,3.628037333
GO:0002639~positive regulation of immunoglobulin production,4,0.013238575,"22976, 7037, 3567, 84787",181,8.057958928
GO:0002285~lymphocyte activation involved in immune response,7,0.014613958,"22976, 3936, 3958, 338339, 7037, 84787, 28514",181,3.525357031
GO:0002705~positive regulation of leukocyte mediated immunity,6,0.017515448,"22976, 7037, 567, 84787, 6504, 718",181,3.97893003
GO:0051251~positive regulation of lymphocyte activation,10,0.018627527,"22976, 5618, 3479, 7037, 3567, 567, 55423, 84787, 7412, 6504",181,2.506290042
GO:0002712~regulation of B cell mediated immunity,4,0.021866129,"22976, 7037, 84787, 718",181,6.672997238
GO:0002889~regulation of immunoglobulin mediated immune response,4,0.021866129,"22976, 7037, 84787, 718",181,6.672997238
GO:0051249~regulation of lymphocyte activation,12,0.026535252,"22976, 5618, 3958, 3479, 7037, 3567, 567, 55423, 84787, 7412, 6504, 11326",181,2.11771152
GO:0045830~positive regulation of isotype switching,3,0.027828507,"22976, 7037, 84787",181,11.43942384
GO:0002706~regulation of lymphocyte mediated immunity,6,0.030286112,"22976, 7037, 567, 84787, 6504, 718",181,3.444127606
GO:0002440~production of molecular mediator of immune response,8,0.030611589,"22976, 9865, 7037, 3567, 336, 567, 84787, 6504",181,2.669198895
"GO:0006958~complement activation, classical pathway",5,0.031865587,"1401, 325, 733, 735, 718",181,4.170623273
GO:0002637~regulation of immunoglobulin production,4,0.034049223,"22976, 7037, 3567, 84787",181,5.619366095
GO:0002455~humoral immune response mediated by circulating immunoglobulin,5,0.043008909,"1401, 325, 733, 735, 718",181,3.786097723
GO:0002312~B cell activation involved in immune response,4,0.047716062,"22976, 7037, 84787, 28514",181,4.908871531
GO:0045191~regulation of isotype switching,3,0.048731945,"22976, 7037, 84787",181,8.429049142
GO:0002703~regulation of leukocyte mediated immunity,6,0.079412481,"22976, 7037, 567, 84787, 6504, 718",181,2.614725448
GO:0050871~positive regulation of B cell activation,5,0.081204027,"22976, 5618, 7037, 3567, 84787",181,3.050513023
GO:0045190~isotype switching,3,0.081789289,"22976, 7037, 84787",181,6.280467988
GO:0002204~somatic recombination of immunoglobulin genes involved in immune response,3,0.081789289,"22976, 7037, 84787",181,6.280467988
GO:0002208~somatic diversification of immunoglobulins involved in immune response,3,0.081789289,"22976, 7037, 84787",181,6.280467988
GO:0002381~immunoglobulin production involved in immunoglobulin mediated immune response,3,0.095907018,"22976, 7037, 84787",181,5.719711918
GO:0016447~somatic recombination of immunoglobulin gene segments,3,0.104686597,"22976, 7037, 84787",181,5.428879109
GO:0002718~regulation of cytokine production involved in immune response,4,0.107534691,"9865, 336, 567, 6504",181,3.472128644
GO:0016445~somatic diversification of immunoglobulins,3,0.132203779,"22976, 7037, 84787",181,4.710350991
GO:0042113~B cell activation,7,0.133840252,"22976, 5618, 7037, 3567, 84787, 7412, 28514",181,2.014489732
GO:0016444~somatic cell DNA recombination,3,0.135356384,"22976, 7037, 84787",181,4.642085035
GO:0002562~somatic diversification of immune receptors via germline recombination within a single locus,3,0.135356384,"22976, 7037, 84787",181,4.642085035
GO:0045911~positive regulation of DNA recombination,3,0.148128946,"22976, 7037, 84787",181,4.387724211
GO:0050864~regulation of B cell activation,5,0.157857525,"22976, 5618, 7037, 3567, 84787",181,2.383213299
GO:0002200~somatic diversification of immune receptors,3,0.167713015,"22976, 7037, 84787",181,4.054479334
GO:0002377~immunoglobulin production,4,0.26834781,"22976, 7037, 3567, 84787",181,2.212807374
GO:0002367~cytokine production involved in immune response,3,0.318057585,"336, 567, 6504",181,2.604096483
GO:0000018~regulation of DNA recombination,3,0.372151432,"22976, 7037, 84787",181,2.30434437
GO:0051090~regulation of sequence-specific DNA binding transcription factor activity,6,0.438461754,"22976, 7037, 3567, 5468, 85363, 4869",181,1.37469471
GO:0051054~positive regulation of DNA metabolic process,4,0.590032022,"22976, 9212, 7037, 84787",181,1.30603004
GO:0006310~DNA recombination,3,0.838011408,"22976, 7037, 84787",181,0.920413412
GO:0051346~negative regulation of hydrolase activity,14,3.62E-05,"7035, 22925, 58189, 3164, 6590, 5806, 3958, 10406, 332, 117584, 325, 336, 10972, 149708",181,4.129147462
GO:0030162~regulation of proteolysis,19,2.39E-04,"7035, 58189, 1075, 3164, 6590, 10406, 1512, 332, 355, 117584, 10418, 966, 5468, 735, 10972, 149708, 5648, 718, 11326",181,2.697594628
GO:0045861~negative regulation of proteolysis,12,3.58E-04,"10406, 7035, 332, 117584, 966, 58189, 3164, 10972, 5648, 149708, 11326, 6590",181,3.768280793
GO:0051336~regulation of hydrolase activity,23,4.77E-04,"7035, 22925, 8853, 58189, 3164, 6590, 5806, 3958, 10406, 1512, 332, 355, 117584, 325, 336, 5996, 6358, 5468, 5657, 26092, 10972, 149708, 4869",181,2.269559134
GO:0043086~negative regulation of catalytic activity,17,6.53E-04,"7035, 22925, 2660, 58189, 3164, 6590, 5806, 3958, 10406, 332, 117584, 325, 336, 5468, 10972, 149708, 4869",181,2.665279367
GO:0051246~regulation of protein metabolic process,51,7.45E-04,"9388, 8575, 6871, 3486, 3164, 6590, 5618, 3958, 117584, 355, 3479, 10418, 2861, 6504, 10972, 718, 7132, 92370, 1075, 3567, 3489, 3488, 325, 2277, 966, 6358, 5468, 8536, 85363, 22976, 51738, 1000, 332, 1512, 2886, 735, 149708, 11326, 4869, 9212, 7035, 7037, 5972, 2660, 58189, 26228, 5806, 10406, 902, 5648, 1846",181,1.567405223
GO:0010466~negative regulation of peptidase activity,9,0.001484177,"10406, 7035, 332, 117584, 58189, 3164, 10972, 149708, 6590",181,4.159790486
GO:0044092~negative regulation of molecular function,21,0.001901926,"22976, 9212, 7035, 22925, 2660, 58189, 3164, 6590, 5806, 3958, 10406, 332, 117584, 325, 336, 567, 5468, 8536, 10972, 149708, 4869",181,2.135359116
GO:0052547~regulation of peptidase activity,12,0.002305263,"10406, 1512, 7035, 332, 117584, 355, 5468, 58189, 3164, 10972, 149708, 6590",181,2.993494088
GO:0050790~regulation of catalytic activity,32,0.00268497,"8853, 3164, 6590, 5618, 3958, 332, 1512, 117584, 355, 3479, 336, 5996, 6504, 5657, 10972, 26092, 149708, 4869, 9212, 7035, 22925, 2660, 58189, 26228, 5806, 10406, 325, 1001, 6358, 5468, 8536, 902",181,1.726414647
GO:0032268~regulation of cellular protein metabolic process,46,0.003936282,"22976, 51738, 8575, 6871, 3486, 1000, 3164, 6590, 5618, 3958, 332, 1512, 2886, 117584, 355, 3479, 10418, 2861, 6504, 10972, 149708, 718, 11326, 4869, 7132, 9212, 7035, 7037, 5972, 2660, 58189, 1075, 26228, 10406, 3567, 3489, 3488, 2277, 966, 6358, 5468, 8536, 902, 5648, 85363, 1846",181,1.495987197
GO:0006508~proteolysis,29,0.006770521,"5069, 3164, 6590, 10613, 332, 1358, 1512, 117584, 355, 1675, 10418, 735, 5657, 10972, 4327, 149708, 718, 11326, 7035, 9159, 5972, 58189, 1075, 2160, 10406, 84417, 966, 5468, 5648",181,1.677286413
