GO_Term,count,PValue,Genes,List_total,Fold_enrichment,Entrez_gene_symbol
GO:0051049~regulation of transport,32,0.001610746,"9388, 5360, 51738, 28514, 1000, 3936, 3958, 332, 3479, 336, 55423, 79778, 85477, 6504, 5657, 10972, 718, 5617, 7132, 7032, 22925, 5972, 26228, 5806, 84417, 567, 146722, 1001, 5468, 8536, 947, 5648",181,1.784112055,"['LIPG', 'PLTP', 'GHRL', 'DLL1', 'CDH2', 'LCP1', 'LGALS3', 'BIRC5', 'IGF1', 'APOA2', 'SIRPG', 'MICALL2', 'SCIN', 'SLAMF1', 'PRTN3', 'TMED10', 'C3', 'PRL', 'TNFRSF1A', 'TFF2', 'PLA2R1', 'REN', 'STAP1', 'PTX3', 'ECRG4', 'B2M', 'CD300LF', 'CDH3', 'PPARG', 'CAMK1', 'CD34', 'MASP1']"
GO:0060627~regulation of vesicle-mediated transport,13,0.008076628,"28514, 26228, 5806, 3958, 336, 567, 55423, 146722, 5468, 6504, 5657, 5648, 718",181,2.401355407,"['DLL1', 'STAP1', 'PTX3', 'LGALS3', 'APOA2', 'B2M', 'SIRPG', 'CD300LF', 'PPARG', 'SLAMF1', 'PRTN3', 'MASP1', 'C3']"
GO:0016192~vesicle-mediated transport,26,0.010674133,"7087, 5286, 28514, 3958, 336, 55423, 79778, 85477, 6504, 5657, 10972, 718, 4360, 22925, 7037, 26228, 5806, 1401, 3929, 567, 146722, 375033, 5468, 51435, 5648, 5627",181,1.681385131,"['ICAM5', 'PIK3C2A', 'DLL1', 'LGALS3', 'APOA2', 'SIRPG', 'MICALL2', 'SCIN', 'SLAMF1', 'PRTN3', 'TMED10', 'C3', 'MRC1', 'PLA2R1', 'TFRC', 'STAP1', 'PTX3', 'CRP', 'LBP', 'B2M', 'CD300LF', 'PEAR1', 'PPARG', 'SCARA3', 'MASP1', 'PROS1']"
GO:0002526~acute inflammatory response,14,1.02E-09,"7037, 5068, 7412, 2683, 1401, 3929, 325, 336, 966, 5468, 735, 5648, 718, 11326",181,10.30863022,"['TFRC', 'REG3A', 'VCAM1', 'B4GALT1', 'CRP', 'LBP', 'APCS', 'APOA2', 'CD59', 'PPARG', 'C9', 'MASP1', 'C3', 'VSIG4']"
GO:0006954~inflammatory response,25,6.47E-07,"51738, 9865, 5068, 336, 27189, 735, 6504, 718, 11326, 7132, 7037, 7412, 2683, 58189, 9173, 5806, 1401, 3567, 3929, 325, 966, 6358, 5468, 10164, 5648",181,3.263079334,"['GHRL', 'TRIL', 'REG3A', 'APOA2', 'IL17C', 'C9', 'SLAMF1', 'C3', 'VSIG4', 'TNFRSF1A', 'TFRC', 'VCAM1', 'B4GALT1', 'WFDC1', 'IL1RL1', 'PTX3', 'CRP', 'IL5', 'LBP', 'APCS', 'CD59', 'CCL14', 'PPARG', 'CHST4', 'MASP1']"
GO:0050727~regulation of inflammatory response,13,0.00235146,"7132, 51738, 5068, 58189, 9173, 3929, 325, 966, 5468, 735, 5648, 718, 11326",181,2.809683047,"['TNFRSF1A', 'GHRL', 'REG3A', 'WFDC1', 'IL1RL1', 'LBP', 'APCS', 'CD59', 'PPARG', 'C9', 'MASP1', 'C3', 'VSIG4']"
GO:0031347~regulation of defense response,17,0.007288797,"7132, 9212, 51738, 9865, 5068, 58189, 9173, 3929, 325, 146722, 966, 5468, 735, 5648, 85363, 718, 11326",181,2.091077475,"['TNFRSF1A', 'AURKB', 'GHRL', 'TRIL', 'REG3A', 'WFDC1', 'IL1RL1', 'LBP', 'APCS', 'CD300LF', 'CD59', 'PPARG', 'C9', 'MASP1', 'TRIM5', 'C3', 'VSIG4']"
GO:0031348~negative regulation of defense response,8,0.030611589,"7132, 9212, 51738, 5068, 325, 5468, 58189, 11326",181,2.669198895,"['TNFRSF1A', 'AURKB', 'GHRL', 'REG3A', 'APCS', 'PPARG', 'WFDC1', 'VSIG4']"
GO:0050728~negative regulation of inflammatory response,6,0.056145626,"7132, 51738, 5068, 325, 5468, 58189",181,2.898677533,"['TNFRSF1A', 'GHRL', 'REG3A', 'APCS', 'PPARG', 'WFDC1']"
GO:0016477~cell migration,34,9.55E-06,"22976, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 6504, 5657, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 57715, 10501",181,2.290290535,"['PAXIP1', 'PIK3C2A', 'IGFBP3', 'CDH2', 'NR4A1', 'LCP1', 'LGALS3', 'CTSH', 'GRB7', 'RFFL', 'IGF1', 'ARSB', 'LAMC2', 'DEFB104A', 'SLAMF1', 'PRTN3', 'MCAM', 'VCAM1', 'B4GALT1', 'MSTN', 'JAG1', 'STAP1', 'LBP', 'IGFBP6', 'CCK', 'IGFBP5', 'LAMA3', 'VEGFD', 'CCL14', 'PPARG', 'CHST4', 'CD34', 'SEMA4G', 'SEMA6B']"
GO:0040011~locomotion,39,3.64E-05,"22976, 5360, 51738, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 2861, 6504, 5657, 132141, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 85363, 57715, 10501",181,1.999015975,"['PAXIP1', 'PLTP', 'GHRL', 'PIK3C2A', 'IGFBP3', 'CDH2', 'NR4A1', 'LCP1', 'LGALS3', 'CTSH', 'GRB7', 'RFFL', 'IGF1', 'ARSB', 'LAMC2', 'DEFB104A', 'GPR37', 'SLAMF1', 'PRTN3', 'IQCF1', 'MCAM', 'VCAM1', 'B4GALT1', 'MSTN', 'JAG1', 'STAP1', 'LBP', 'IGFBP6', 'CCK', 'IGFBP5', 'LAMA3', 'VEGFD', 'CCL14', 'PPARG', 'CHST4', 'CD34', 'TRIM5', 'SEMA4G', 'SEMA6B']"
GO:0051674~localization of cell,36,3.69E-05,"22976, 5360, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 6504, 5657, 132141, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 57715, 10501",181,2.079895243,"['PAXIP1', 'PLTP', 'PIK3C2A', 'IGFBP3', 'CDH2', 'NR4A1', 'LCP1', 'LGALS3', 'CTSH', 'GRB7', 'RFFL', 'IGF1', 'ARSB', 'LAMC2', 'DEFB104A', 'SLAMF1', 'PRTN3', 'IQCF1', 'MCAM', 'VCAM1', 'B4GALT1', 'MSTN', 'JAG1', 'STAP1', 'LBP', 'IGFBP6', 'CCK', 'IGFBP5', 'LAMA3', 'VEGFD', 'CCL14', 'PPARG', 'CHST4', 'CD34', 'SEMA4G', 'SEMA6B']"
GO:0048870~cell motility,36,3.69E-05,"22976, 5360, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 6504, 5657, 132141, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 57715, 10501",181,2.079895243,"['PAXIP1', 'PLTP', 'PIK3C2A', 'IGFBP3', 'CDH2', 'NR4A1', 'LCP1', 'LGALS3', 'CTSH', 'GRB7', 'RFFL', 'IGF1', 'ARSB', 'LAMC2', 'DEFB104A', 'SLAMF1', 'PRTN3', 'IQCF1', 'MCAM', 'VCAM1', 'B4GALT1', 'MSTN', 'JAG1', 'STAP1', 'LBP', 'IGFBP6', 'CCK', 'IGFBP5', 'LAMA3', 'VEGFD', 'CCL14', 'PPARG', 'CHST4', 'CD34', 'SEMA4G', 'SEMA6B']"
GO:0040012~regulation of locomotion,25,0.000258,"51738, 5286, 3486, 3958, 1512, 2886, 117584, 3479, 411, 3918, 6504, 132141, 4162, 2660, 182, 26228, 3929, 3488, 3909, 2277, 5468, 10164, 85363, 57715, 10501",181,2.262032962,"['GHRL', 'PIK3C2A', 'IGFBP3', 'LGALS3', 'CTSH', 'GRB7', 'RFFL', 'IGF1', 'ARSB', 'LAMC2', 'SLAMF1', 'IQCF1', 'MCAM', 'MSTN', 'JAG1', 'STAP1', 'LBP', 'IGFBP5', 'LAMA3', 'VEGFD', 'PPARG', 'CHST4', 'TRIM5', 'SEMA4G', 'SEMA6B']"
GO:2000147~positive regulation of cell motility,16,0.00066,"4162, 5286, 2660, 3958, 1512, 2886, 3479, 3918, 3929, 3488, 2277, 10164, 6504, 132141, 57715, 10501",181,2.777702915,"['MCAM', 'PIK3C2A', 'MSTN', 'LGALS3', 'CTSH', 'GRB7', 'IGF1', 'LAMC2', 'LBP', 'IGFBP5', 'VEGFD', 'CHST4', 'SLAMF1', 'IQCF1', 'SEMA4G', 'SEMA6B']"
GO:2000145~regulation of cell motility,23,0.000737,"4162, 5286, 3486, 2660, 182, 26228, 3958, 1512, 2886, 117584, 3479, 411, 3918, 3929, 3488, 2277, 3909, 10164, 5468, 6504, 132141, 57715, 10501",181,2.196478518,"['MCAM', 'PIK3C2A', 'IGFBP3', 'MSTN', 'JAG1', 'STAP1', 'LGALS3', 'CTSH', 'GRB7', 'RFFL', 'IGF1', 'ARSB', 'LAMC2', 'LBP', 'IGFBP5', 'VEGFD', 'LAMA3', 'CHST4', 'PPARG', 'SLAMF1', 'IQCF1', 'SEMA4G', 'SEMA6B']"
GO:0051270~regulation of cellular component movement,24,0.000813,"4162, 5286, 3486, 2660, 182, 26228, 3958, 1512, 2886, 117584, 3479, 411, 3918, 3929, 3488, 2277, 3909, 10164, 5468, 6504, 132141, 57715, 1824, 10501",181,2.131806106,"['MCAM', 'PIK3C2A', 'IGFBP3', 'MSTN', 'JAG1', 'STAP1', 'LGALS3', 'CTSH', 'GRB7', 'RFFL', 'IGF1', 'ARSB', 'LAMC2', 'LBP', 'IGFBP5', 'VEGFD', 'LAMA3', 'CHST4', 'PPARG', 'SLAMF1', 'IQCF1', 'SEMA4G', 'DSC2', 'SEMA6B']"
GO:0030334~regulation of cell migration,22,0.000845,"4162, 5286, 3486, 2660, 182, 26228, 3958, 1512, 2886, 117584, 3479, 411, 3918, 3929, 3488, 2277, 3909, 10164, 5468, 6504, 57715, 10501",181,2.226440784,"['MCAM', 'PIK3C2A', 'IGFBP3', 'MSTN', 'JAG1', 'STAP1', 'LGALS3', 'CTSH', 'GRB7', 'RFFL', 'IGF1', 'ARSB', 'LAMC2', 'LBP', 'IGFBP5', 'VEGFD', 'LAMA3', 'CHST4', 'PPARG', 'SLAMF1', 'SEMA4G', 'SEMA6B']"
GO:0040017~positive regulation of locomotion,16,0.000884,"4162, 5286, 2660, 3958, 1512, 2886, 3479, 3918, 3929, 3488, 2277, 10164, 6504, 132141, 57715, 10501",181,2.698716102,"['MCAM', 'PIK3C2A', 'MSTN', 'LGALS3', 'CTSH', 'GRB7', 'IGF1', 'LAMC2', 'LBP', 'IGFBP5', 'VEGFD', 'CHST4', 'SLAMF1', 'IQCF1', 'SEMA4G', 'SEMA6B']"
GO:0051272~positive regulation of cellular component movement,16,0.000884,"4162, 5286, 2660, 3958, 1512, 2886, 3479, 3918, 3929, 3488, 2277, 10164, 6504, 132141, 57715, 10501",181,2.698716102,"['MCAM', 'PIK3C2A', 'MSTN', 'LGALS3', 'CTSH', 'GRB7', 'IGF1', 'LAMC2', 'LBP', 'IGFBP5', 'VEGFD', 'CHST4', 'SLAMF1', 'IQCF1', 'SEMA4G', 'SEMA6B']"
GO:0006928~movement of cell or subcellular component,37,0.001244826,"22976, 5360, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 6504, 5657, 132141, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 57715, 10501, 1824",181,1.712359933,"['PAXIP1', 'PLTP', 'PIK3C2A', 'IGFBP3', 'CDH2', 'NR4A1', 'LCP1', 'LGALS3', 'CTSH', 'GRB7', 'RFFL', 'IGF1', 'ARSB', 'LAMC2', 'DEFB104A', 'SLAMF1', 'PRTN3', 'IQCF1', 'MCAM', 'VCAM1', 'B4GALT1', 'MSTN', 'JAG1', 'STAP1', 'LBP', 'IGFBP6', 'CCK', 'IGFBP5', 'LAMA3', 'VEGFD', 'CCL14', 'PPARG', 'CHST4', 'CD34', 'SEMA4G', 'SEMA6B', 'DSC2']"
GO:0030335~positive regulation of cell migration,15,0.001252907,"4162, 5286, 2660, 3958, 1512, 2886, 3479, 3918, 3929, 3488, 2277, 10164, 6504, 57715, 10501",181,2.723672342,"['MCAM', 'PIK3C2A', 'MSTN', 'LGALS3', 'CTSH', 'GRB7', 'IGF1', 'LAMC2', 'LBP', 'IGFBP5', 'VEGFD', 'CHST4', 'SLAMF1', 'SEMA4G', 'SEMA6B']"
