GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:0071363~cellular response to growth factor stimulus,31,2.59E-06,"9146, 5781, 6198, 6498, 7424, 10273, 6774, 3066, 2251, 9241, 9261, 1311, 7337, 5579, 1915, 30844, 2648, 2549, 2081, 4141, 4087, 6464, 4089, 5894, 1490, 2730, 1783, 207, 867, 8877, 6714",304,2.63454739
GO:0009719~response to endogenous stimulus,53,5.13E-06,"5781, 6198, 5584, 55364, 57026, 5579, 5019, 2549, 7332, 4141, 4067, 3251, 5905, 2876, 1783, 5588, 207, 6714, 11315, 9125, 8396, 6498, 10273, 6774, 3265, 3066, 2251, 9241, 9361, 3182, 572, 374, 55022, 445329, 1311, 7337, 5315, 5910, 1915, 815, 3931, 87178, 2648, 4087, 6464, 4089, 5894, 23236, 1490, 2932, 2730, 867, 6778",304,1.925234962
GO:0070848~response to growth factor,31,5.67E-06,"9146, 5781, 6198, 6498, 7424, 10273, 6774, 3066, 2251, 9241, 9261, 1311, 7337, 5579, 1915, 30844, 2648, 2549, 2081, 4141, 4087, 6464, 4089, 5894, 1490, 2730, 1783, 207, 867, 8877, 6714",304,2.532958159
GO:1901700~response to oxygen-containing compound,52,7.01E-06,"6197, 5781, 6198, 5584, 9261, 55364, 1017, 10935, 57026, 5579, 5019, 2549, 2081, 4141, 4067, 5905, 2876, 1267, 5588, 207, 6714, 11315, 8396, 6774, 3265, 3066, 9361, 3182, 572, 374, 55022, 445329, 7337, 5315, 5910, 815, 87178, 54936, 4087, 6464, 4089, 5894, 23236, 1490, 2932, 2776, 2730, 867, 8877, 5601, 6778, 2539",304,1.919623755
GO:0015031~protein transport,63,3.58E-09,"9146, 5781, 5584, 8774, 8775, 81609, 115201, 27243, 5579, 5019, 10015, 5813, 10971, 7332, 9910, 9874, 161, 22885, 163, 3329, 83547, 5905, 79643, 84313, 207, 3841, 10981, 6714, 11315, 64130, 7424, 9049, 93974, 6774, 116986, 3265, 572, 55585, 375, 4905, 3458, 29886, 1311, 10550, 5910, 79719, 5878, 27183, 8906, 9135, 9179, 4087, 4089, 5894, 55072, 23236, 54662, 2932, 79666, 23197, 56648, 127829, 10204",304,2.198052675
GO:0042886~amide transport,65,3.99E-09,"9146, 5781, 5584, 8774, 8775, 81609, 115201, 27243, 9218, 5579, 5019, 10015, 5813, 10971, 7332, 9910, 9874, 161, 22885, 163, 3329, 83547, 5905, 79643, 84313, 207, 3841, 10981, 6714, 11315, 64130, 7424, 9049, 93974, 6774, 116986, 3265, 572, 55585, 375, 4905, 3458, 29886, 1311, 10550, 5910, 79719, 5878, 27183, 8906, 9135, 9179, 4087, 4089, 5894, 55072, 23236, 54662, 80772, 2932, 79666, 23197, 56648, 127829, 10204",304,2.155446078
GO:0015833~peptide transport,63,1.14E-08,"9146, 5781, 5584, 8774, 8775, 81609, 115201, 27243, 5579, 5019, 10015, 5813, 10971, 7332, 9910, 9874, 161, 22885, 163, 3329, 83547, 5905, 79643, 84313, 207, 3841, 10981, 6714, 11315, 64130, 7424, 9049, 93974, 6774, 116986, 3265, 572, 55585, 375, 4905, 3458, 29886, 1311, 10550, 5910, 79719, 5878, 27183, 8906, 9135, 9179, 4087, 4089, 5894, 55072, 23236, 54662, 2932, 79666, 23197, 56648, 127829, 10204",304,2.132509038
GO:0045184~establishment of protein localization,63,4.02E-08,"9146, 5781, 5584, 8774, 8775, 81609, 115201, 27243, 5579, 5019, 10015, 5813, 10971, 7332, 9910, 9874, 161, 22885, 163, 3329, 83547, 5905, 79643, 84313, 207, 3841, 10981, 6714, 11315, 64130, 7424, 9049, 93974, 6774, 116986, 3265, 572, 55585, 375, 4905, 3458, 29886, 1311, 10550, 5910, 79719, 5878, 27183, 8906, 9135, 9179, 4087, 4089, 5894, 55072, 23236, 54662, 2932, 79666, 23197, 56648, 127829, 10204",304,2.061169312
GO:0071705~nitrogen compound transport,69,6.40E-08,"9146, 5781, 7884, 5584, 8774, 8775, 81609, 115201, 27243, 9218, 5579, 5019, 10015, 5813, 10971, 7332, 9910, 4067, 9874, 161, 22885, 163, 3329, 83547, 5905, 79643, 84313, 207, 3841, 10981, 6714, 11315, 64130, 7424, 9049, 93974, 6774, 116986, 3265, 572, 55585, 375, 4905, 3458, 29886, 1311, 10550, 5910, 79719, 5878, 87178, 27183, 8906, 9135, 9179, 4087, 4089, 5894, 55072, 59272, 23236, 54662, 80772, 2932, 79666, 23197, 56648, 127829, 10204",304,1.948585716
GO:0008104~protein localization,76,3.24E-07,"9146, 5781, 5584, 8774, 8775, 81609, 80124, 115201, 27243, 9218, 5579, 5019, 10015, 5813, 10971, 7332, 7375, 9910, 9874, 161, 22885, 163, 3329, 83547, 5905, 83700, 79643, 84313, 2035, 207, 3841, 10981, 6714, 11315, 64130, 137886, 7424, 9049, 93974, 6774, 23386, 116986, 3265, 572, 55585, 375, 4905, 3458, 55022, 1950, 29886, 1311, 10550, 5910, 79719, 26092, 5878, 27183, 8906, 30844, 9135, 9179, 4087, 4089, 5894, 55072, 23236, 54662, 2932, 79666, 23197, 5601, 56648, 127829, 10204, 10049",304,1.792006677
GO:0033036~macromolecule localization,84,4.40E-07,"9146, 5781, 6198, 7884, 5584, 8774, 8775, 81609, 80124, 115201, 27243, 9218, 5579, 5019, 10015, 5813, 10971, 7332, 7375, 9910, 9874, 161, 22885, 163, 3329, 5948, 83547, 5905, 83700, 79643, 84313, 58488, 2035, 207, 3841, 10981, 6714, 11315, 64130, 137886, 7424, 9049, 93974, 6774, 23386, 116986, 3265, 572, 55585, 375, 4905, 3458, 55022, 1950, 29886, 1311, 10550, 5910, 3931, 79719, 26092, 5878, 87178, 27183, 8906, 30844, 9135, 9179, 4087, 4089, 5894, 55072, 114876, 23236, 54662, 80772, 2932, 79666, 23197, 5601, 56648, 127829, 10204, 10049",304,1.708736842
GO:0051641~cellular localization,83,9.18E-07,"9146, 5781, 5584, 8774, 8775, 81609, 84959, 80124, 55288, 27243, 9218, 5579, 5019, 5813, 10971, 7332, 7375, 9910, 4067, 9874, 161, 1072, 22885, 163, 3329, 83547, 5905, 83700, 79643, 84313, 1783, 81488, 2035, 207, 5501, 3841, 7329, 10981, 6714, 5902, 11315, 64130, 137886, 9049, 93974, 6774, 23386, 3265, 3182, 572, 375, 4905, 3458, 55022, 1950, 29886, 10550, 5910, 815, 26092, 5878, 27183, 8906, 30844, 2648, 9135, 9179, 4089, 5894, 55072, 23236, 1490, 54662, 2932, 79666, 1487, 23197, 867, 4712, 127829, 10204, 2814, 10049",304,1.686775432
GO:0046907~intracellular transport,55,3.19E-06,"9146, 5781, 5584, 8774, 8775, 81609, 55288, 27243, 9218, 5579, 5813, 10971, 7332, 9910, 4067, 9874, 161, 22885, 163, 3329, 83547, 5905, 79643, 84313, 207, 5501, 3841, 7329, 10981, 6714, 5902, 11315, 9049, 93974, 6774, 3265, 375, 4905, 3458, 29886, 5878, 27183, 8906, 9179, 4089, 55072, 54662, 2932, 79666, 1487, 23197, 867, 4712, 127829, 10204",304,1.925274968
GO:0051649~establishment of localization in cell,65,3.85E-06,"9146, 5781, 5584, 8774, 8775, 81609, 84959, 55288, 27243, 9218, 5579, 5019, 5813, 10971, 7332, 9910, 4067, 9874, 161, 1072, 22885, 163, 3329, 83547, 5905, 79643, 84313, 207, 5501, 3841, 7329, 10981, 6714, 5902, 11315, 64130, 137886, 9049, 93974, 6774, 3265, 572, 375, 4905, 3458, 29886, 5878, 27183, 8906, 9179, 4089, 5894, 55072, 23236, 1490, 54662, 2932, 79666, 1487, 23197, 867, 4712, 127829, 10204, 2814",304,1.784106274
GO:0006886~intracellular protein transport,39,4.85E-06,"9146, 5781, 5584, 8774, 9049, 8775, 93974, 6774, 3265, 81609, 375, 4905, 3458, 29886, 5878, 8906, 10971, 27183, 5813, 9179, 7332, 9910, 4089, 9874, 55072, 161, 22885, 163, 3329, 54662, 5905, 2932, 84313, 23197, 207, 3841, 10981, 10204, 11315",304,2.237539782
GO:0034613~cellular protein localization,56,2.58E-05,"9146, 5781, 5584, 8774, 8775, 81609, 80124, 9218, 5813, 10971, 7332, 7375, 9910, 9874, 161, 22885, 163, 3329, 5905, 83700, 84313, 2035, 207, 3841, 10981, 6714, 11315, 64130, 137886, 9049, 93974, 6774, 23386, 3265, 375, 4905, 3458, 55022, 1950, 29886, 10550, 5910, 26092, 5878, 27183, 8906, 30844, 9135, 9179, 4089, 55072, 54662, 2932, 23197, 10204, 10049",304,1.777268308
GO:0070727~cellular macromolecule localization,56,3.04E-05,"9146, 5781, 5584, 8774, 8775, 81609, 80124, 9218, 5813, 10971, 7332, 7375, 9910, 9874, 161, 22885, 163, 3329, 5905, 83700, 84313, 2035, 207, 3841, 10981, 6714, 11315, 64130, 137886, 9049, 93974, 6774, 23386, 3265, 375, 4905, 3458, 55022, 1950, 29886, 10550, 5910, 26092, 5878, 27183, 8906, 30844, 9135, 9179, 4089, 55072, 54662, 2932, 23197, 10204, 10049",304,1.76668408
GO:1903827~regulation of cellular protein localization,22,4.61E-04,"7332, 5781, 5584, 137886, 4089, 93974, 55072, 3265, 22885, 163, 80124, 5905, 2932, 3458, 55022, 1950, 2035, 207, 27183, 6714, 10971, 11315",304,2.36236442
GO:0033365~protein localization to organelle,28,0.00429599,"9146, 137886, 9049, 93974, 6774, 23386, 3458, 1950, 9218, 5910, 26092, 10971, 27183, 9179, 9135, 7332, 4089, 55072, 22885, 3329, 2932, 84313, 207, 3841, 6714, 10204, 11315, 10049",304,1.781715926
GO:0071345~cellular response to cytokine stimulus,36,9.04E-07,"9125, 5781, 6198, 9943, 7424, 6774, 3561, 2194, 9261, 282618, 572, 3458, 55022, 1796, 815, 87178, 2648, 85480, 4067, 4089, 1809, 23236, 81858, 3329, 2932, 79444, 587, 2730, 3445, 2057, 5687, 207, 867, 8877, 6778, 6714",304,2.520359958
GO:0034097~response to cytokine,38,1.47E-06,"9125, 5781, 6198, 5584, 6498, 9943, 7424, 6774, 3561, 2194, 9261, 282618, 572, 3458, 55022, 1796, 815, 87178, 2648, 85480, 4067, 4089, 1809, 23236, 81858, 3329, 2932, 79444, 587, 2730, 3445, 2057, 5687, 207, 867, 8877, 6778, 6714",304,2.389342235
GO:0019221~cytokine-mediated signaling pathway,24,2.34E-05,"9125, 85480, 5781, 4067, 9943, 4089, 6774, 3561, 23236, 81858, 9261, 282618, 572, 3458, 79444, 1796, 3445, 2057, 5687, 867, 207, 8877, 6778, 6714",304,2.753895117
GO:0007166~cell surface receptor signaling pathway,70,4.19E-04,"9146, 5781, 6198, 5584, 9943, 3561, 84959, 9261, 1455, 51324, 53944, 5579, 3635, 959, 2549, 85480, 4067, 79643, 2876, 79444, 84313, 3445, 51377, 5588, 207, 6714, 11315, 7409, 9125, 8396, 9046, 6498, 7424, 10273, 8994, 6774, 116986, 3265, 3066, 2251, 9241, 9361, 282618, 572, 374, 573, 3458, 55022, 1796, 445329, 1950, 1311, 151742, 4087, 6464, 4089, 5894, 55072, 23236, 1490, 81858, 2932, 2776, 2730, 2057, 5687, 867, 8877, 5601, 6778",304,1.495743034
GO:0006796~phosphate-containing compound metabolic process,120,2.99E-21,"6197, 6198, 5781, 9061, 29789, 84959, 124790, 1455, 10935, 53944, 9218, 3633, 3635, 85480, 150290, 10380, 4067, 9874, 4860, 25996, 3251, 1503, 79643, 51251, 84313, 55577, 283871, 9125, 22978, 8396, 93974, 6774, 116986, 3265, 9241, 261726, 9361, 1635, 374, 132, 445329, 5315, 1915, 815, 3931, 9519, 84064, 4361, 4087, 4089, 59272, 1490, 1487, 5687, 8833, 5601, 285193, 9807, 9146, 5584, 9943, 8050, 271, 9261, 441024, 29101, 2987, 55364, 1017, 10614, 57026, 4522, 318, 5579, 10298, 2081, 140609, 8226, 27330, 79444, 3445, 1267, 5588, 5226, 5501, 207, 6714, 11315, 9046, 7424, 8994, 3066, 2251, 57161, 51181, 282618, 572, 3458, 55022, 1796, 1950, 151742, 10550, 5634, 5635, 5910, 5636, 30844, 9453, 6464, 5894, 23236, 2932, 2776, 867, 4830, 5524, 8877, 4712, 2539",304,2.355864569
GO:0006793~phosphorus metabolic process,121,9.14E-21,"6197, 6198, 5781, 9061, 29789, 84959, 124790, 1455, 10935, 54995, 53944, 9218, 3633, 3635, 85480, 150290, 10380, 4067, 9874, 4860, 25996, 3251, 1503, 79643, 51251, 84313, 55577, 283871, 9125, 22978, 8396, 93974, 6774, 116986, 3265, 9241, 261726, 9361, 1635, 374, 132, 445329, 5315, 1915, 815, 3931, 9519, 84064, 4361, 4087, 4089, 59272, 1490, 1487, 5687, 8833, 5601, 285193, 9807, 9146, 5584, 9943, 8050, 271, 9261, 441024, 29101, 2987, 55364, 1017, 10614, 57026, 4522, 318, 5579, 10298, 2081, 140609, 8226, 27330, 79444, 3445, 1267, 5588, 5226, 5501, 207, 6714, 11315, 9046, 7424, 8994, 3066, 2251, 57161, 51181, 282618, 572, 3458, 55022, 1796, 1950, 151742, 10550, 5634, 5635, 5910, 5636, 30844, 9453, 6464, 5894, 23236, 2932, 2776, 867, 4830, 5524, 8877, 4712, 2539",304,2.311255575
GO:0016310~phosphorylation,84,7.07E-13,"6197, 9146, 5781, 6198, 5584, 9943, 9061, 84959, 124790, 9261, 2987, 55364, 1017, 10614, 1455, 10935, 53944, 5579, 10298, 2081, 85480, 140609, 10380, 4067, 9874, 27330, 79643, 79444, 84313, 3445, 55577, 5588, 207, 5501, 6714, 11315, 9125, 8396, 9046, 7424, 8994, 6774, 116986, 3265, 3066, 2251, 9241, 57161, 9361, 282618, 132, 572, 374, 3458, 55022, 1796, 445329, 1950, 151742, 10550, 5634, 5315, 5910, 1915, 815, 30844, 4361, 4087, 6464, 4089, 5894, 59272, 23236, 1490, 2932, 2776, 1487, 5687, 4830, 867, 8877, 5601, 9807, 4712",304,2.24833795
GO:0006468~protein phosphorylation,68,5.67E-10,"6197, 9146, 5781, 6198, 5584, 9943, 84959, 124790, 9261, 55364, 1017, 10614, 1455, 53944, 5579, 10298, 2081, 85480, 140609, 4067, 9874, 27330, 79643, 79444, 84313, 3445, 5588, 207, 5501, 6714, 11315, 9125, 9046, 7424, 116986, 3265, 3066, 2251, 9241, 57161, 9361, 282618, 374, 3458, 55022, 1796, 445329, 1950, 151742, 10550, 5910, 815, 30844, 4361, 4087, 6464, 4089, 5894, 59272, 23236, 1490, 2932, 2776, 1487, 5687, 867, 8877, 5601",304,2.206583649
GO:0006464~cellular protein modification process,107,5.23E-09,"6197, 6198, 5781, 6233, 84959, 124790, 23326, 80124, 1455, 10935, 115201, 127018, 53944, 51645, 11101, 85480, 7332, 150290, 4067, 9874, 79643, 84313, 23173, 51377, 7329, 283871, 85365, 9125, 22978, 116986, 3265, 9241, 261726, 9361, 374, 55585, 445329, 60496, 7337, 135112, 815, 54936, 4361, 4087, 4089, 55072, 59272, 1490, 81858, 1487, 5687, 5601, 285193, 11059, 9146, 5584, 9943, 9261, 29101, 55364, 1017, 10614, 84246, 57026, 5579, 10298, 2081, 140609, 7375, 5905, 27330, 2876, 79444, 3445, 5588, 5501, 207, 6714, 10465, 11315, 9046, 7424, 10273, 3066, 2251, 57161, 282618, 3458, 55022, 1796, 1950, 151742, 92715, 10550, 5910, 30844, 2648, 5373, 6464, 5894, 23236, 2932, 2776, 867, 5524, 8877, 2539",304,1.696655387
GO:0036211~protein modification process,107,5.30E-09,"6197, 6198, 5781, 6233, 84959, 124790, 23326, 80124, 1455, 10935, 115201, 127018, 53944, 51645, 11101, 85480, 7332, 150290, 4067, 9874, 79643, 84313, 23173, 51377, 7329, 283871, 85365, 9125, 22978, 116986, 3265, 9241, 261726, 9361, 374, 55585, 445329, 60496, 7337, 135112, 815, 54936, 4361, 4087, 4089, 55072, 59272, 1490, 81858, 1487, 5687, 5601, 285193, 11059, 9146, 5584, 9943, 9261, 29101, 55364, 1017, 10614, 84246, 57026, 5579, 10298, 2081, 140609, 7375, 5905, 27330, 2876, 79444, 3445, 5588, 5501, 207, 6714, 10465, 11315, 9046, 7424, 10273, 3066, 2251, 57161, 282618, 3458, 55022, 1796, 1950, 151742, 92715, 10550, 5910, 30844, 2648, 5373, 6464, 5894, 23236, 2932, 2776, 867, 5524, 8877, 2539",304,1.696232281
GO:0035556~intracellular signal transduction,79,2.28E-07,"6197, 9146, 9265, 6275, 5781, 6198, 5584, 9943, 9261, 26470, 55288, 117145, 55364, 340205, 1017, 10614, 9218, 5579, 10298, 3635, 10971, 2081, 85480, 4067, 9874, 1072, 27330, 2876, 51571, 79444, 3445, 81488, 5588, 207, 5501, 7329, 6714, 11315, 7409, 9046, 6498, 8994, 9049, 29, 6774, 116986, 3265, 3066, 261726, 57161, 282618, 572, 374, 3458, 1796, 445329, 1950, 151742, 10550, 7337, 5910, 815, 3190, 4087, 6464, 4089, 5894, 55072, 59272, 23236, 1490, 81858, 2932, 192669, 5687, 867, 8877, 5601, 6778",304,1.778943407
GO:0031399~regulation of protein modification process,60,4.01E-07,"9146, 5781, 84959, 124790, 55364, 10614, 10298, 2081, 85480, 7332, 7375, 4067, 27330, 79643, 79444, 84313, 3445, 207, 7329, 6714, 11315, 9125, 9046, 7424, 10273, 116986, 3265, 3066, 2251, 9241, 261726, 57161, 9361, 282618, 374, 3458, 55022, 1796, 1950, 10550, 7337, 5910, 135112, 30844, 2648, 4361, 6464, 4089, 5894, 59272, 23236, 1490, 2932, 2776, 1487, 867, 5524, 8877, 5601, 2539",304,1.976240796
GO:0019220~regulation of phosphate metabolic process,56,1.04E-06,"9146, 5781, 84959, 124790, 55364, 10614, 10935, 10298, 2081, 85480, 4067, 27330, 79643, 79444, 84313, 3445, 207, 6714, 11315, 9125, 8396, 9046, 7424, 93974, 6774, 116986, 3265, 3066, 2251, 9241, 261726, 57161, 9361, 282618, 572, 374, 3458, 55022, 1796, 1950, 10550, 5910, 1915, 30844, 4361, 6464, 4089, 5894, 59272, 23236, 1490, 2932, 2776, 867, 5524, 8877",304,1.982109366
GO:0042325~regulation of phosphorylation,52,1.11E-06,"9146, 5781, 84959, 124790, 55364, 10614, 10935, 10298, 2081, 85480, 4067, 27330, 79643, 79444, 84313, 3445, 207, 6714, 11315, 9125, 8396, 9046, 7424, 6774, 116986, 3265, 3066, 2251, 9241, 57161, 9361, 282618, 572, 374, 3458, 55022, 1796, 1950, 10550, 5910, 1915, 30844, 4361, 6464, 4089, 5894, 59272, 23236, 1490, 2776, 867, 8877",304,2.046806257
GO:0051174~regulation of phosphorus metabolic process,56,1.12E-06,"9146, 5781, 84959, 124790, 55364, 10614, 10935, 10298, 2081, 85480, 4067, 27330, 79643, 79444, 84313, 3445, 207, 6714, 11315, 9125, 8396, 9046, 7424, 93974, 6774, 116986, 3265, 3066, 2251, 9241, 261726, 57161, 9361, 282618, 572, 374, 3458, 55022, 1796, 1950, 10550, 5910, 1915, 30844, 4361, 6464, 4089, 5894, 59272, 23236, 1490, 2932, 2776, 867, 5524, 8877",304,1.976606564
