Proteins,Target name,EntrezGeneID,Uniprot,EntrezGeneIDString
CSF2R_10438.19,CSF2R,1438,P15509,1438
Alpha.amylase.2B_10439.57,Alpha-amylase 2B,280,P19961,280
ACAM.ECD_10440.26,ACAM:ECD,79827,Q9H6B4,79827
TM190_10442.1,TM190,147744,Q8WZ59,147744
ApoM_10445.20,ApoM,55937,O95445,55937
PABP3_10447.18,PABP3,5042,Q9H361,5042
TMM46_10449.31,TMM46,387914,Q6UWI4,387914
NUCB1_10451.11,NUCB1,4924,Q02818,4924
CEA20_10453.7,CEA20,125931,Q6UY09,125931
DJC16_10454.99,DJC16,23341,Q9Y2G8,23341
IL.31_10455.196,IL-31,386653,Q6EBC2,386653
IL.18.Rb_10457.3,IL-18 Rb,8807,O95256,8807
Chitotriosidase.1_10460.1,Chitotriosidase-1,1118,Q13231,1118
INSL5_10462.14,INSL5,10022,Q9Y5Q6,10022
Alkaline.phosphatase..intestine_10463.23,"Alkaline phosphatase, intestine",248,P09923,248
ANTR1_10464.6,ANTR1,84168,Q9H6X2,84168
TXD11.N.term_10470.34,TXD11:N-term,51061,Q6PKC3,51061
HVEM_10472.53,HVEM,8764,Q92956,8764
Trefoil.factor.2_10473.2,Trefoil factor 2,7032,Q03403,7032
MMP.10_10479.18,MMP-10,4319,P09238,4319
CD59_10480.33,CD59,966,P13987,966
MAGE.4_10485.56,MAGE-4,4103,P43358,4103
RPN1.CD_10490.3,RPN1:CD,6184,P04843,6184
CaCC_10496.11,CaCC,1179,A8K7I4,1179
T106A_10499.1,T106A,113277,Q96A25,113277
RNF43_10505.12,RNF43,54894,Q68DV7,54894
PGRC2_10506.53,PGRC2,10424,O15173,10424
sperm.protein.10_10507.166,sperm protein 10,56,P26436,56
SCIMP_10510.62,SCIMP,388325,Q6UWF3,388325
Collagen.alpha.3.VI..isoform.3_10511.10,Collagen alpha-3(VI):isoform 3,1293,P12111,1293
IL3RB.ECD_10512.13,IL3RB:ECD,1439,P32927,1439
CSEN_10513.13,CSEN,30818,Q9Y2W7,30818
PGD2.synthase_10514.5,PGD2 synthase,5730,P41222,5730
MXRA8.ECD_10521.10,MXRA8:ECD,54587,Q9BRK3,54587
DHX9_10527.22,DHX9,1660,Q08211,1660
DPEP1_10528.2,DPEP1,1800,P16444,1800
PSB6_10530.8,PSB6,5694,P28072,5694
RASN_10531.18,RASN,4893,P01111,4893
PARP.BRCT.domain_10534.40,PARP:BRCT domain,142,P09874,142
CX6A2_10535.25,CX6A2,1339,Q02221,1339
C99L2_10539.30,C99L2,83692,Q8TCZ2,83692
TSEAR_10546.2,TSEAR,54084,Q8WU66,54084
BMP.RIB_10550.37,BMP RIB,658,O00238,658
LAT_10551.7,LAT,27040,O43561,27040
NKG2F_10552.88,NKG2F,8302,O43908,8302
TOIP2_10553.8,TOIP2,163590,Q8NFQ8,163590
BGAL_10554.23,BGAL,2720,P16278,2720
TEX29_10557.6,TEX29,121793,Q8N6K0,121793
PCDH9_10558.26,PCDH9,5101,Q9HC56,5101
ITM2C.N.term_10560.1,ITM2C:N-term,81618,Q9NQX7,81618
PGRP.I.alpha_10561.5,PGRP-I-alpha,114771,Q96LB9,114771
NETO2_10562.42,NETO2,81831,Q8NC67,81831
LYSM3_10563.13,LYSM3,116068,Q7Z3D4,116068
SLIK3_10565.19,SLIK3,22865,O94933,22865
MFAP2_10569.28,MFAP2,4237,P55001,4237
MGAT1_10571.14,MGAT1,4245,P26572,4245
CST8_10572.65,CST8,10047,O60676,10047
b2.Microglobulin_10574.10,b2-Microglobulin,567,P61769,567
PUF60_10575.31,PUF60,22827,Q9UHX1,22827
PXDC2.ECD_10576.7,PXDC2:ECD,84898,Q6UX71,84898
SFTA2_10580.14,SFTA2,389376,Q6UW10,389376
SG196_10582.36,SG196,84197,Q9H5K3,84197
TM108_10583.1,TM108,66000,Q6UXF1,66000
NDUS4_10584.7,NDUS4,4724,O43181,4724
SIAT9_10588.39,SIAT9,8869,Q9UNP4,8869
RET1L_10589.7,RET1L,154064,Q5VY80,154064
CLGN_10600.24,CLGN,1047,O14967,1047
HIS3_10603.1,HIS3,3347,P15516,3347
APMAP_10605.22,APMAP,57136,Q9HDC9,57136
TOIP1.Perinuclear_10606.34,TOIP1:Perinuclear,26092,Q5JTV8,26092
HIS1_10608.9,HIS1,3346,P15515,3346
PLOD3_10612.18,PLOD3,8985,O60568,8985
CASC4_10613.33,CASC4,113201,Q6P4E1,113201
MYP0_10615.18,MYP0,4359,P25189,4359
PDXL2_10616.67,PDXL2,50512,Q9NZ53,50512
megalin_10618.190,megalin,4036,P98164,4036
PSP.94_10620.21,PSP-94,4477,P08118,4477
PRR16_10621.26,PRR16,51334,Q569H4,51334
MUC1.region.1_10623.19,MUC1:region 1,4582,P15941,4582
ISK13_10624.45,ISK13,153218,Q1W4C9,153218
SIA7C_10626.116,SIA7C,256435,Q8NDV1,256435
APLP2_10627.87,APLP2,334,Q06481,334
HTAI2_10630.5,HTAI2,10553,Q9BUP3,10553
PGRC2_10631.9,PGRC2,10424,O15173,10424
MO2R1.CD_10636.1,MO2R1:CD,131450,Q8TD46,131450
K1324.ECD_10637.50,K1324:ECD,57535,Q6UXG2,57535
TINF2_10638.1,TINF2,26277,Q9BSI4,26277
NOE3.C.term_10643.16,NOE3:C-term,118427,Q96PB7,118427
ASCC1_10647.18,ASCC1,51008,Q8N9N2,51008
INSI1_10663.42,INSI1,3638,O15503,3638
GNPTG_10666.7,GNPTG,84572,Q9UJJ9,84572
CA185_10667.78,CA185,284546,Q5T7R7,284546
STX4_10668.5,STX4,6810,Q12846,6810
Semaphorin.3E_10670.26,Semaphorin 3E,9723,O15041,9723
SP.B_10672.75,SP-B,6439,P07988,6439
TMX2_10675.223,TMX2,51075,Q9Y320,51075
NDUB4_10677.9,NDUB4,4710,O95168,4710
KLRG2.C.term_10693.43,KLRG2:C-term,346689,A4D1S0,346689
WF10B_10695.12,WF10B,280664,Q8IUB3,280664
LRP1_10699.52,LRP1,4035,Q07954,4035
IGS11.CD_10700.10,IGS11:CD,152404,Q5DX21,152404
COSA1_10702.1,COSA1,340267,Q2UY09,340267
SDS3_10703.203,SDS3,64426,Q9H7L9,64426
LRMP_10704.91,LRMP,4033,Q12912,4033
SIA7C_10705.14,SIA7C,256435,Q8NDV1,256435
GON2_10708.3,GON2,2797,O43555,2797
ZPBP2_10710.23,ZPBP2,124626,Q6X784,124626
CLM7_10713.151,CLM7,124599,A8K4G0,124599
ACE_10714.7,ACE,1636,P12821,1636
PSMD5_10716.35,PSMD5,5711,Q16401,5711
HSP.70_10721.76,HSP 70,3303,P0DMV8,3303
KSYK.Protein.Kinase_10722.13,KSYK:Protein Kinase,6850,P43405,6850
HS3S5_10731.10,HS3S5,222537,Q8IZT8,222537
G3ST2_10734.339,G3ST2,64090,Q9H3Q3,64090
Serpin.B1_10737.96,Serpin B1,1992,P30740,1992
fibulin.5_10738.11,fibulin 5,10516,Q9UBX5,10516
CSF.1_10741.22,CSF-1,1435,P09603,1435
SLIK1_10743.13,SLIK1,114798,Q96PX8,114798
DKK3_10746.24,DKK3,27122,Q9UBP4,27122
PCDB2_10748.216,PCDB2,56133,Q9Y5E7,56133
HSP.70_10749.18,HSP 70,3303,P0DMV8,3303
CDYL2_10752.8,CDYL2,124359,Q8N8U2,124359
ADAM7_10753.31,ADAM7,8756,Q9H2U9,8756
Prokineticin.2_10754.113,Prokineticin-2,60675,Q9HC23,60675
UCN3_10756.34,UCN3,114131,Q969E3,114131
KERA_10758.2,KERA,11081,O60938,11081
GRIA4_10760.107,GRIA4,2893,P48058,2893
TMED2_10761.5,TMED2,10959,Q15363,10959
KLRG2.N.term_10762.2,KLRG2:N-term,346689,A4D1S0,346689
GPR64_10767.52,GPR64,10149,Q8IZP9,10149
CGAT2_10772.21,CGAT2,55454,Q8N6G5,55454
RAB3D_10780.10,RAB3D,9545,O95716,9545
CLC4G_10781.19,CLC4G,339390,Q6UXB4,339390
LRC52_10785.8,LRC52,440699,Q8N7C0,440699
CLM2_10798.4,CLM2,342510,Q496F6,342510
Collagen.binding.protein_10800.15,Collagen-binding protein,871,P50454,871
Ephrin.A2_10801.11,Ephrin-A2,1943,O43921,1943
HSP.70_10803.22,HSP 70,3303,P0DMV8,3303
KLRB1_10809.14,KLRB1,3820,Q12918,3820
CD1A_10814.7,CD1A,909,P06126,909
HABP4_10815.2,HABP4,22927,Q5JVS0,22927
PILRA.isoform.FDF03.M14_10816.150,PILRA isoform FDF03-M14,29992,Q9UKJ1,29992
TO20L_10817.26,TO20L,387990,Q6UXN7,387990
ASM_10818.36,ASM,6609,P17405,6609
fibulin.1_10819.108,fibulin 1,2192,P23142,2192
VSI10_10825.12,VSI10,54621,Q8N0Z9,54621
LIGO3_10827.67,LIGO3,645191,P0C6S8,645191
K0494.N.term_10830.5,K0494:N-term,9813,O75071,9813
B4GT6_10832.24,B4GT6,9331,Q9UBX8,9331
HHIP_10833.64,HHIP,64399,Q96QV1,64399
A4GCT_10835.25,A4GCT,51146,Q9UNA3,51146
GCNT4_10842.7,GCNT4,51301,Q9P109,51301
SIG15_10847.1,SIG15,284266,Q6ZMC9,284266
BTNL3_10848.137,BTNL3,10917,Q6UXE8,10917
IL27B_10851.77,IL27B,10148,Q14213,10148
HNRDL_10852.114,HNRDL,9987,O14979,9987
GCNT4_10854.15,GCNT4,51301,Q9P109,51301
PLXB2_10855.55,PLXB2,23654,O15031,23654
P4R3A_10866.60,P4R3A,55671,Q6IN85,55671
Spastin.MIT_10870.32,Spastin:MIT,6683,Q9UBP0,6683
BRAT1_10876.300,BRAT1,221927,Q6PJG6,221927
F163B_10880.38,F163B,642968,P0C2L3,642968
Desmocollin.1_10882.12,Desmocollin-1,1823,Q08554,1823
CF089_10885.36,CF089,221477,Q6UWU4,221477
MRAP2_10889.2,MRAP2,112609,Q96G30,112609
LCTL_10890.135,LCTL,197021,Q6UWM7,197021
OSMR_10892.8,OSMR,9180,Q99650,9180
Secretagogin_10894.25,Secretagogin,10590,O76038,10590
TM11B_10895.28,TM11B,132724,Q86T26,132724
STMN2_10900.272,STMN2,11075,Q93045,11075
APRV1_10902.53,APRV1,151516,Q53RT3,151516
STX8_10903.50,STX8,9482,Q9UNK0,9482
NTRI_10907.116,NTRI,50863,Q9P121,50863
GLT13_10908.2,GLT13,114805,Q8IUC8,114805
CEAM4_10910.6,CEAM4,1089,O75871,1089
PLA2R_10916.44,PLA2R,22925,Q13018,22925
GBGT2_10917.40,GBGT2,2793,O14610,2793
NEUFC_10924.258,NEUFC,124936,Q8WUJ1,124936
CABP8_10933.107,CABP8,83698,Q9BXU9,83698
sLFA.3_10938.13,sLFA-3,965,P19256,965
PKHA4_10939.16,PKHA4,57664,Q9H4M7,57664
SRCA_10940.25,SRCA,6345,Q86TD4,6345
Syntaxin.6_10945.11,Syntaxin-6,10228,O43752,10228
PLD3_10948.14,PLD3,23646,Q8IV08,23646
RLA2_10949.59,RLA2,6181,P05387,6181
CLC2A_10953.14,CLC2A,387836,Q6UVW9,387836
CLC10_10955.4,CLC10,10462,Q8IUN9,10462
GCSH_10956.82,GCSH,2653,P23434,2653
BET1L_10959.125,BET1L,51272,Q9NYM9,51272
TIG3_10961.15,TIG3,5920,Q9UL19,5920
a2.HS.Glycoprotein_10966.1,a2-HS-Glycoprotein,197,P02765,197
PRL_10967.12,PRL,5617,P01236,5617
NAR3_10970.3,NAR3,419,Q13508,419
ISK7_10974.20,ISK7,84651,P58062,84651
MUCL1_10975.59,MUCL1,118430,Q96DR8,118430
MUC1.region.3_10976.44,MUC1:region 3,4582,P15941,4582
UCMA_10977.55,UCMA,221044,Q8WVF2,221044
SOM2_10978.39,SOM2,2689,P01242,2689
ACES_10980.11,ACES,43,P22303,43
NRG3_10981.56,NRG3,10718,P56975,10718
LRRK2_10990.21,LRRK2,120892,Q5S007,120892
Osteocalcin_11067.13,Osteocalcin,632,P02818,632
IL.5_11071.1,IL-5,3567,P05113,3567
GPDA_11081.1,GPDA,2819,P21695,2819
NSE_11083.23,NSE,2026,P09104,2026
IgA_11089.7,IgA,3493 3494,P01876|P01877,3493 3494
LPPL_11094.104,LPPL,1178,Q05315,1178
HEMK2_11096.57,HEMK2,29104,Q9Y5N5,29104
PDXK_11098.1,PDXK,8566,O00764,8566
TLR4_11101.18,TLR4,7099,O00206,7099
REG4_11102.22,REG4,83998,Q9BYZ8,83998
HSP.27_11103.24,HSP 27,3315,P04792,3315
YKL.40_11104.13,YKL-40,1116,P36222,1116
Alpha.enolase_11105.171,Alpha enolase,2023,P06733,2023
TEN3_11107.25,TEN3,55714,Q9P273,55714
SVEP1.Sushi.15.18_11109.56,SVEP1:Sushi 15-18,79987,Q4LDE5,79987
TM119_11110.4,TM119,338773,Q4V9L6,338773
KISHA_11112.18,KISHA,153339,Q8TBQ9,153339
CK087_11116.16,CK087,399947,Q6NUJ2,399947
SPT20_11117.2,SPT20,64847,Q8TB22,64847
RAB17_11118.107,RAB17,64284,Q9H0T7,64284
NAT14_11120.49,NAT14,57106,Q8WUY8,57106
VWC2_11121.56,VWC2,375567,Q2TAL6,375567
SPG21_11122.97,SPG21,51324,Q9NZD8,51324
TRIO_11126.102,TRIO,7204,O75962,7204
T132C.CD_11128.29,T132C:CD,92293,Q8N3T6,92293
BMP15_11129.66,BMP15,9210,O95972,9210
CACB4_11130.158,CACB4,785,O00305,785
RF1ML_11134.30,RF1ML,54516,Q9UGC7,54516
RM55_11135.5,RM55,128308,Q7Z7F7,128308
IL3RB.CD_11137.43,IL3RB:CD,1439,P32927,1439
RUNX3_11138.16,RUNX3,864,Q13761,864
CO1A1.C.term.propeptide_11140.56,CO1A1:C-term propeptide,1277,P02452,1277
ANGL1.C.term_11142.11,ANGL1:C-term,9068,O95841,9068
NOE3.N.term_11143.32,NOE3:N-term,118427,Q96PB7,118427
DB116_11144.10,DB116,245930,Q30KQ4,245930
K154L_11145.72,K154L,25758,Q6ZVL6,25758
TBX22_11146.4,TBX22,50945,Q9Y458,50945
TRML1.ITIM_11147.17,TRML1:ITIM,340205,Q86YW5,340205
TLR1.CD_11149.3,TLR1:CD,7096,Q15399,7096
Collagen.a1.VI._11150.3,Collagen a1(VI),1291,P12109,1291
kallikrein.13_11152.46,kallikrein 13,26085,Q9UKR3,26085
NF2L1_11154.3,NF2L1,4779,Q14494,4779
CO6A5_11155.16,CO6A5,256076,A8TX70,256076
HSP.70_11157.35,HSP 70,3303,P0DMV8,3303
BICR1_11158.40,BICR1,92558,Q6ZP65,92558
MUL1.CD_11159.14,MUL1:CD,79594,Q969V5,79594
RN122_11160.56,RN122,79845,Q9H9V4,79845
SPG20_11161.5,SPG20,23111,Q8N0X7,23111
EQTN_11162.37,EQTN,54586,Q9NQ60,54586
F162B_11163.7,F162B,221303,Q5T6X4,221303
TEN2_11164.7,TEN2,57451,Q9NT68,57451
MTMR1_11167.6,MTMR1,8776,Q13613,8776
MEG10_11168.3,MEG10,84466,Q96KG7,84466
filamin.A.CH2_11171.25,filamin A:CH2,2316,P21333,2316
MILR1_11173.29,MILR1,284021,Q7Z6M3,284021
THS7A.TSP.type.1.domain.6_11174.8,THS7A:TSP type-1 domain 6,221981,Q9UPZ6,221981
PCAT2_11175.45,PCAT2,54947,Q7L5N7,54947
K2C5_11177.16,K2C5,3852,P13647,3852
SVEP1.EGF.like.domains.4.6_11178.21,SVEP1:EGF-like domains 4-6,79987,Q4LDE5,79987
TSSK1_11179.7,TSSK1,83942,Q9BXA7,83942
SMRC1_11180.17,SMRC1,6599,Q92922,6599
CgA_11184.51,CgA,1113,P10645,1113
GCH1_11185.145,GCH1,2643,P30793,2643
TMM52_11186.12,TMM52,339456,Q8NDY8,339456
CL12A_11187.11,CL12A,160364,Q5QGZ9,160364
YMEL1_11190.129,YMEL1,10730,Q96TA2,10730
TINAL_11192.168,TINAL,64129,Q9GZM7,64129
HNF1A_11193.27,HNF1A,6927,P20823,6927
SIT1_11194.6,SIT1,27240,Q9Y3P8,27240
Collagen.alpha.3.VI..BPTI.Kunitz.inhibitor_11196.31,Collagen alpha-3(VI):BPTI/Kunitz inhibitor,1293,P12111,1293
CR3L1_11198.37,CR3L1,90993,Q96BA8,90993
C1QR1_11200.52,C1QR1,22918,Q9NPY3,22918
TRUA_11201.19,TRUA,80324,Q9Y606,80324
TBX5_11202.70,TBX5,6910,Q99593,6910
KPYR_11203.97,KPYR,5313,P30613,5313
CXAR_11204.80,CXAR,1525,P78310,1525
Integrin.beta.7_11205.10,Integrin beta-7,3695,P26010,3695
Macrophage.scavenger.receptor.CD_11207.3,Macrophage scavenger receptor:CD,4481,P21757,4481
NAGPA_11208.15,NAGPA,51172,Q9UK23,51172
TBCE_11211.7,TBCE,6905,Q15813,6905
TXND5_11212.7,TXND5,81567,Q8NBS9,81567
DNJB9_11214.40,DNJB9,4189,Q9UBS3,4189
CAD15.CD_11215.6,CAD15:CD,1013,P55291,1013
CTBP1_11217.16,CTBP1,1487,Q13363,1487
TPMT_11218.84,TPMT,7172,P51580,7172
FGFP3_11219.95,FGFP3,143282,Q8TAT2,143282
CJ105_11220.53,CJ105,414152,Q8TEF2,414152
TM154_11223.1,TM154,201799,Q6P9G4,201799
UBE3A_11226.16,UBE3A,7337,Q05086,7337
TBL2_11227.31,TBL2,26608,Q9Y4P3,26608
RIC3_11228.37,RIC3,79608,Q7Z5B4,79608
ERN1_11229.16,ERN1,2081,O75460,2081
ADXL_11231.12,ADXL,112812,Q6P4F2,112812
Holo.TC.I_11232.46,Holo-TC I,6947,P20061,6947
PCOC1_11237.49,PCOC1,5118,Q15113,5118
TMPS6_11239.49,TMPS6,164656,Q8IU80,164656
ARLY_11241.8,ARLY,435,P04424,435
TGM1_11242.33,TGM1,7051,P22735,7051
GPR110_11243.90,GPR110,266977,Q5T601,266977
filamin.A.CH1_11245.43,filamin A:CH1,2316,P21333,2316
LPLC1_11246.3,LPLC1,92747,Q8TDL5,92747
NAGS_11247.20,NAGS,162417,Q8N159,162417
HEM4_11248.43,HEM4,7390,P10746,7390
LRCH4.CH_11252.30,LRCH4:CH,4034,O75427,4034
PPN_11254.13,PPN,89932,O95428,89932
DHPR_11257.1,DHPR,5860,P09417,5860
MAdCAM.1_11258.41,MAdCAM-1,8174,Q13477,8174
SPA4L_11260.47,SPA4L,140732,Q8TC36,140732
TRABD_11262.39,TRABD,80305,Q9H4I3,80305
CASQ1_11263.57,CASQ1,844,P31415,844
XDH_11264.33,XDH,7498,P47989,7498
Retinal.dehydrogenase.1_11265.8,Retinal dehydrogenase 1,216,P00352,216
SELPL.ECD_11266.8,SELPL:ECD,6404,Q14242,6404
CHC10_11270.17,CHC10,400916,Q8WYQ3,400916
GSTT2_11273.176,GSTT2,653689,P0CG30,653689
LRP1B_11275.94,LRP1B,53353,Q9NZR2,53353
ATF6A_11277.23,ATF6A,22926,P18850,22926
COL11A2_11278.4,COL11A2,1302,P13942,1302
GABR1_11279.42,GABR1,2550,Q9UBS5,2550
DCE1_11280.6,DCE1,2571,Q99259,2571
GRB7_11281.6,GRB7,2886,Q14451,2886
Macrophage.scavenger.receptor.ECD_11282.16,Macrophage scavenger receptor:ECD,4481,P21757,4481
DCAF5_11283.13,DCAF5,8816,Q96JK2,8816
LAIR1_11284.24,LAIR1,3903,Q6GTX8,3903
CD34_11285.8,CD34,947,P28906,947
SELS_11286.78,SELS,55829,Q9BQE4,55829
Cytochrome.b5_11287.14,Cytochrome b5,1528,P00167,1528
X5NTC_11288.26,5NTC,22978,P49902,22978
KC1D_11289.31,KC1D,1453,P48730,1453
SCAR3.region.2_11292.13,SCAR3:region 2,51435,Q6AZY7,51435
LRRN1.CD_11293.14,LRRN1:CD,57633,Q6UXK5,57633
TMCC3.region.2_11294.7,TMCC3:region 2,57458,Q9ULS5,57458
NOTC2_11297.54,NOTC2,4853,Q04721,4853
SORT_11300.32,SORT,6272,Q99523,6272
TENR_11302.237,TENR,7143,Q92752,7143
SAMH1_11303.7,SAMH1,25939,Q9Y3Z3,25939
WWP1_11307.33,WWP1,11059,Q9H0M0,11059
CR3L4_11308.8,CR3L4,148327,Q8TEY5,148327
Desmoglein.3_11310.8,Desmoglein-3,1830,P32926,1830
RAG.1_11311.79,RAG-1,5896,P15918,5896
PMS2_11312.40,PMS2,5395,P54278,5395
PHS_11313.100,PHS,5092,P61457,5092
PPM1D_11315.148,PPM1D,8493,O15297,8493
Apo.A.V_11318.20,Apo A-V,116519,Q6Q788,116519
MRE11_11319.106,MRE11,4361,P49959,4361
CHFR_11320.29,CHFR,55743,Q96EP1,55743
PXDNL_11324.3,PXDNL,137902,A1KZ92,137902
BTG2_11325.8,BTG2,7832,P78543,7832
CLK2_11327.56,CLK2,1196,P49760,1196
USB1_11328.9,USB1,79650,Q9BQ65,79650
CSK2B_11330.15,CSK2B,1460,P67870,1460
RHG25_11333.82,RHG25,9938,P42331,9938
LIRB3_11334.7,LIRB3,102725035,O75022,102725035
FANCF_11336.9,FANCF,2188,Q9NPI8,2188
BLK_11338.49,BLK,640,P51451,640
PXDC2.CD_11342.59,PXDC2:CD,84898,Q6UX71,84898
Transaldolase_11347.9,Transaldolase,6888,P37837,6888
P4HA2_11348.132,P4HA2,8974,O15460,8974
CHIP_11350.30,CHIP,10273,Q9UNE7,10273
NHEJ1_11351.233,NHEJ1,79840,Q9H9Q4,79840
TITIN_11352.42,TITIN,7273,Q8WZ42,7273
SMAD2_11353.143,SMAD2,4087,Q15796,4087
Phospholipase.C.beta.1_11354.21,Phospholipase C-beta-1,23236,Q9NQ66,23236
IF5A2_11355.10,IF5A2,56648,Q9GZV4,56648
DGC14_11356.19,DGC14,8220,Q96DF8,8220
GRB10_11358.15,GRB10,2887,Q13322,2887
RRM1_11360.39,RRM1,6240,P23921,6240
TP_11361.73,TP,1890,P19971,1890
AQP4_11363.58,AQP4,361,P55087,361
MFN1_11364.18,MFN1,55669,Q8IWA4,55669
TEN4_11365.17,TEN4,26011,Q6N022,26011
KAD2_11368.32,KAD2,204,P54819,204
ADHX_11369.23,ADHX,128,P11766,128
INP5E_11370.20,INP5E,56623,Q9NRR6,56623
GP101_11371.1,GP101,83550,Q96P66,83550
ZNF18_11372.2,ZNF18,7566,P17022,7566
FOXL2_11375.49,FOXL2,668,P58012,668
ADH7_11377.19,ADH7,131,P40394,131
KSYK.SH2..1.and.2_11378.37,"KSYK:SH2, 1 and 2",6850,P43405,6850
RBM24_11380.84,RBM24,221662,Q9BX46,221662
PRPS1_11381.56,PRPS1,5631,P60891,5631
BIEA_11382.5,BIEA,644,P53004,644
Keratin.7_11383.41,Keratin 7,3855,P08729,3855
ATF6B_11387.3,ATF6B,1388,Q99941,1388
HE4_11388.75,HE4,10406,Q14508,10406
Carbonic.Anhydrase.VIII_11390.24,Carbonic Anhydrase VIII,767,P35219,767
MVK_11391.69,MVK,4598,Q03426,4598
FAK2.FERM_11395.5,FAK2:FERM,2185,Q14289,2185
DNAI1_11396.39,DNAI1,27019,Q9UI46,27019
RN146_11401.181,RN146,81847,Q9NTX7,81847
KMT2C_11402.17,KMT2C,58508,Q8NEZ4,58508
