Protein,Adjusted_linear_model,linear_modeling_pvalue,adjusted_pvalues,fold_change,coefficient,Target,Entrez,Uniprot
ASGR1_5452.71,~ Study_group + Prednisone + Aspirin,0.001550874,0.999705358,0.712025017,1023.283046,ASGR1,432,P07306
AT1B3_8990.42,~ Study_group + Age + Prednisone,0.004122578,0.999705358,0.865038905,4109.021576,AT1B3,483,P54709
ATF6A_11277.23,~ Study_group + Prednisone + Aspirin,0.004783358,0.999705358,0.823244372,5308.349753,ATF6A,22926,P18850
ATL1_6575.79,~ Study_group + Prednisone + Aspirin,0.003812758,0.999705358,0.300162391,194.7217561,ATL1,92949,Q8N6G6
ATS3_8845.2,~ Study_group + Prednisone,0.00100045,0.999705358,0.267862738,179.4762654,ATS3,9508,O15072
AXIN2_8429.16,~ Study_group + Age,0.00268661,0.999705358,0.549947794,429.0185742,AXIN2,8313,Q9Y2T1
B3GN4_16585.16,~ Study_group + Age,0.005645935,0.999705358,0.232236026,54.66159616,B3GN4,79369,Q9C0J1
BAMBI.ECD_8811.24,~ Study_group + Age + Aspirin,0.005201559,0.999705358,0.2385025,123.0930218,BAMBI:ECD,25805,Q13145
BGAT_9253.52,~ Study_group,0.002586438,0.999705358,1.360890181,8338.246537,BGAT,28,P16442
BICD1_25118.45,~ Study_group + Prednisone,0.005850216,0.999705358,0.415653248,870.9997531,BICD1,636,Q96G01
BINCA_7778.104,~ Study_group,0.000499176,0.999705358,0.219048255,91.0297037,BINCA,84270,Q96LW7
BN3D2_21115.48,~ Study_group + Age + Prednisone + Aspirin,0.009130198,0.999705358,0.874772718,10807.02283,BN3D2,144233,Q7Z5W3
BSP_14023.84,~ Study_group + Prednisone,0.007527819,0.999705358,1.698169736,4060.042185,BSP,3381,P21815
C1GLT.C1GLC.Complex_21734.36,~ Study_group + Age,0.005624093,0.999705358,0.270126209,66.94982889,C1GLT/C1GLC Complex,56913|29071,Q9NS00|Q96EU7
C1RL1_9348.1,~ Study_group,0.003431977,0.999705358,0.178177337,65.70577778,C1RL1,51279,Q9NZP8
C1s_20203.45,~ Study_group + Age + Prednisone,0.006451797,0.999705358,0.581723935,5496.51894,C1s,716,P09871
C2_3186.2,~ Study_group + Age + Prednisone + Aspirin,0.000186227,0.999705358,0.839712186,4940.292944,C2,717,P06681
C20orf77_19126.4,~ Study_group + Prednisone,0.008116447,0.999705358,0.477966773,713.5311728,C20orf77,58490,Q9NQG5
C3adesArg_2755.8,~ Study_group + Prednisone + Aspirin,0.000527515,0.999705358,0.432703198,36956.87413,C3adesArg,718,P01024
C4b.binding.protein.alpha.chain_9449.150,~ Study_group + Prednisone + Aspirin,0.002174057,0.999705358,0.913693897,8482.946087,C4b-binding protein alpha chain,722,P04003
C5_2381.52,~ Study_group + Age + Prednisone,0.002970105,0.999705358,0.603300856,11801.99857,C5,727,P01031
C6_4127.75,~ Study_group + Prednisone + Methotrexate,0.008364507,0.999705358,0.424111458,16489.43747,C6,729,P13671
CA226_7989.5,~ Study_group + Age,0.000118292,0.855488193,1.228803578,3436.979121,CA226,400793,A1L170
CASC4_10613.33,~ Study_group + Age + Prednisone + Aspirin,0.003429428,0.999705358,0.671807613,804.3711229,CASC4,113201,Q6P4E1
CASC4_8838.10,~ Study_group + Prednisone,0.004220849,0.999705358,0.37067905,255.9725062,CASC4,113201,Q6P4E1
CC167_7797.11,~ Study_group,0.004554154,0.999705358,0.549876969,275.3684259,CC167,154467,Q9P0B6
CD39_3182.38,~ Study_group + Prednisone + Methotrexate + Aspirin,0.007077489,0.999705358,0.645666823,841.1944472,CD39,953,P49961
CEA16_24299.1,~ Study_group + Age + Prednisone,0.003123012,0.999705358,0.300169234,327.4215453,CEA16,388551,Q2WEN9
CENPV_8817.29,~ Study_group + Prednisone,0.001795509,0.999705358,0.413283777,98.18160494,CENPV,201161,Q7Z7K6
CHKB_13117.232,~ Study_group + Prednisone + Methotrexate,0.003910568,0.999705358,1.49533872,3214.785927,CHKB,1120,Q9Y259
CHSTC_6626.81,~ Study_group,0.001343067,0.999705358,0.314877693,419.7846296,CHSTC,55501,Q9NRB3
CLC10_10955.4,~ Study_group + Prednisone + Aspirin,0.00607429,0.999705358,0.265593589,70.17684515,CLC10,10462,Q8IUN9
CLGN_10600.24,~ Study_group + Age,0.001898612,0.999705358,0.708004648,2631.240527,CLGN,1047,O14967
Clusterin_4542.24,~ Study_group + Prednisone + Aspirin,0.004854401,0.999705358,0.772908025,9754.067548,Clusterin,1191,P10909
Coagulation.Factor.IX_4876.32,~ Study_group + Prednisone + Aspirin,0.003113316,0.999705358,0.759001645,9805.113199,Coagulation Factor IX,2158,P00740
COFA1_8974.172,~ Study_group,0.007240759,0.999705358,0.373237096,1635.892556,COFA1,1306,P39059
COLL1_9526.3,~ Study_group + Age + Prednisone + Aspirin,2.77E-05,0.200999067,0.792924133,406.1892847,COLL1,340204,A2RUU4
Collagen.alpha.3.VI..BPTI.Kunitz.inhibitor_11196.31,~ Study_group + Age + Prednisone,0.00118325,0.999705358,0.62293854,1342.838538,Collagen alpha-3(VI):BPTI/Kunitz inhibitor,1293,P12111
complement.factor.H.related.5_16055.3,~ Study_group + Prednisone,0.003187646,0.999705358,0.712794237,24719.88281,complement factor H-related 5,81494,Q9BXR6
complement.factor.H.related.5_3666.17,~ Study_group + Prednisone,0.002768267,0.999705358,0.713017436,21269.56598,complement factor H-related 5,81494,Q9BXR6
Complement.receptor.type.1_19556.12,~ Study_group,0.008335186,0.999705358,0.452962881,2588.519333,Complement receptor type 1,1378,P17927
COSA1_10702.1,~ Study_group + Age + Prednisone,0.001161031,0.999705358,0.698215932,2571.60916,COSA1,340267,Q2UY09
CRBL2_22115.2,~ Study_group,0.001124263,0.999705358,0.15666555,44.15562963,CRBL2,1389,O60519
CSDC2_12754.14,~ Study_group + Prednisone + Aspirin,0.003921008,0.999705358,0.458045979,388.7545717,CSDC2,27254,Q9Y534
CT451_24667.27,~ Study_group + Prednisone,0.004680327,0.999705358,0.227582667,102.9165062,CT451,541466,Q5HYN5
CXCL16..soluble_2436.49,~ Study_group + Prednisone + Methotrexate + Aspirin,0.001959518,0.999705358,0.817973653,2676.104049,"CXCL16, soluble",58191,Q9H2A7
DB135_6411.58,~ Study_group + Prednisone + Methotrexate + Aspirin,0.001225165,0.999705358,0.401182882,259.2068054,DB135,613209,Q30KP9
Dermokine_8535.102,~ Study_group + Prednisone + Methotrexate + Aspirin,0.000258014,0.999705358,0.420102384,425.5235081,Dermokine,93099,Q6E0U4
DJC11_9783.75,~ Study_group + Age,0.000938553,0.999705358,0.27718353,163.5378491,DJC11,55735,Q9NVH1
DNJB9_11214.40,~ Study_group + Prednisone + Aspirin,0.009723566,0.999705358,1.245633429,7885.53553,DNJB9,4189,Q9UBS3
DNJC4.C.term_8653.132,~ Study_group + Prednisone,0.004243503,0.999705358,0.510005907,349.0735123,DNJC4:C-term,3338,Q9NNZ3
DPEP2_8327.26,~ Study_group,0.006685134,0.999705358,0.497005429,3009.957778,DPEP2,64174,Q9H4A9
DTX1_11430.49,~ Study_group,0.009324246,0.999705358,0.331430096,593.4564259,DTX1,1840,Q86Y01
DUS26_8967.6,~ Study_group + Prednisone + Methotrexate + Aspirin,0.002783406,0.999705358,0.361529627,908.3887514,DUS26,78986,Q9BV47
ELL_11459.81,~ Study_group,0.00640662,0.999705358,0.600018295,572.3346481,ELL,8178,P55199
ENASE_16781.2,~ Study_group,0.006145362,0.999705358,0.262607693,86.00324074,ENASE,64772,Q8NFI3
ERP29_4983.6,~ Study_group,0.000905915,0.999705358,0.370469929,6408.968722,ERP29,10961,P30040
ES1_5981.6,~ Study_group + Smoking,0.00949048,0.999705358,0.094781366,26.88342679,ES1,8209,P30042
ESRP1_8828.21,~ Study_group + Prednisone + Methotrexate,0.003558007,0.999705358,0.243680054,152.2990458,ESRP1,54845,Q6NXG1
EXOS1_7930.3,~ Study_group + Prednisone + Methotrexate + Aspirin,0.007736487,0.999705358,0.234453339,82.90145192,EXOS1,51013,Q9Y3B2
F19A4_6511.17,~ Study_group + Prednisone,0.006569689,0.999705358,0.234122893,110.7118889,F19A4,151647,Q96LR4
F204A_22140.6,~ Study_group,0.007070007,0.999705358,0.489254609,348.0389815,F204A,63877,Q9H8W3
FABPA_9851.9,~ Study_group + Prednisone + Aspirin,0.00447628,0.999705358,0.972100987,12539.51578,FABPA,2167,P15090
Factor.B_4129.72,~ Study_group + Prednisone,0.000793862,0.999705358,0.663949988,13503.14084,Factor B,629,P00751
Factor.I_2567.5,~ Study_group + Age + Prednisone,0.002550554,0.999705358,0.411526918,16717.81207,Factor I,3426,P05156
FCAR_4987.17,~ Study_group + Prednisone + Aspirin,0.006657889,0.999705358,0.387494902,136.0585922,FCAR,2204,P24071
FCG3B_3311.27,~ Study_group,0.004009466,0.999705358,0.476537453,1140.535259,FCG3B,2215,O75015
FCN2_13717.15,~ Study_group + Prednisone + Methotrexate + Aspirin,0.00301674,0.999705358,0.912327908,10658.6664,FCN2,2220,Q15485
FGL1_5581.28,~ Study_group + Age + Prednisone + Aspirin,4.09E-06,0.029767658,1.130516248,53105.71583,FGL1,2267,Q08830
FHR1_5982.50,~ Study_group + Age + Prednisone,0.004988925,0.999705358,0.7468447,4607.274281,FHR1,3078,Q03591
fibulin.1_10819.108,~ Study_group + Age,0.009541065,0.999705358,0.411865355,1314.279142,fibulin 1,2192,P23142
FMR1_7721.81,~ Study_group + Prednisone,0.006682222,0.999705358,0.904070271,2440.684617,FMR1,2332,Q06787
FOLR1_17455.42,~ Study_group + Age + Prednisone,0.001165265,0.999705358,0.643960504,352.8466439,FOLR1,2348,P15328
FR1OP_21793.4,~ Study_group + Age + Aspirin,0.005211764,0.999705358,0.742329647,2189.168282,FR1OP,11116,O95684
Frizzled.5_20066.19,~ Study_group + Age,0.000866533,0.999705358,0.227249119,43.86902963,Frizzled-5,7855,Q13467
FSTL1_13112.179,~ Study_group + Age + Prednisone,0.006986263,0.999705358,0.664681634,7030.5551,FSTL1,11167,Q12841
FTMT_8048.9,~ Study_group + Prednisone + Aspirin,0.001106726,0.999705358,1.369127946,5823.008329,FTMT,94033,Q8N4E7
G.CSF.R_2719.3,~ Study_group + Prednisone,0.001505986,0.999705358,0.207139256,153.3840926,G-CSF-R,1441,Q99062
G6B.CD_8659.68,~ Study_group,0.002649964,0.999705358,0.120898475,33.97961111,G6B:CD,80739,O95866
G6PE_7161.25,~ Study_group,7.86E-05,0.569589401,0.606830775,1626.53763,G6PE,9563,O95479
Galectin.7_9400.40,~ Study_group + Prednisone,0.008174238,0.999705358,0.394085986,625.6092654,Galectin-7,3963,P47929
Gastrin.releasing.peptide_8400.74,~ Study_group,0.001602512,0.999705358,0.323417823,133.4101111,Gastrin-releasing peptide,2922,P07492
GBRAP_22966.20,~ Study_group + Age + Prednisone + Aspirin,0.002811194,0.999705358,0.514945742,3079.498642,GBRAP,11337,O95166
GEM_12817.1,~ Study_group + Prednisone,0.00238954,0.999705358,0.730953991,1280.183111,GEM,2669,P55040
GIP_16292.288,~ Study_group + Age,0.009484591,0.999705358,0.625363699,685.4066204,GIP,2695,P09681
GOLM1_17456.53,~ Study_group + Age + Prednisone,0.004509088,0.999705358,1.114069534,2590.100229,GOLM1,51280,Q8NBJ4
GOLM1_8983.7,~ Study_group + Age + Prednisone + Aspirin,0.003646826,0.999705358,0.987326643,1247.483738,GOLM1,51280,Q8NBJ4
GON1_5627.53,~ Study_group + Age,0.005457854,0.999705358,0.484519995,418.6457933,GON1,2796,P01148
Gro.g_2986.49,~ Study_group + Prednisone,0.004491837,0.999705358,0.101680539,4101.555228,Gro-g,2921,P19876
Haptoglobin..Mixed.Type_3054.3,~ Study_group + Age + Prednisone,8.82E-06,0.064155338,0.876909853,36687.31472,"Haptoglobin, Mixed Type",3240,P00738
HERC5_12934.1,~ Study_group + Prednisone + Methotrexate + Aspirin,1.37E-05,0.099656768,0.513966199,419.442354,HERC5,51191,Q9UII4
HLA.G_19636.23,~ Study_group + Prednisone + Methotrexate + Aspirin,0.003854654,0.999705358,0.71036636,4512.767281,HLA-G,3135,P17693
HNF4A_10041.3,~ Study_group,0.004450623,0.999705358,0.534545215,6788.037963,HNF4A,3172,P41235
HOME1_22980.37,~ Study_group,0.000817338,0.999705358,0.339098974,55.263,HOME1,9456,Q86YM7
HPT_7905.30,~ Study_group + Age + Prednisone + Aspirin,3.17E-05,0.230373945,0.639612707,43008.88059,HPT,3240,P00738
HTRA1_15594.47,~ Study_group + Age + Prednisone + Aspirin,1.35E-05,0.098430076,1.123361824,16161.39854,HTRA1,5654,Q92743
HVEM_11545.9,~ Study_group + Prednisone,0.002657567,0.999705358,0.481597512,870.583284,HVEM,8764,Q92956
I.309_13687.5,~ Study_group + Age + Prednisone + Aspirin,0.002842622,0.999705358,0.390477224,245.6581467,I-309,6346,P22362
IGF.II.receptor_3676.15,~ Study_group + Age + Prednisone + Aspirin,0.004945818,0.999705358,0.948977432,4441.634609,IGF-II receptor,3482,P11717
IGF.II.Mature_15295.81,~ Study_group + Prednisone + Methotrexate,0.002995648,0.999705358,0.820001216,13793.07515,IGF-II:Mature,3481,P01344
IgJ_15306.20,~ Study_group + Age + Sex,0.005651877,0.999705358,0.180680386,57.0567798,IgJ,3512,P01591
IL.12.Rb1_13706.12,~ Study_group + Age,0.000864796,0.999705358,0.301012343,85.02802485,IL-12 Rb1,3594,P42701
IL.18.Ra_14079.14,~ Study_group + Prednisone + Methotrexate,0.007197344,0.999705358,0.836505192,1179.987313,IL-18 Ra,8809,Q13478
IL.18.Ra_3446.7,~ Study_group + Prednisone,0.008452577,0.999705358,1.020910673,3293.807463,IL-18 Ra,8809,Q13478
IL.1F6_14150.7,~ Study_group + Prednisone + Aspirin,0.001973003,0.999705358,1.907543299,4049.596617,IL-1F6,27179,Q9UHA7
IL.5_11071.1,~ Study_group + Smoking,0.007699024,0.999705358,0.030982596,20.98005799,IL-5,3567,P05113
Inhibin.bB.chain_13676.46,~ Study_group + Age + Prednisone + Aspirin,0.001276955,0.999705358,1.147706563,7208.392591,Inhibin bB chain,3625,P09529
IRF8_22065.32,~ Study_group + Prednisone + Aspirin,0.007306628,0.999705358,0.389687625,384.9098991,IRF8,3394,Q02556
ITIH3_7145.1,~ Study_group + Age + Prednisone,0.000506477,0.999705358,0.640590565,1278.952253,ITIH3,3699,Q06033
ITM2A_7765.15,~ Study_group + Prednisone,0.007475449,0.999705358,0.419016079,442.737321,ITM2A,9452,O43736
IZUM4_20549.1,~ Study_group + Prednisone + Aspirin,0.003380856,0.999705358,0.911464829,420.5730973,IZUM4,113177,Q1ZYL8
K1467.N.term_7892.132,~ Study_group + Smoking,0.008869536,0.999705358,0.157727554,111.3936777,K1467:N-term,57613,A2RU67
KCTD1_23308.31,~ Study_group + Age,0.003887263,0.999705358,0.184653468,48.62765988,KCTD1,284252,Q719H9
L.plastin_9749.190,~ Study_group + Prednisone,0.007879645,0.999705358,0.865572337,4018.834802,L-plastin,3936,P13796
LAIR1_11284.24,~ Study_group + Age,0.003679146,0.999705358,0.131579373,38.44011495,LAIR1,3903,Q6GTX8
Lectin..mannose.binding.2_9468.8,~ Study_group + Age + Prednisone + Aspirin,0.007148379,0.999705358,0.552008223,1586.81342,"Lectin, mannose-binding 2",10960,Q12907
LEG9_9197.4,~ Study_group + Age + Prednisone,0.002406656,0.999705358,0.476794241,317.0499891,LEG9,3965,O00182
LFA.1.beta.2_12750.9,~ Study_group + Prednisone + Aspirin,0.008533415,0.999705358,0.309608836,217.0790461,LFA-1 beta-2,3689,P05107
LG3BP_5000.52,~ Study_group + Age,0.007283576,0.999705358,0.548043369,3115.25327,LG3BP,3959,Q08380
LIGHT_5988.49,~ Study_group + Prednisone,0.002278491,0.999705358,0.426647456,267.5799877,LIGHT,8740,O43557
LPPL_11094.104,~ Study_group + Prednisone + Aspirin,0.002458805,0.999705358,0.315437179,191.1469251,LPPL,1178,Q05315
LRA25_24638.3,~ Study_group + Prednisone + Aspirin,0.000750582,0.999705358,0.61059516,771.9055382,LRA25,23625,Q8N5H3
LRFN5_6587.6,~ Study_group + Prednisone,0.003566216,0.999705358,0.61401641,516.636537,LRFN5,145581,Q96NI6
LRIG1_18831.6,~ Study_group + Age + Sex + Prednisone + Aspirin,0.000589471,0.999705358,0.642654002,430.7305065,LRIG1,26018,Q96JA1
LRP4_19558.10,~ Study_group,0.007854396,0.999705358,0.372567872,519.4062222,LRP4,4038,O75096
LRRC4_21690.31,~ Study_group + Age + Prednisone,0.00762554,0.999705358,0.614829385,2548.511275,LRRC4,64101,Q9HBW1
LRRT4.ECD_6572.10,~ Study_group + Age,0.000113224,0.819173888,0.353663434,135.7706582,LRRT4:ECD,80059,Q86VH4
Macrophage.scavenger.receptor.ECD_15533.97,~ Study_group + Age + Prednisone,0.004760141,0.999705358,1.037813601,5858.143723,Macrophage scavenger receptor:ECD,4481,P21757
MAK16_21864.20,~ Study_group + Prednisone,0.003077894,0.999705358,0.840845305,6558.613889,MAK16,84549,Q9BXY0
METRL_21705.33,~ Study_group + Age,0.005570919,0.999705358,0.227235487,176.8853873,METRL,284207,Q641Q3
MGP_6520.87,~ Study_group + Prednisone,0.004614025,0.999705358,0.759704755,2764.153605,MGP,4256,P08493
MIA_2687.2,~ Study_group + Age,0.007797728,0.999705358,0.299948285,419.1346185,MIA,8190,Q16674
MIG_11593.21,~ Study_group + Age + Prednisone,0.007132328,0.999705358,0.226354924,79.48367119,MIG,4283,Q07325
MIP.1a_3040.59,~ Study_group + Age,0.0092062,0.999705358,0.405633123,193.6623442,MIP-1a,6348,P10147
MOL1B_12426.19,~ Study_group,0.00077866,0.999705358,0.292378612,1111.492222,MOL1B,55233,Q9H8S9
MPIF.1_2913.1,~ Study_group + Age + Prednisone,0.005812519,0.999705358,0.635287324,504.1261231,MPIF-1,6368,P55773
MRAP_7895.108,~ Study_group + Age + Prednisone + Aspirin,0.008823053,0.999705358,0.261766446,144.8149258,MRAP,56246,Q8TCY5
MYB_11618.83,~ Study_group + Age,0.000615242,0.999705358,0.24471091,64.4673703,MYB,4602,P10242
MZF1_14662.6,~ Study_group + Age + Prednisone + Aspirin,0.002821001,0.999705358,0.740360053,1273.776123,MZF1,7593,P28698
N.terminal.pro.BNP_7655.11,~ Study_group + Age,0.009256362,0.999705358,1.449504194,2878.709389,N-terminal pro-BNP,4879,P16860
NAB1_13933.276,~ Study_group + Prednisone + Aspirin,0.00141007,0.999705358,1.154282898,2205.966463,NAB1,4664,Q13506
Neuropilin.2_15387.44,~ Study_group + Age + Prednisone,0.005407725,0.999705358,0.756966663,9874.136346,Neuropilin-2,8828,O60462
NPPL3_9954.2,~ Study_group + Prednisone + Aspirin,0.007949264,0.999705358,0.634561534,701.5205264,NPPL3,23117,Q92617
NRL_22516.30,~ Study_group + Prednisone,0.003727008,0.999705358,0.391762557,303.4286852,NRL,4901,P54845
NRN1L_20159.1,~ Study_group + Age,0.003385763,0.999705358,0.454354029,258.0027835,NRN1L,123904,Q496H8
OAF_6414.8,~ Study_group + Age + Prednisone + Aspirin,0.002246472,0.999705358,1.014486696,4524.284816,OAF,220323,Q86UD1
OTUD5_12480.9,~ Study_group + Age + Prednisone,0.009166524,0.999705358,0.708661034,1121.184766,OTUD5,55593,Q96G74
p130_13565.2,~ Study_group + Age + Prednisone + Aspirin,4.74E-05,0.34398384,0.72676638,848.9231076,p130,5934,Q08999
P4R3A_10866.60,~ Study_group + Age,0.00836629,0.999705358,0.397756311,1233.433938,P4R3A,55671,Q6IN85
PACAP_16322.10,~ Study_group + Age,0.008169625,0.999705358,0.590353564,3544.98715,PACAP,51237,Q8WU39
PACR_22566.53,~ Study_group + Prednisone,0.004926429,0.999705358,0.752091169,1029.84137,PACR,117,P41586
PAI.2_21676.17,~ Study_group,0.00238963,0.999705358,0.538025659,1027.330907,PAI-2,5055,P05120
PARC_3044.3,~ Study_group + Age,0.000110881,0.802333802,0.575014524,27911.48439,PARC,6362,P55774
PCD17_21395.23,~ Study_group + Age + Sex,0.00845343,0.999705358,0.408709322,422.2958899,PCD17,27253,O14917
PCDB1_9941.70,~ Study_group + Prednisone + Methotrexate + Aspirin,0.003021709,0.999705358,0.428624147,389.7559211,PCDB1,29930,Q9Y5F3
PCDGK_7859.21,~ Study_group + Prednisone + Methotrexate + Aspirin,0.003828296,0.999705358,1.464653192,2301.591587,PCDGK,5098,Q9UN70
PCOC2_6081.52,~ Study_group + Prednisone + Methotrexate + Aspirin,0.0077243,0.999705358,0.726270639,6404.92317,PCOC2,26577,Q9UKZ9
PDZD7_12391.27,~ Study_group,0.000543368,0.999705358,0.254368365,76.77883333,PDZD7,79955,Q9H5P4
PEX14.C.term_8645.257,~ Study_group + Prednisone,0.004614424,0.999705358,0.393902068,311.0713395,PEX14:C-term,5195,O75381
PIAS4_10342.55,~ Study_group + Age + Prednisone + Aspirin,0.004104051,0.999705358,0.258491803,82.51890883,PIAS4,51588,Q8N2W9
PKDCC_8664.36,~ Study_group + Prednisone,0.00747422,0.999705358,0.626273821,920.423216,PKDCC,91461,Q504Y2
PLXB2_10855.55,~ Study_group + Age,0.005698835,0.999705358,0.563796262,1373.483904,PLXB2,23654,O15031
PPIC_18819.21,~ Study_group + Age,0.001221531,0.999705358,0.56677137,3181.321937,PPIC,5480,P45877
PPM1M_22862.44,~ Study_group,0.004533643,0.999705358,0.128133154,176.1767222,PPM1M,132160,Q96MI6
Pregnancy.zone.protein_6580.29,~ Study_group + Sex + Prednisone + Methotrexate + Aspirin,0.000980788,0.999705358,1.521119192,22332.66903,Pregnancy zone protein,5858,P20742
PRL_2585.2,~ Study_group,0.001372189,0.999705358,1.06975183,5352.412407,PRL,5617,P01236
PSB10_21861.8,~ Study_group + Prednisone + Aspirin,0.007585861,0.999705358,0.852945253,5360.61848,PSB10,5699,P40306
PTK7_9525.1,~ Study_group + Age,0.005449767,0.999705358,0.293396166,428.8211762,PTK7,5754,Q13308
PTN_3045.72,~ Study_group + Age,0.002669663,0.999705358,0.602882655,4459.683164,PTN,5764,P21246
PYY_3727.35,~ Study_group,0.007555046,0.999705358,0.417307591,257.2422222,PYY,5697,P10082
Rb_5024.67,~ Study_group + Prednisone,0.00523407,0.999705358,0.550181612,543.0621605,Rb,5925,P06400
RELT_14112.40,~ Study_group + Prednisone + Aspirin,0.004514911,0.999705358,0.375307579,176.6889247,RELT,84957,Q969Z4
Rho.GDIa_6454.38,~ Study_group + Prednisone,0.004856062,0.999705358,0.259177063,181.3903457,Rho-GDIa,396,P52565
RM52_7123.25,~ Study_group + Prednisone + Aspirin,0.002224321,0.999705358,0.232870491,248.0801462,RM52,122704,Q86TS9
RNAS4_5644.60,~ Study_group + Age + Prednisone + Aspirin,0.001015864,0.999705358,0.857196631,7093.755246,RNAS4,6038,P34096
RNase.1_7211.2,~ Study_group + Age,0.005795627,0.999705358,0.728930432,707.1767871,RNase 1,6035,P07998
RNT2_16913.8,~ Study_group + Age,0.00934197,0.999705358,0.262349493,216.5822682,RNT2,8635,O00584
ROR2_7861.9,~ Study_group + Age,0.002031486,0.999705358,0.591516832,1050.046676,ROR2,4920,Q01974
RPAB2_20448.7,~ Study_group + Prednisone + Aspirin,0.000893389,0.999705358,0.217941282,79.46202955,RPAB2,5435,P61218
RPAIN_21219.7,~ Study_group + Age,0.006519924,0.999705358,0.212725064,73.24683352,RPAIN,84268,Q86UA6
RSPO1_6240.70,~ Study_group + Age + Prednisone,0.006408083,0.999705358,0.168452823,63.20184356,RSPO1,284654,Q2MKA7
S41A2_12511.83,~ Study_group + Prednisone,0.002582779,0.999705358,0.473841754,383.8417222,S41A2,84102,Q96JW4
S6A16_13056.18,~ Study_group,0.004627927,0.999705358,0.159124254,20.14325926,S6A16,28968,Q9GZN6
SAA_15515.2,~ Study_group + Prednisone + Aspirin,0.00039321,0.999705358,3.502342133,55083.30114,SAA,6288,P0DJI8
SARP.1_7751.121,~ Study_group + Age + Prednisone + Aspirin,0.004831126,0.999705358,0.577156601,727.1038111,SARP-1,6423,Q96HF1
sCD14_16914.104,~ Study_group + Prednisone + Aspirin,0.006548837,0.999705358,0.932800847,9811.076697,sCD14,929,P08571
SERF1_7842.52,~ Study_group + Prednisone,0.004666193,0.999705358,0.199787292,152.5528889,SERF1,728492,O75920
SHC4_11692.21,~ Study_group + Prednisone + Aspirin,0.008773902,0.999705358,0.190154715,99.13761111,SHC4,399694,Q6S5L8
sirtuin_21833.6,~ Study_group + Prednisone,0.009966968,0.999705358,0.525705347,1250.94358,sirtuin,51548,Q8N6T7
sL.Selectin_4831.4,~ Study_group + Prednisone,0.006777322,0.999705358,0.495578367,2264.821272,sL-Selectin,6402,P14151
SLAF7_7882.31,~ Study_group + Prednisone + Aspirin,0.009899301,0.999705358,0.682571286,2491.361554,SLAF7,57823,Q9NQ25
SMDF_15446.25,~ Study_group,0.00846631,0.999705358,0.255540281,716.2486852,SMDF,3084,Q02297
SMR3A_7838.27,~ Study_group + Prednisone,0.005929801,0.999705358,0.196271888,110.9301728,SMR3A,26952,Q99954
Soggy.1_3644.5,~ Study_group + Prednisone + Aspirin,0.007122546,0.999705358,0.637114411,2168.635732,Soggy-1,27120,Q9UK85
SPA11_9002.36,~ Study_group,0.004578572,0.999705358,0.552735832,6574.318778,SPA11,256394,Q86U17
