"Protein","Nominal_pvalue","formula","fold_change","adjusted_pvalue","Target","Entrez"
"BRD2_10074.128",0.48554072964712," ~ Study_group + (1|maskID)",0.0240814118027876,0.999937631057378,"BRD2","6046"
"ACBD6_10075.75",0.94783473799685," ~ Study_group + (1|maskID)",-0.0139785389967165,0.999937631057378,"ACBD6","84320"
"AP4M1_10076.1",0.117903908124425," ~ Study_group + (1|maskID)",0.107384547626127,0.999937631057378,"AP4M1","9179"
"BAG3_10078.5",0.347301976076752," ~ Study_group + (1|maskID)",0.189579352994455,0.999937631057378,"BAG3","9531"
"EI2BA_10080.9",0.961827681526818," ~ Study_group + (1|maskID)",-0.0084239430829024,0.999937631057378,"EI2BA","1967"
"SATB2_10081.17",0.431088622600821," ~ Study_group + (1|maskID)",-0.0855741188358368,0.999937631057378,"SATB2","23314"
"NFL_10082.251",0.308061559913716," ~ Study_group + (1|maskID)",0.0820709146488289,0.999937631057378,"NFL","4747"
"STAR_10085.25",0.422240897288528," ~ Study_group + (1|maskID)",-0.120022106308029,0.999937631057378,"STAR","6770"
"CBS_10086.39",0.419413641469493," ~ Study_group + (1|maskID) + Methotrexate",-0.134075173532228,0.999937631057378,"CBS","102724560"
"Alpha.crystallin.A.chain_10087.10",0.395086348866181," ~ Study_group + (1|maskID)",0.0802407629614132,0.999937631057378,"Alpha crystallin A chain","102724652"
"APT_10088.37",0.826886780571694," ~ Study_group + (1|maskID)",-0.0486409647832468,0.999937631057378,"APT","353"
"ASML_10089.7",0.84647234225966," ~ Study_group + (1|maskID)",-0.0215026851643332,0.999937631057378,"ASML","8623"
"CHIP_10336.3",0.0867111590584681," ~ Study_group + (1|maskID)",-0.240384400486692,0.999937631057378,"CHIP","10273"
"NSE_10339.48",0.516555121671472," ~ Study_group + (1|maskID)",0.0411701133573402,0.999937631057378,"NSE","2026"
"PIAS4_10342.55",0.364839683971856," ~ Study_group + (1|maskID) + Age",-0.0529085087948893,0.999937631057378,"PIAS4","51588"
"IL.10.Ra_10344.334",0.458325239130446," ~ Study_group + (1|maskID)",-0.065706830511119,0.999937631057378,"IL-10 Ra","3587"
"STAT3_10346.5",0.863409020265228," ~ Study_group + (1|maskID)",-0.0209992359041793,0.999937631057378,"STAT3","6774"
"IRF1_10351.51",0.312543563456353," ~ Study_group + (1|maskID) + Age + Prednisone",-0.152962945135193,0.999937631057378,"IRF1","3659"
"STAT3_10354.57",0.74519287288539," ~ Study_group + (1|maskID)",-0.0405444069994455,0.999937631057378,"STAT3","6774"
"c.Jun_10356.21",0.888226790055477," ~ Study_group + (1|maskID)",-0.0100418445409873,0.999937631057378,"c-Jun","3725"
"OAS1_10361.25",0.252537084990873," ~ Study_group + (1|maskID)",0.043273576290937,0.999937631057378,"OAS1","4938"
"c.Myc_10362.35",0.737247803308924," ~ Study_group + (1|maskID) + Prednisone",0.0183862638087728,0.999937631057378,"c-Myc","4609"
"SMAD3_10363.13",0.984093823636919," ~ Study_group + (1|maskID)",0.00175963472816721,0.999937631057378,"SMAD3","4088"
"SMAD2_10364.6",0.929079012145248," ~ Study_group + (1|maskID)",0.012417380840522,0.999937631057378,"SMAD2","4087"
"IL.23_10365.132",0.0429829978683945," ~ Study_group + (1|maskID)",-0.245442115247902,0.999937631057378,"IL-23","3593|51561"
"PDGFRA_10366.11",0.432493309439487," ~ Study_group + (1|maskID)",0.0681196388608812,0.999937631057378,"PDGFRA","5156"
"IL.12_10367.62",0.378839606418352," ~ Study_group + (1|maskID)",-0.107522304406689,0.999937631057378,"IL-12","3592|3593"
"STAT1_10370.21",0.907220351883345," ~ Study_group + (1|maskID)",0.0207113211942068,0.999937631057378,"STAT1","6772"
"STAT6_10372.18",0.885483827370974," ~ Study_group + (1|maskID)",-0.0154657186537526,0.999937631057378,"STAT6","6778"
"ANGL3_10382.1",0.40325599284307," ~ Study_group + (1|maskID)",0.0564313188965962,0.999937631057378,"ANGL3","27329"
"ZNRF3_10390.21",0.363708031553614," ~ Study_group + (1|maskID)",-0.0767517642288958,0.999937631057378,"ZNRF3","84133"
"ANGL3_10391.1",0.721947917449835," ~ Study_group + (1|maskID)",0.0300317579432021,0.999937631057378,"ANGL3","27329"
"Mcl.1_10396.6",0.166618736852807," ~ Study_group + (1|maskID)",-0.269418760959457,0.999937631057378,"Mcl-1","4170"
"ANKR1_10398.110",0.407380532535515," ~ Study_group + (1|maskID)",-0.0286739367119809,0.999937631057378,"ANKR1","27063"
"STX12_10418.36",0.334343859901859," ~ Study_group + (1|maskID)",-0.0523205714665134,0.999937631057378,"STX12","23673"
"SCAR5_10419.1",0.396515840746398," ~ Study_group + (1|maskID) + Age",0.128142814709509,0.999937631057378,"SCAR5","286133"
"FAIM1_10420.30",0.0214206352734459," ~ Study_group + (1|maskID)",-0.142986944207467,0.999937631057378,"FAIM1","55179"
"NPDC1_10424.31",0.691677581400682," ~ Study_group + (1|maskID)",0.0223522373580137,0.999937631057378,"NPDC1","56654"
"B4GT5_10425.3",0.441521247688217," ~ Study_group + (1|maskID)",-0.0302876472132021,0.999937631057378,"B4GT5","9334"
"GOSR2_10426.21",0.812652755793051," ~ Study_group + (1|maskID)",-0.0442335281825481,0.999937631057378,"GOSR2","9570"
"KI2S2_10428.1",0.261972092808037," ~ Study_group + (1|maskID)",0.140471281849182,0.999937631057378,"KI2S2","100132285"
"X4F2.CD_10430.31",0.244009053942451," ~ Study_group + (1|maskID)",-0.050311871864833,0.999937631057378,"4F2:CD","6520"
"K1644_10432.3",0.293566954053955," ~ Study_group + (1|maskID)",0.0227562124061719,0.999937631057378,"K1644","85352"
"ASPG_10435.2",0.871011346059704," ~ Study_group + (1|maskID)",0.0174377103813463,0.999937631057378,"ASPG","175"
"CSF2R_10438.19",0.18069299893019," ~ Study_group + (1|maskID)",-0.0956283477240163,0.999937631057378,"CSF2R","1438"
"Alpha.amylase.2B_10439.57",0.795252718694444," ~ Study_group + (1|maskID)",0.0239225249719598,0.999937631057378,"Alpha-amylase 2B","280"
"ACAM.ECD_10440.26",0.518702990830106," ~ Study_group + (1|maskID)",0.0423434914450232,0.999937631057378,"ACAM:ECD","79827"
"TM190_10442.1",0.731031957934882," ~ Study_group + (1|maskID)",0.0173220107894867,0.999937631057378,"TM190","147744"
"ApoM_10445.20",0.215109668625384," ~ Study_group + (1|maskID)",0.0597007217316093,0.999937631057378,"ApoM","55937"
"PABP3_10447.18",0.322051868085242," ~ Study_group + (1|maskID)",-0.328454601419308,0.999937631057378,"PABP3","5042"
"TMM46_10449.31",0.887515291550083," ~ Study_group + (1|maskID)",-0.011333732256805,0.999937631057378,"TMM46","387914"
"NUCB1_10451.11",0.636885239443748," ~ Study_group + (1|maskID)",-0.0645053829195805,0.999937631057378,"NUCB1","4924"
"CEA20_10453.7",0.740268770463523," ~ Study_group + (1|maskID)",0.0100438580461903,0.999937631057378,"CEA20","125931"
"DJC16_10454.99",0.940133907637808," ~ Study_group + (1|maskID)",-0.0185801588688876,0.999937631057378,"DJC16","23341"
"IL.31_10455.196",0.445787003268335," ~ Study_group + (1|maskID) + Methotrexate",-0.134021823019715,0.999937631057378,"IL-31","386653"
"IL.18.Rb_10457.3",0.342314427439867," ~ Study_group + (1|maskID)",-0.0290485166034459,0.999937631057378,"IL-18 Rb","8807"
"Chitotriosidase.1_10460.1",0.121695310189413," ~ Study_group + (1|maskID) + Age",-0.288012595375384,0.999937631057378,"Chitotriosidase-1","1118"
"INSL5_10462.14",0.381205943096828," ~ Study_group + (1|maskID)",-0.305985225414097,0.999937631057378,"INSL5","10022"
"Alkaline.phosphatase..intestine_10463.23",0.746410430773359," ~ Study_group + (1|maskID)",0.0146422931202301,0.999937631057378,"Alkaline phosphatase, intestine","248"
"ANTR1_10464.6",0.0926746253258984," ~ Study_group + (1|maskID)",0.190726323503899,0.999937631057378,"ANTR1","84168"
"TXD11.N.term_10470.34",0.136048464260975," ~ Study_group + (1|maskID) + Prednisone",-0.455146543762063,0.999937631057378,"TXD11:N-term","51061"
"HVEM_10472.53",0.940404961095202," ~ Study_group + (1|maskID)",-0.00708548856408938,0.999937631057378,"HVEM","8764"
"Trefoil.factor.2_10473.2",0.324284816631071," ~ Study_group + (1|maskID)",0.977300389245375,0.999937631057378,"Trefoil factor 2","7032"
"MMP.10_10479.18",0.141857297750822," ~ Study_group + (1|maskID)",0.274505011757176,0.999937631057378,"MMP-10","4319"
"CD59_10480.33",0.785540123262193," ~ Study_group + (1|maskID)",0.0230103897479519,0.999937631057378,"CD59","966"
"MAGE.4_10485.56",0.859647268179164," ~ Study_group + (1|maskID)",0.0526726913730071,0.999937631057378,"MAGE-4","4103"
"RPN1.CD_10490.3",0.464836468450378," ~ Study_group + (1|maskID)",-0.0457039074370088,0.999937631057378,"RPN1:CD","6184"
"CaCC_10496.11",0.191721957753546," ~ Study_group + (1|maskID)",-0.0692083470927695,0.999937631057378,"CaCC","1179"
"T106A_10499.1",0.413321455235476," ~ Study_group + (1|maskID)",-0.0458651057930446,0.999937631057378,"T106A","113277"
"RNF43_10505.12",0.364415010120682," ~ Study_group + (1|maskID)",-0.0642338425310856,0.999937631057378,"RNF43","54894"
"PGRC2_10506.53",0.364531766594528," ~ Study_group + (1|maskID) + Prednisone",-0.317843722073769,0.999937631057378,"PGRC2","10424"
"sperm.protein.10_10507.166",0.389198373030036," ~ Study_group + (1|maskID) + Methotrexate",-1.52049188229483,0.999937631057378,"sperm protein 10","56"
"SCIMP_10510.62",0.70272639858602," ~ Study_group + (1|maskID)",0.019335754188086,0.999937631057378,"SCIMP","388325"
"Collagen.alpha.3.VI..isoform.3_10511.10",0.831708229090007," ~ Study_group + (1|maskID) + Age",-0.103921613586144,0.999937631057378,"Collagen alpha-3(VI):isoform 3","1293"
"IL3RB.ECD_10512.13",0.683367981235417," ~ Study_group + (1|maskID)",-0.0102241976766822,0.999937631057378,"IL3RB:ECD","1439"
"CSEN_10513.13",0.765811095100923," ~ Study_group + (1|maskID)",-0.0197689363115387,0.999937631057378,"CSEN","30818"
"PGD2.synthase_10514.5",0.72130443316419," ~ Study_group + (1|maskID) + Age",-0.043896479653915,0.999937631057378,"PGD2 synthase","5730"
"MXRA8.ECD_10521.10",0.87200321713924," ~ Study_group + (1|maskID)",0.0103136709888919,0.999937631057378,"MXRA8:ECD","54587"
"DHX9_10527.22",0.736271871774027," ~ Study_group + (1|maskID)",-0.0157062018262683,0.999937631057378,"DHX9","1660"
"DPEP1_10528.2",0.431412261790328," ~ Study_group + (1|maskID) + Age + Sex",-0.237478490456606,0.999937631057378,"DPEP1","1800"
"PSB6_10530.8",0.424765470607705," ~ Study_group + (1|maskID)",-0.0190392991868202,0.999937631057378,"PSB6","5694"
"RASN_10531.18",0.928728472690454," ~ Study_group + (1|maskID)",-0.00729921214147307,0.999937631057378,"RASN","4893"
"PARP.BRCT.domain_10534.40",0.480355683413623," ~ Study_group + (1|maskID) + Methotrexate",-0.017678199796236,0.999937631057378,"PARP:BRCT domain","142"
"CX6A2_10535.25",0.129800325530377," ~ Study_group + (1|maskID)",-0.272341236040746,0.999937631057378,"CX6A2","1339"
"C99L2_10539.30",0.124937350062808," ~ Study_group + (1|maskID)",0.0602732168556685,0.999937631057378,"C99L2","83692"
"TSEAR_10546.2",0.015410364297116," ~ Study_group + (1|maskID)",-0.146989086739587,0.999937631057378,"TSEAR","54084"
"BMP.RIB_10550.37",0.55475121206165," ~ Study_group + (1|maskID)",-0.0214219838198531,0.999937631057378,"BMP RIB","658"
"LAT_10551.7",0.27842586385912," ~ Study_group + (1|maskID) + Age + Sex",-0.576401286511399,0.999937631057378,"LAT","27040"
"NKG2F_10552.88",0.977763887291565," ~ Study_group + (1|maskID)",0.00230684765892744,0.999937631057378,"NKG2F","8302"
"TOIP2_10553.8",0.0761712019556831," ~ Study_group + (1|maskID) + Methotrexate",-0.294470846700574,0.999937631057378,"TOIP2","163590"
"BGAL_10554.23",0.272180736802547," ~ Study_group + (1|maskID)",0.12351165129233,0.999937631057378,"BGAL","2720"
"TEX29_10557.6",0.212247221005648," ~ Study_group + (1|maskID)",-0.553709916594414,0.999937631057378,"TEX29","121793"
"PCDH9_10558.26",0.875122059895249," ~ Study_group + (1|maskID)",-0.0148956481571842,0.999937631057378,"PCDH9","5101"
"ITM2C.N.term_10560.1",0.038451012105425," ~ Study_group + (1|maskID)",-0.142416993027612,0.999937631057378,"ITM2C:N-term","81618"
"PGRP.I.alpha_10561.5",0.630836697521376," ~ Study_group + (1|maskID)",-0.0239167607187827,0.999937631057378,"PGRP-I-alpha","114771"
"NETO2_10562.42",0.962687526901591," ~ Study_group + (1|maskID)",-0.0104049941335507,0.999937631057378,"NETO2","81831"
"LYSM3_10563.13",0.416315665006191," ~ Study_group + (1|maskID)",0.0125293822823741,0.999937631057378,"LYSM3","116068"
"SLIK3_10565.19",0.516045433708269," ~ Study_group + (1|maskID) + Smoking",0.0727405391359928,0.999937631057378,"SLIK3","22865"
"MFAP2_10569.28",0.0334342734704185," ~ Study_group + (1|maskID)",-0.202274413711862,0.999937631057378,"MFAP2","4237"
"MGAT1_10571.14",0.578528700018665," ~ Study_group + (1|maskID) + Age + Sex",0.0840914351636298,0.999937631057378,"MGAT1","4245"
"CST8_10572.65",0.392432717775847," ~ Study_group + (1|maskID)",0.0704919988494122,0.999937631057378,"CST8","10047"
"b2.Microglobulin_10574.10",0.486648595120407," ~ Study_group + (1|maskID)",0.15423357320861,0.999937631057378,"b2-Microglobulin","567"
"PUF60_10575.31",0.826734935730643," ~ Study_group + (1|maskID)",0.0424501432393038,0.999937631057378,"PUF60","22827"
"PXDC2.ECD_10576.7",0.984586141001615," ~ Study_group + (1|maskID)",-0.00124741876014942,0.999937631057378,"PXDC2:ECD","84898"
"SFTA2_10580.14",0.11453767439789," ~ Study_group + (1|maskID)",-0.178016804542204,0.999937631057378,"SFTA2","389376"
"SG196_10582.36",0.0609442685992353," ~ Study_group + (1|maskID)",-0.111734708440751,0.999937631057378,"SG196","84197"
"TM108_10583.1",0.2980375418874," ~ Study_group + (1|maskID) + Sex",-0.725235252047447,0.999937631057378,"TM108","66000"
"NDUS4_10584.7",0.855388212873822," ~ Study_group + (1|maskID)",-0.0216857344890783,0.999937631057378,"NDUS4","4724"
"SIAT9_10588.39",0.574486292352909," ~ Study_group + (1|maskID)",-0.019576822527709,0.999937631057378,"SIAT9","8869"
"RET1L_10589.7",0.209420905904536," ~ Study_group + (1|maskID) + Methotrexate",-0.45255197941097,0.999937631057378,"RET1L","154064"
"CLGN_10600.24",0.559909460291994," ~ Study_group + (1|maskID)",-0.116120962251446,0.999937631057378,"CLGN","1047"
"HIS3_10603.1",0.884562944620066," ~ Study_group + (1|maskID)",0.0156657956817732,0.999937631057378,"HIS3","3347"
"APMAP_10605.22",0.962758860411711," ~ Study_group + (1|maskID)",0.00178001298381692,0.999937631057378,"APMAP","57136"
"TOIP1.Perinuclear_10606.34",0.086902308278834," ~ Study_group + (1|maskID)",-0.105810712608377,0.999937631057378,"TOIP1:Perinuclear","26092"
"HIS1_10608.9",0.305140552923164," ~ Study_group + (1|maskID)",-0.107273097629924,0.999937631057378,"HIS1","3346"
"PLOD3_10612.18",0.00533302196878203," ~ Study_group + (1|maskID) + Sex",-0.170889613122304,0.999937631057378,"PLOD3","8985"
"CASC4_10613.33",0.0431242525796771," ~ Study_group + (1|maskID)",-0.162702526460037,0.999937631057378,"CASC4","113201"
"MYP0_10615.18",0.416449651811434," ~ Study_group + (1|maskID) + Sex",0.074709915861552,0.999937631057378,"MYP0","4359"
"PDXL2_10616.67",0.669686167339252," ~ Study_group + (1|maskID) + Prednisone",-0.0677680351348933,0.999937631057378,"PDXL2","50512"
"megalin_10618.190",0.190412204832621," ~ Study_group + (1|maskID)",-0.0673657169487869,0.999937631057378,"megalin","4036"
"PSP.94_10620.21",0.81750159698436," ~ Study_group + (1|maskID) + Age",0.0256695087324441,0.999937631057378,"PSP-94","4477"
"PRR16_10621.26",0.483835100701653," ~ Study_group + (1|maskID)",-0.0485860695977124,0.999937631057378,"PRR16","51334"
"MUC1.region.1_10623.19",0.198454114725416," ~ Study_group + (1|maskID) + Prednisone + Methotrexate",-0.0416452775441757,0.999937631057378,"MUC1:region 1","4582"
"ISK13_10624.45",0.101027944415944," ~ Study_group + (1|maskID) + Prednisone",0.031117216380054,0.999937631057378,"ISK13","153218"
"SIA7C_10626.116",0.988495793816348," ~ Study_group + (1|maskID)",-0.00084219173800043,0.999937631057378,"SIA7C","256435"
"APLP2_10627.87",0.727838315695397," ~ Study_group + (1|maskID)",-0.0253310043520596,0.999937631057378,"APLP2","334"
"HTAI2_10630.5",0.359752158040338," ~ Study_group + (1|maskID) + Methotrexate",-0.499435373272995,0.999937631057378,"HTAI2","10553"
"PGRC2_10631.9",0.132590391660997," ~ Study_group + (1|maskID)",-0.0618465596651361,0.999937631057378,"PGRC2","10424"
"MO2R1.CD_10636.1",0.230167785175073," ~ Study_group + (1|maskID) + Prednisone",-0.0501124242781075,0.999937631057378,"MO2R1:CD","131450"
"K1324.ECD_10637.50",0.095098440270152," ~ Study_group + (1|maskID)",0.101421841248182,0.999937631057378,"K1324:ECD","57535"
"TINF2_10638.1",0.146664206350928," ~ Study_group + (1|maskID)",0.0687108759216292,0.999937631057378,"TINF2","26277"
"NOE3.C.term_10643.16",0.48705280621114," ~ Study_group + (1|maskID) + Methotrexate",-0.153548995908897,0.999937631057378,"NOE3:C-term","118427"
"ASCC1_10647.18",0.244064817465025," ~ Study_group + (1|maskID)",-0.226908292361186,0.999937631057378,"ASCC1","51008"
"INSI1_10663.42",0.288898377543455," ~ Study_group + (1|maskID)",-0.0294955068034706,0.999937631057378,"INSI1","3638"
"GNPTG_10666.7",0.0705127770966062," ~ Study_group + (1|maskID)",-0.0693078361352877,0.999937631057378,"GNPTG","84572"
"CA185_10667.78",0.703191080697892," ~ Study_group + (1|maskID)",-0.0146701699411092,0.999937631057378,"CA185","284546"
"STX4_10668.5",0.380594590306999," ~ Study_group + (1|maskID)",-0.218469839928975,0.999937631057378,"STX4","6810"
"Semaphorin.3E_10670.26",0.203342996321348," ~ Study_group + (1|maskID) + Age + Prednisone",-0.396802017924512,0.999937631057378,"Semaphorin 3E","9723"
"SP.B_10672.75",0.408297655106531," ~ Study_group + (1|maskID)",0.524630978298707,0.999937631057378,"SP-B","6439"
"TMX2_10675.223",0.713842771696414," ~ Study_group + (1|maskID)",-0.0256717722218725,0.999937631057378,"TMX2","51075"
"NDUB4_10677.9",0.913303622058974," ~ Study_group + (1|maskID)",0.0133396017217177,0.999937631057378,"NDUB4","4710"
"KLRG2.C.term_10693.43",0.569389572908018," ~ Study_group + (1|maskID)",-0.0446209313914794,0.999937631057378,"KLRG2:C-term","346689"
"WF10B_10695.12",0.0909815901187637," ~ Study_group + (1|maskID)",-0.0750741854266007,0.999937631057378,"WF10B","280664"
"LRP1_10699.52",0.389481683475035," ~ Study_group + (1|maskID)",0.0386388567962006,0.999937631057378,"LRP1","4035"
"IGS11.CD_10700.10",0.356351615375488," ~ Study_group + (1|maskID)",0.705273485907491,0.999937631057378,"IGS11:CD","152404"
"COSA1_10702.1",0.252590217941706," ~ Study_group + (1|maskID) + Age",-0.173372113015997,0.999937631057378,"COSA1","340267"
"SDS3_10703.203",0.417134203112296," ~ Study_group + (1|maskID)",-0.0274473828899388,0.999937631057378,"SDS3","64426"
"LRMP_10704.91",0.926832539351805," ~ Study_group + (1|maskID) + Methotrexate",0.0194775973035829,0.999937631057378,"LRMP","4033"
"SIA7C_10705.14",0.555011890344059," ~ Study_group + (1|maskID)",-0.0204388459679449,0.999937631057378,"SIA7C","256435"
"GON2_10708.3",0.852205902508357," ~ Study_group + (1|maskID)",0.0193341678060909,0.999937631057378,"GON2","2797"
"ZPBP2_10710.23",0.495960301012304," ~ Study_group + (1|maskID)",0.0266046844441554,0.999937631057378,"ZPBP2","124626"
"CLM7_10713.151",0.455169887917083," ~ Study_group + (1|maskID)",0.0432769808143459,0.999937631057378,"CLM7","124599"
"ACE_10714.7",0.539037707049819," ~ Study_group + (1|maskID)",-0.062487133450705,0.999937631057378,"ACE","1636"
"PSMD5_10716.35",0.821355900800367," ~ Study_group + (1|maskID)",0.0210351561739084,0.999937631057378,"PSMD5","5711"
"HSP.70_10721.76",0.555448908801118," ~ Study_group + (1|maskID) + Smoking",-0.0866006051533168,0.999937631057378,"HSP 70","3303"
"KSYK.Protein.Kinase_10722.13",0.327088996965051," ~ Study_group + (1|maskID)",-0.0816265308836546,0.999937631057378,"KSYK:Protein Kinase","6850"
"HS3S5_10731.10",0.542928776417939," ~ Study_group + (1|maskID)",0.0365519899701236,0.999937631057378,"HS3S5","222537"
"G3ST2_10734.339",0.462524161867578," ~ Study_group + (1|maskID) + Age",-0.142768783400934,0.999937631057378,"G3ST2","64090"
"Serpin.B1_10737.96",0.308188336300967," ~ Study_group + (1|maskID) + Prednisone",0.341350523940181,0.999937631057378,"Serpin B1","1992"
"fibulin.5_10738.11",0.642522646767802," ~ Study_group + (1|maskID) + Age",-0.0507429180998704,0.999937631057378,"fibulin 5","10516"
"CSF.1_10741.22",0.487574590986596," ~ Study_group + (1|maskID)",-0.141509348534256,0.999937631057378,"CSF-1","1435"
"SLIK1_10743.13",0.402731482810336," ~ Study_group + (1|maskID) + Age + Sex + Methotrexate",-0.127451611568747,0.999937631057378,"SLIK1","114798"
"DKK3_10746.24",0.19055720561916," ~ Study_group + (1|maskID) + Age + Smoking",0.124156278771596,0.999937631057378,"DKK3","27122"
"PCDB2_10748.216",0.505329233145318," ~ Study_group + (1|maskID)",-0.016769938983186,0.999937631057378,"PCDB2","56133"
"HSP.70_10749.18",0.321673406893281," ~ Study_group + (1|maskID)",-0.131346606145879,0.999937631057378,"HSP 70","3303"
"CDYL2_10752.8",0.0923854671916969," ~ Study_group + (1|maskID) + Methotrexate",-0.614228083400186,0.999937631057378,"CDYL2","124359"
"ADAM7_10753.31",0.519671030745239," ~ Study_group + (1|maskID)",0.0638948213706757,0.999937631057378,"ADAM7","8756"
"Prokineticin.2_10754.113",0.0260168244639114," ~ Study_group + (1|maskID) + Prednisone",0.482850496085165,0.999937631057378,"Prokineticin-2","60675"
"UCN3_10756.34",0.754878105389587," ~ Study_group + (1|maskID)",0.0267255459918247,0.999937631057378,"UCN3","114131"
"KERA_10758.2",0.700983199835017," ~ Study_group + (1|maskID)",-0.0232568878885664,0.999937631057378,"KERA","11081"
"GRIA4_10760.107",0.596192364816765," ~ Study_group + (1|maskID)",0.106676391710094,0.999937631057378,"GRIA4","2893"
"TMED2_10761.5",0.420144376624266," ~ Study_group + (1|maskID)",-0.0166458415651944,0.999937631057378,"TMED2","10959"
