Protein,Nominal_pvalue,formula,Active_mean,Inactive_mean,fold_change,adjusted_pvalue,Target,Entrez
IL.31_10455.196,0.445787003, ~ Study_group + (1|maskID) + Methotrexate,466.2945556,511.6876481,-0.134021823,0.999937631,IL-31,386653
IL.18.Rb_10457.3,0.342314427, ~ Study_group + (1|maskID),373.8517037,381.455463,-0.029048517,0.999937631,IL-18 Rb,8807
Chitotriosidase.1_10460.1,0.12169531, ~ Study_group + (1|maskID) + Age,2588.217093,3160.102222,-0.288012595,0.999937631,Chitotriosidase-1,1118
INSL5_10462.14,0.381205943, ~ Study_group + (1|maskID),386.5141296,477.832963,-0.305985225,0.999937631,INSL5,10022
Alkaline.phosphatase..intestine_10463.23,0.746410431, ~ Study_group + (1|maskID),775.4336296,767.6033519,0.014642293,0.999937631,"Alkaline phosphatase, intestine",248
ANTR1_10464.6,0.092674625, ~ Study_group + (1|maskID),1570.660796,1376.157241,0.190726324,0.999937631,ANTR1,84168
TXD11.N.term_10470.34,0.136048464, ~ Study_group + (1|maskID) + Prednisone,362.6142222,497.1158333,-0.455146544,0.999937631,TXD11:N-term,51061
HVEM_10472.53,0.940404961, ~ Study_group + (1|maskID),1370.117889,1376.863481,-0.007085489,0.999937631,HVEM,8764
Trefoil.factor.2_10473.2,0.324284817, ~ Study_group + (1|maskID),1437.368963,730.0818148,0.977300389,0.999937631,Trefoil factor 2,7032
MMP.10_10479.18,0.141857298, ~ Study_group + (1|maskID),3317.934185,2743.048741,0.274505012,0.999937631,MMP-10,4319
CD59_10480.33,0.785540123, ~ Study_group + (1|maskID),627.8562778,617.9216667,0.02301039,0.999937631,CD59,966
MAGE.4_10485.56,0.859647268, ~ Study_group + (1|maskID),98.76859259,95.22759259,0.052672691,0.999937631,MAGE-4,4103
RPN1.CD_10490.3,0.464836468, ~ Study_group + (1|maskID),3695.707852,3814.660389,-0.045703907,0.999937631,RPN1:CD,6184
CaCC_10496.11,0.191721958, ~ Study_group + (1|maskID),630.2702037,661.2422037,-0.069208347,0.999937631,CaCC,1179
T106A_10499.1,0.413321455, ~ Study_group + (1|maskID),202.3019444,208.8367037,-0.045865106,0.999937631,T106A,113277
RNF43_10505.12,0.36441501, ~ Study_group + (1|maskID),641.4685741,670.6743519,-0.064233843,0.999937631,RNF43,54894
PGRC2_10506.53,0.364531767, ~ Study_group + (1|maskID) + Prednisone,4800.644741,5983.841241,-0.317843722,0.999937631,PGRC2,10424
sperm.protein.10_10507.166,0.389198373, ~ Study_group + (1|maskID) + Methotrexate,227.8592963,653.7029074,-1.520491882,0.999937631,sperm protein 10,56
SCIMP_10510.62,0.702726399, ~ Study_group + (1|maskID),194.1611667,191.5762778,0.019335754,0.999937631,SCIMP,388325
Collagen.alpha.3.VI..isoform.3_10511.10,0.831708229, ~ Study_group + (1|maskID) + Age,1607.352444,1727.406852,-0.103921614,0.999937631,Collagen alpha-3(VI):isoform 3,1293
IL3RB.ECD_10512.13,0.683367981, ~ Study_group + (1|maskID),230.8759259,232.5179259,-0.010224198,0.999937631,IL3RB:ECD,1439
CSEN_10513.13,0.765811095, ~ Study_group + (1|maskID),645.4095741,654.3143519,-0.019768936,0.999937631,CSEN,30818
PGD2.synthase_10514.5,0.721304433, ~ Study_group + (1|maskID) + Age,24754.61944,25519.39719,-0.04389648,0.999937631,PGD2 synthase,5730
MXRA8.ECD_10521.10,0.872003217, ~ Study_group + (1|maskID),586.5723148,582.3939259,0.010313671,0.999937631,MXRA8:ECD,54587
DHX9_10527.22,0.736271872, ~ Study_group + (1|maskID),202.0812222,204.2932407,-0.015706202,0.999937631,DHX9,1660
DPEP1_10528.2,0.431412262, ~ Study_group + (1|maskID) + Age + Sex,352.3506296,415.3968519,-0.23747849,0.999937631,DPEP1,1800
PSB6_10530.8,0.424765471, ~ Study_group + (1|maskID),373.2558889,378.2144074,-0.019039299,0.999937631,PSB6,5694
RASN_10531.18,0.928728473, ~ Study_group + (1|maskID),2349.042074,2360.957,-0.007299212,0.999937631,RASN,4893
PARP.BRCT.domain_10534.40,0.480355683, ~ Study_group + (1|maskID) + Methotrexate,363.5548333,368.0370926,-0.0176782,0.999937631,PARP:BRCT domain,142
CX6A2_10535.25,0.129800326, ~ Study_group + (1|maskID),147.0345556,177.5833704,-0.272341236,0.999937631,CX6A2,1339
C99L2_10539.30,0.12493735, ~ Study_group + (1|maskID),593.4792407,569.195537,0.060273217,0.999937631,C99L2,83692
TSEAR_10546.2,0.015410364, ~ Study_group + (1|maskID),683.6674074,756.9949815,-0.146989087,0.999937631,TSEAR,54084
BMP.RIB_10550.37,0.554751212, ~ Study_group + (1|maskID),401.2484259,407.2508519,-0.021421984,0.999937631,BMP RIB,658
LAT_10551.7,0.278425864, ~ Study_group + (1|maskID) + Age + Sex,2735.429889,4078.86813,-0.576401287,0.999937631,LAT,27040
NKG2F_10552.88,0.977763887, ~ Study_group + (1|maskID),531.5835,530.7341852,0.002306848,0.999937631,NKG2F,8302
TOIP2_10553.8,0.076171202, ~ Study_group + (1|maskID) + Methotrexate,2600.3005,3189.099704,-0.294470847,0.999937631,TOIP2,163590
BGAL_10554.23,0.272180737, ~ Study_group + (1|maskID),40.60898148,37.27703704,0.123511651,0.999937631,BGAL,2720
TEX29_10557.6,0.212247221, ~ Study_group + (1|maskID),906.5091111,1330.624352,-0.553709917,0.999937631,TEX29,121793
PCDH9_10558.26,0.87512206, ~ Study_group + (1|maskID),4192.590537,4236.102759,-0.014895648,0.999937631,PCDH9,5101
ITM2C.N.term_10560.1,0.038451012, ~ Study_group + (1|maskID),309.6929074,341.8243889,-0.142416993,0.999937631,ITM2C:N-term,81618
PGRP.I.alpha_10561.5,0.630836698, ~ Study_group + (1|maskID),614.395463,624.6657037,-0.023916761,0.999937631,PGRP-I-alpha,114771
NETO2_10562.42,0.962687527, ~ Study_group + (1|maskID),872.0375556,878.3495926,-0.010404994,0.999937631,NETO2,81831
LYSM3_10563.13,0.416315665, ~ Study_group + (1|maskID),155.5734074,154.2281481,0.012529382,0.999937631,LYSM3,116068
SLIK3_10565.19,0.516045434, ~ Study_group + (1|maskID) + Smoking,6190.802222,5886.401019,0.072740539,0.999937631,SLIK3,22865
MFAP2_10569.28,0.033434273, ~ Study_group + (1|maskID),943.3215741,1085.301574,-0.202274414,0.999937631,MFAP2,4237
MGAT1_10571.14,0.5785287, ~ Study_group + (1|maskID) + Age + Sex,454.8779259,429.122037,0.084091435,0.999937631,MGAT1,4245
CST8_10572.65,0.392432718, ~ Study_group + (1|maskID),10806.24956,10290.93385,0.070491999,0.999937631,CST8,10047
b2.Microglobulin_10574.10,0.486648595, ~ Study_group + (1|maskID),2666.504593,2396.146704,0.154233573,0.999937631,b2-Microglobulin,567
PUF60_10575.31,0.826734936, ~ Study_group + (1|maskID),7138.556759,6931.570593,0.042450143,0.999937631,PUF60,22827
PXDC2.ECD_10576.7,0.984586141, ~ Study_group + (1|maskID),653.9357593,654.5014259,-0.001247419,0.999937631,PXDC2:ECD,84898
SFTA2_10580.14,0.114537674, ~ Study_group + (1|maskID),314.2481111,355.5175741,-0.178016805,0.999937631,SFTA2,389376
SG196_10582.36,0.060944269, ~ Study_group + (1|maskID),299.5521667,323.6741111,-0.111734708,0.999937631,SG196,84197
TM108_10583.1,0.298037542, ~ Study_group + (1|maskID) + Sex,381.2521481,630.2746852,-0.725235252,0.999937631,TM108,66000
NDUS4_10584.7,0.855388213, ~ Study_group + (1|maskID),3453.140833,3505.438463,-0.021685734,0.999937631,NDUS4,4724
SIAT9_10588.39,0.574486292, ~ Study_group + (1|maskID),335.4466667,340.0295741,-0.019576823,0.999937631,SIAT9,8869
RET1L_10589.7,0.209420906, ~ Study_group + (1|maskID) + Methotrexate,372.786963,510.1435926,-0.452551979,0.999937631,RET1L,154064
CLGN_10600.24,0.55990946, ~ Study_group + (1|maskID),6470.003556,7012.298778,-0.116120962,0.999937631,CLGN,1047
HIS3_10603.1,0.884562945, ~ Study_group + (1|maskID),1156.295519,1143.807574,0.015665796,0.999937631,HIS3,3347
APMAP_10605.22,0.96275886, ~ Study_group + (1|maskID),131.1562407,130.9945185,0.001780013,0.999937631,APMAP,57136
TOIP1.Perinuclear_10606.34,0.086902308, ~ Study_group + (1|maskID),4345.99937,4676.725259,-0.105810713,0.999937631,TOIP1:Perinuclear,26092
HIS1_10608.9,0.305140553, ~ Study_group + (1|maskID),667.5820185,719.1128519,-0.107273098,0.999937631,HIS1,3346
PLOD3_10612.18,0.005333022, ~ Study_group + (1|maskID) + Sex,1984.443093,2233.991667,-0.170889613,0.999937631,PLOD3,8985
CASC4_10613.33,0.043124253, ~ Study_group + (1|maskID),1868.391093,2091.443463,-0.162702526,0.999937631,CASC4,113201
MYP0_10615.18,0.416449652, ~ Study_group + (1|maskID) + Sex,1436.601389,1364.100463,0.074709916,0.999937631,MYP0,4359
PDXL2_10616.67,0.669686167, ~ Study_group + (1|maskID) + Prednisone,450.9557593,472.644,-0.067768035,0.999937631,PDXL2,50512
megalin_10618.190,0.190412205, ~ Study_group + (1|maskID),433.9578519,454.7017778,-0.067365717,0.999937631,megalin,4036
PSP.94_10620.21,0.817501597, ~ Study_group + (1|maskID) + Age,6890.093778,6768.584278,0.025669509,0.999937631,PSP-94,4477
PRR16_10621.26,0.483835101, ~ Study_group + (1|maskID),437.1625741,452.1357407,-0.04858607,0.999937631,PRR16,51334
MUC1.region.1_10623.19,0.198454115, ~ Study_group + (1|maskID) + Prednisone + Methotrexate,307.1217222,316.1163889,-0.041645278,0.999937631,MUC1:region 1,4582
ISK13_10624.45,0.101027944, ~ Study_group + (1|maskID) + Prednisone,249.7759074,244.4462222,0.031117216,0.999937631,ISK13,153218
SIA7C_10626.116,0.988495794, ~ Study_group + (1|maskID),1436.74463,1437.583593,-0.000842192,0.999937631,SIA7C,256435
APLP2_10627.87,0.727838316, ~ Study_group + (1|maskID),1433.501759,1458.893611,-0.025331004,0.999937631,APLP2,334
HTAI2_10630.5,0.359752158, ~ Study_group + (1|maskID) + Methotrexate,1100.896185,1556.293111,-0.499435373,0.999937631,HTAI2,10553
PGRC2_10631.9,0.132590392, ~ Study_group + (1|maskID),913.9097222,953.9397963,-0.06184656,0.999937631,PGRC2,10424
MO2R1.CD_10636.1,0.230167785, ~ Study_group + (1|maskID) + Prednisone,267.0246852,276.4628333,-0.050112424,0.999937631,MO2R1:CD,131450
K1324.ECD_10637.50,0.09509844, ~ Study_group + (1|maskID),236.9352593,220.8506481,0.101421841,0.999937631,K1324:ECD,57535
TINF2_10638.1,0.146664206, ~ Study_group + (1|maskID),119.2569074,113.7102222,0.068710876,0.999937631,TINF2,26277
NOE3.C.term_10643.16,0.487052806, ~ Study_group + (1|maskID) + Methotrexate,1922.383722,2138.271926,-0.153548996,0.999937631,NOE3:C-term,118427
ASCC1_10647.18,0.244064817, ~ Study_group + (1|maskID),1369.016944,1602.193722,-0.226908292,0.999937631,ASCC1,51008
INSI1_10663.42,0.288898378, ~ Study_group + (1|maskID),278.0608333,283.8042222,-0.029495507,0.999937631,INSI1,3638
GNPTG_10666.7,0.070512777, ~ Study_group + (1|maskID),837.8702407,879.1045,-0.069307836,0.999937631,GNPTG,84572
CA185_10667.78,0.703191081, ~ Study_group + (1|maskID),155.476037,157.0650741,-0.01467017,0.999937631,CA185,284546
STX4_10668.5,0.38059459, ~ Study_group + (1|maskID),1931.628759,2247.447926,-0.21846984,0.999937631,STX4,6810
Semaphorin.3E_10670.26,0.203342996, ~ Study_group + (1|maskID) + Age + Prednisone,56.58027778,74.49281481,-0.396802018,0.999937631,Semaphorin 3E,9723
SP.B_10672.75,0.408297655, ~ Study_group + (1|maskID),442.6636481,307.7118333,0.524630978,0.999937631,SP-B,6439
TMX2_10675.223,0.713842772, ~ Study_group + (1|maskID),159.9846111,162.8569074,-0.025671772,0.999937631,TMX2,51075
NDUB4_10677.9,0.913303622, ~ Study_group + (1|maskID),3220.509241,3190.868667,0.013339602,0.999937631,NDUB4,4710
KLRG2.C.term_10693.43,0.569389573, ~ Study_group + (1|maskID),480.9735185,496.0819259,-0.044620931,0.999937631,KLRG2:C-term,346689
WF10B_10695.12,0.09098159, ~ Study_group + (1|maskID),277.9285741,292.7741852,-0.075074185,0.999937631,WF10B,280664
LRP1_10699.52,0.389481683, ~ Study_group + (1|maskID),291.6958148,283.9871852,0.038638857,0.999937631,LRP1,4035
IGS11.CD_10700.10,0.356351615, ~ Study_group + (1|maskID),2375.448204,1456.924648,0.705273486,0.999937631,IGS11:CD,152404
COSA1_10702.1,0.252590218, ~ Study_group + (1|maskID) + Age,5142.313407,5798.941778,-0.173372113,0.999937631,COSA1,340267
SDS3_10703.203,0.417134203, ~ Study_group + (1|maskID),569.7678333,580.7114815,-0.027447383,0.999937631,SDS3,64426
LRMP_10704.91,0.926832539, ~ Study_group + (1|maskID) + Methotrexate,134.5791852,132.774463,0.019477597,0.999937631,LRMP,4033
SIA7C_10705.14,0.55501189, ~ Study_group + (1|maskID),213.6488889,216.6972222,-0.020438846,0.999937631,SIA7C,256435
GON2_10708.3,0.852205903, ~ Study_group + (1|maskID),261.8532037,258.3674074,0.019334168,0.999937631,GON2,2797
ZPBP2_10710.23,0.495960301, ~ Study_group + (1|maskID),70.95568519,69.65918519,0.026604684,0.999937631,ZPBP2,124626
CLM7_10713.151,0.455169888, ~ Study_group + (1|maskID),132.6838704,128.7628148,0.043276981,0.999937631,CLM7,124599
ACE_10714.7,0.539037707, ~ Study_group + (1|maskID),547.1991852,571.4206667,-0.062487133,0.999937631,ACE,1636
PSMD5_10716.35,0.821355901, ~ Study_group + (1|maskID),736.3919444,725.7329074,0.021035156,0.999937631,PSMD5,5711
HSP.70_10721.76,0.555448909, ~ Study_group + (1|maskID) + Smoking,9479.291537,10065.72961,-0.086600605,0.999937631,HSP 70,3303
KSYK.Protein.Kinase_10722.13,0.327088997, ~ Study_group + (1|maskID),4159.56,4401.689741,-0.081626531,0.999937631,KSYK:Protein Kinase,6850
HS3S5_10731.10,0.542928776, ~ Study_group + (1|maskID),2452.70487,2391.343963,0.03655199,0.999937631,HS3S5,222537
G3ST2_10734.339,0.462524162, ~ Study_group + (1|maskID) + Age,1462.632963,1614.778815,-0.142768783,0.999937631,G3ST2,64090
Serpin.B1_10737.96,0.308188336, ~ Study_group + (1|maskID) + Prednisone,13284.46852,10485.45878,0.341350524,0.999937631,Serpin B1,1992
fibulin.5_10738.11,0.642522647, ~ Study_group + (1|maskID) + Age,26919.99311,27883.67967,-0.050742918,0.999937631,fibulin 5,10516
CSF.1_10741.22,0.487574591, ~ Study_group + (1|maskID),84.76951852,93.50574074,-0.141509349,0.999937631,CSF-1,1435
SLIK1_10743.13,0.402731483, ~ Study_group + (1|maskID) + Age + Sex + Methotrexate,4730.895241,5167.852259,-0.127451612,0.999937631,SLIK1,114798
DKK3_10746.24,0.190557206, ~ Study_group + (1|maskID) + Age + Smoking,2467.981704,2264.47313,0.124156279,0.999937631,DKK3,27122
PCDB2_10748.216,0.505329233, ~ Study_group + (1|maskID),2868.382722,2901.919444,-0.016769939,0.999937631,PCDB2,56133
HSP.70_10749.18,0.321673407, ~ Study_group + (1|maskID),2918.6985,3196.895963,-0.131346606,0.999937631,HSP 70,3303
CDYL2_10752.8,0.092385467, ~ Study_group + (1|maskID) + Methotrexate,506.7044444,775.6321296,-0.614228083,0.999937631,CDYL2,124359
ADAM7_10753.31,0.519671031, ~ Study_group + (1|maskID),530.3742593,507.3973333,0.063894821,0.999937631,ADAM7,8756
